t,x,y,yaw,alvo_x,alvo_y,dist,rumo_alvo,erro,v_alvo,cmd_v,cmd_wz,saiu_v,saiu_wz
0.0,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,nan,nan,0.0,0.0
0.05,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,nan,nan,0.0,0.0
0.102,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,nan,nan,0.0,0.0
0.152,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,nan,nan,0.0,0.0
0.2,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,nan,nan,0.0,0.0
0.25,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,nan,nan,0.0,0.0
0.3,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.35,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.401,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.45,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.5,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.551,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.6,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.65,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.7,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.75,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.8,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.851,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.901,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
0.95,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
1.0,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
1.05,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
1.1,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
1.151,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
