raio,caso,planner,ok,comprimento,reta,desvio,giro_deg,raio_min,inversoes,curtos,pontos,ms,motivo
0.25,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,4.3,
0.25,porta,hibrido,1,5.563,5.315,1.047,143.5,0.492,0,0,71,6.4,
0.25,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,6.8,
0.25,bloco,hibrido,0,,,,,,,,,,erro 208: sem msg
0.25,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,7.6,
0.25,aperto,hibrido,1,7.84,3.5,2.24,437.4,0.346,0,0,98,13.5,
0.25,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,3.3,
0.25,beco,hibrido,1,5.736,5.349,1.072,226.5,0.25,0,0,70,21.5,
0.25,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.25,perto_de_lado,hibrido,1,2.165,0.6,3.609,343.4,0.25,0,0,31,0.9,
0.25,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.1,
0.25,lado_1m,hibrido,1,2.015,0.9,2.239,430.0,0.25,0,0,29,0.8,
0.34,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,4.7,
0.34,porta,hibrido,1,5.63,5.315,1.059,205.3,0.63,0,0,70,6.8,
0.34,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,2.2,
0.34,bloco,hibrido,0,,,,,,,,,,erro 208: sem msg
0.34,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,5.5,
0.34,aperto,hibrido,1,7.837,3.5,2.239,355.3,0.34,0,0,97,30.1,
0.34,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,1.5,
0.34,beco,hibrido,1,5.741,5.349,1.073,211.9,0.34,0,0,70,33.2,
0.34,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.34,perto_de_lado,hibrido,1,2.732,0.6,4.554,347.9,0.34,0,0,39,1.5,
0.34,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.1,
0.34,lado_1m,hibrido,1,3.122,0.9,3.469,362.2,0.34,0,0,43,3.1,
0.37,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,1.4,
0.37,porta,hibrido,1,5.639,5.315,1.061,165.7,0.706,0,0,69,4.1,
0.37,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,5.4,
0.37,bloco,hibrido,0,,,,,,,,,,erro 208: sem msg
0.37,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,3.1,
0.37,aperto,hibrido,1,7.844,3.5,2.241,388.2,0.37,0,0,92,13.2,
0.37,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,1.5,
0.37,beco,hibrido,1,5.845,5.349,1.093,215.2,0.369,0,0,64,21.6,
0.37,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.37,perto_de_lado,hibrido,1,2.921,0.6,4.869,349.0,0.37,0,0,42,0.7,
0.37,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.1,
0.37,lado_1m,hibrido,1,3.307,0.9,3.674,360.3,0.37,0,0,44,0.8,
0.46,porta,theta,1,5.52,5.315,1.038,192.2,0.375,0,0,98,4.4,
0.46,porta,hibrido,1,5.614,5.315,1.056,153.0,0.469,0,0,75,6.6,
0.46,bloco,theta,1,4.886,3.5,1.396,153.4,0.386,0,0,88,3.1,
0.46,bloco,hibrido,0,,,,,,,,,,erro 208: sem msg
0.46,aperto,theta,1,7.501,3.5,2.143,270.9,0.277,0,0,144,5.1,
0.46,aperto,hibrido,1,7.875,3.5,2.25,362.0,0.46,0,0,104,11.7,
0.46,beco,theta,1,5.568,5.349,1.041,132.1,0.386,0,0,104,3.5,
0.46,beco,hibrido,1,5.951,5.349,1.113,238.8,0.46,0,0,77,48.5,
0.46,perto_de_lado,theta,1,0.6,0.6,1.0,0.0,inf,0,0,13,0.1,
0.46,perto_de_lado,hibrido,1,3.399,0.6,5.665,355.8,0.404,0,0,50,2.5,
0.46,lado_1m,theta,1,0.9,0.9,1.0,0.0,inf,0,0,19,0.1,
0.46,lado_1m,hibrido,1,3.69,0.9,4.1,355.9,0.397,0,0,54,3.3,
