t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,1.0456,-1.9898,-3.0577,0.3,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,1.0456,-1.9898,-3.0577,0.3,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,1.0456,-1.9898,-3.0577,0.3,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,1.0456,-1.9898,-3.0577,0.3,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,1.0365,-1.9967,-3.0803,0.3,0.0,0.1418,-0.2839,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,1.0365,-1.9967,-3.0803,0.3,0.0,0.1133,-0.2269,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,1.0329,-1.9986,-3.0915,0.3,0.0,0.1285,-0.2823,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,1.0329,-1.9986,-3.0915,0.3,0.0,0.1105,-0.2427,0.0,0.0,3.0995,2.9941,0.9447,0.0,0.0
0.16,0,sobe,1.0329,-1.9986,-3.0915,0.3,0.0,0.0965,-0.2118,0.0,0.0,3.0995,2.9941,0.9447,0.0,0.0
0.18,0,sobe,1.0329,-1.9986,-3.0915,0.3,0.0,0.0857,-0.1883,0.0,0.0,3.0995,2.9941,0.9447,0.0,0.0
0.2,0,sobe,1.0329,-1.9986,-3.0915,0.3,0.0,0.0772,-0.1695,0.0,0.0,3.0995,2.9941,0.9447,0.0,0.0
0.22,0,sobe,1.0329,-1.9986,-3.0915,0.3,0.0,0.0701,-0.154,0.0,0.0,3.1171,3.0184,0.9447,0.373,0.0
0.24,0,sobe,1.0369,-1.9987,-3.1008,0.3,0.0,0.0516,-0.1797,0.0,0.0,3.1171,3.0184,0.9447,0.299,0.0
0.26,0,sobe,1.0369,-1.9987,-3.1008,0.3,0.0,0.0477,-0.1658,0.0,0.0,3.1171,3.0184,0.9447,0.2492,0.0
0.28,0,sobe,1.0369,-1.9987,-3.1008,0.3,0.0,0.0443,-0.154,0.0,0.0,3.1171,3.0184,0.9447,0.2139,0.0
0.3,0,sobe,1.0369,-1.9987,-3.1008,0.3,0.0,0.0413,-0.1437,0.0,0.0,3.1171,3.0184,0.9447,0.187,0.0
0.32,0,sobe,1.0281,-1.9965,-3.1099,0.3,0.0,0.0584,-0.1633,0.0,0.0,3.1347,3.0427,0.9447,0.3326,0.0
0.34,0,sobe,1.0281,-1.9965,-3.1099,0.3,0.0,0.055,-0.1537,0.0,0.0,3.1347,3.0427,0.9447,0.2994,0.0
0.36,0,sobe,1.0281,-1.9965,-3.1099,0.3,0.0,0.0519,-0.1452,0.0,0.0,3.1347,3.0427,0.9447,0.2723,0.0
0.38,0,sobe,1.0281,-1.9965,-3.1099,0.3,0.0,0.0491,-0.1374,0.0,0.0,3.1347,3.0427,0.9447,0.2493,0.0
0.4,0,sobe,1.0281,-1.9965,-3.1099,0.3,0.0,0.0467,-0.1306,0.0,0.0,3.1347,3.0427,0.9447,0.2304,0.0
0.42,0,sobe,1.0087,-1.9949,-3.1255,0.3,0.0,0.0887,-0.1616,0.0,0.0,3.1523,3.067,0.9447,0.3209,0.0
0.44,0,sobe,1.0087,-1.9949,-3.1255,0.3,0.0,0.0846,-0.1542,0.0,0.0,3.1523,3.067,0.9447,0.2996,0.0
0.46,0,sobe,1.0087,-1.9949,-3.1255,0.3,0.0,0.081,-0.1475,0.0,0.0,3.1523,3.067,0.9447,0.2808,0.0
0.48,0,sobe,1.0087,-1.9949,-3.1255,0.3,0.0,0.0776,-0.1414,0.0,0.0,3.1523,3.067,0.9447,0.2644,0.0
0.5,0,sobe,1.0087,-1.9949,-3.1255,0.3,0.0,0.0745,-0.1358,0.0,0.0,3.1523,3.067,0.9447,0.2498,0.0
0.52,0,sobe,0.9873,-1.9903,3.138,0.3,0.0,0.1165,-0.1751,0.0,0.0,3.1698,3.0913,0.9447,0.3155,0.0
0.54,0,sobe,0.9873,-1.9903,3.138,0.3,0.0,0.1165,-0.1751,0.0,0.0,3.1698,3.0913,0.9447,0.2996,0.0
0.56,0,sobe,0.9873,-1.9903,3.138,0.3,0.0,0.1165,-0.175,0.0,0.0,3.1698,3.0913,0.9447,0.2854,0.0
0.58,0,sobe,0.9873,-1.9903,3.138,0.3,0.0,0.1034,-0.1351,0.0,0.0,3.1698,3.0913,0.9447,0.2724,0.0
0.6,0,sobe,0.9873,-1.9903,3.138,0.3,0.0,0.0993,-0.1297,0.0,0.0,3.1698,3.0913,0.9447,0.2606,0.0
