t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0325,-0.0539,0.0007,0.0,0.0015,0.0,0.0,0.0,0.0,0.6668,0.4771,2.4838,0.0,0.0
0.02,0,sobe,0.0325,-0.0539,0.0007,0.0,0.003,0.0,0.0,0.0,0.0,0.6668,0.4771,2.4838,0.0,0.0
0.04,0,sobe,0.0332,-0.0553,0.0016,0.0,0.0045,0.0377,0.0228,0.0,0.0,0.6668,0.4771,2.4838,0.0,0.0
0.06,0,sobe,0.0332,-0.0553,0.0016,0.0,0.006,0.0252,0.0152,0.0,0.0,0.6668,0.4771,2.4838,0.0,0.0
0.08,0,sobe,0.0332,-0.0553,0.0016,0.0,0.0075,0.0189,0.0114,0.0,0.0,0.6668,0.4771,2.4838,0.0,0.0
0.1,0,sobe,0.0335,-0.0582,0.0009,0.0,0.009,0.0436,0.0022,0.0,0.0,0.6668,0.4771,2.4844,0.0,0.006
0.12,0,sobe,0.0335,-0.0582,0.0009,0.0,0.0105,0.0362,0.0018,0.0,0.0,0.6668,0.4771,2.4844,0.0,0.005
0.14,0,sobe,0.0335,-0.0582,0.0009,0.0,0.012,0.031,0.0015,0.0,0.0,0.6668,0.4771,2.4844,0.0,0.0043
0.16,0,sobe,0.0335,-0.0582,0.0009,0.0,0.0135,0.0271,0.0014,0.0,0.0,0.6668,0.4771,2.4844,0.0,0.0037
0.18,0,sobe,0.0335,-0.0582,0.0009,0.0,0.015,0.0241,0.0012,0.0,0.0,0.6668,0.4771,2.4844,0.0,0.0033
0.2,0,sobe,0.0335,-0.0582,0.0009,0.0,0.0165,0.0218,0.0011,0.0,0.0,0.6668,0.4771,2.4858,0.0,0.0098
0.22,0,sobe,0.033,-0.058,0.0014,0.0,0.018,0.0153,-0.001,0.0,0.0,0.6668,0.4771,2.4858,0.0,0.0109
0.24,0,sobe,0.033,-0.058,0.0014,0.0,0.0195,0.0153,-0.001,0.0,0.0,0.6668,0.4771,2.4858,0.0,0.0109
0.26,0,sobe,0.033,-0.058,0.0014,0.0,0.021,0.0138,-0.0009,0.0,0.0,0.6668,0.4771,2.4858,0.0,0.0098
0.28,0,sobe,0.033,-0.058,0.0014,0.0,0.0225,0.0029,0.0029,0.0,0.0,0.6668,0.4771,2.4858,0.0,0.0075
0.3,0,sobe,0.0329,-0.0599,0.0014,0.0,0.024,0.0105,0.0029,0.0,0.0,0.6668,0.4771,2.4879,0.0,0.0191
0.321,0,sobe,0.0329,-0.0599,0.0014,0.0,0.0255,0.0104,0.0029,0.0,0.0,0.6668,0.4771,2.4879,0.0,0.0191
0.34,0,sobe,0.0329,-0.0599,0.0014,0.0,0.027,0.0105,0.0029,0.0,0.0,0.6668,0.4771,2.4879,0.0,0.0191
0.36,0,sobe,0.0329,-0.0599,0.0014,0.0,0.0285,0.0094,0.0026,0.0,0.0,0.6668,0.4771,2.4879,0.0,0.0172
0.38,0,sobe,0.0329,-0.0599,0.0014,0.0,0.03,0.0094,0.0026,0.0,0.0,0.6668,0.4771,2.4879,0.0,0.0172
0.4,0,sobe,0.0329,-0.0599,0.0014,0.0,0.0315,0.0107,0.0,0.0,0.0,0.6668,0.4771,2.4908,0.0,0.0275
0.42,0,sobe,0.034,-0.0573,0.0016,0.0,0.033,0.0063,0.0007,0.0,0.0,0.6668,0.4771,2.4908,0.0,0.0248
0.44,0,sobe,0.034,-0.0573,0.0016,0.0,0.0345,0.0063,0.0007,0.0,0.0,0.6668,0.4771,2.4908,0.0,0.0248
