t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda
0.0,0,sobe,0.0157,-0.0243,0.0026,0.0,0.0015,0.0,0.0,0.0,0.0,0.6812,0.466,2.46
0.02,0,sobe,0.0157,-0.0243,0.0026,0.0,0.003,0.0,0.0,0.0,0.0,0.6812,0.466,2.46
0.04,0,sobe,0.0157,-0.0243,0.0026,0.0,0.0045,0.0,0.0,0.0,0.0,0.6812,0.466,2.46
0.06,0,sobe,0.0157,-0.0243,0.0026,0.0,0.006,0.0,0.0,0.0,0.0,0.6812,0.466,2.46
0.08,0,sobe,0.0152,-0.0223,0.0045,0.0,0.0075,0.0262,0.0234,0.0,0.0,0.6812,0.466,2.4606
0.1,0,sobe,0.0152,-0.0223,0.0045,0.0,0.009,0.0209,0.0187,0.0,0.0,0.6812,0.466,2.4606
0.12,0,sobe,0.0152,-0.0223,0.0045,0.0,0.0105,0.0174,0.0156,0.0,0.0,0.6812,0.466,2.4606
0.14,0,sobe,0.0152,-0.0223,0.0045,0.0,0.012,0.0149,0.0134,0.0,0.0,0.6812,0.466,2.4606
0.16,0,sobe,0.0152,-0.0223,0.0045,0.0,0.0135,0.013,0.0117,0.0,0.0,0.6812,0.466,2.4606
0.18,0,sobe,0.0152,-0.0223,0.0045,0.0,0.015,0.0116,0.0104,0.0,0.0,0.6812,0.466,2.462
0.2,0,sobe,0.0148,-0.0245,0.0026,0.0,0.0165,0.0047,0.0,0.0,0.0,0.6812,0.466,2.462
0.22,0,sobe,0.0148,-0.0245,0.0026,0.0,0.018,0.0052,0.0001,0.0,0.0,0.6812,0.466,2.462
0.24,0,sobe,0.0148,-0.0245,0.0026,0.0,0.0195,0.0052,0.0001,0.0,0.0,0.6812,0.466,2.462
0.26,0,sobe,0.0148,-0.0245,0.0026,0.0,0.021,0.0126,-0.0103,0.0,0.0,0.6812,0.466,2.462
0.28,0,sobe,0.0128,-0.0241,0.0037,0.0,0.0225,0.0166,-0.0043,0.0,0.0,0.6812,0.466,2.4641
0.3,0,sobe,0.0128,-0.0241,0.0037,0.0,0.024,0.0166,-0.0043,0.0,0.0,0.6812,0.466,2.4641
0.32,0,sobe,0.0128,-0.0241,0.0037,0.0,0.0255,0.0166,-0.0043,0.0,0.0,0.6812,0.466,2.4641
0.34,0,sobe,0.0128,-0.0241,0.0037,0.0,0.027,0.015,-0.0039,0.0,0.0,0.6812,0.466,2.4641
0.36,0,sobe,0.0128,-0.0241,0.0037,0.0,0.0285,0.0166,-0.0043,0.0,0.0,0.6812,0.466,2.4641
0.38,0,sobe,0.0153,-0.0236,0.0064,0.0,0.03,0.006,0.0212,0.0,0.0,0.6812,0.466,2.4668
0.4,0,sobe,0.0153,-0.0236,0.0064,0.0,0.0315,0.006,0.0212,0.0,0.0,0.6812,0.466,2.4668
0.42,0,sobe,0.0153,-0.0236,0.0064,0.0,0.033,0.0054,0.0191,0.0,0.0,0.6812,0.466,2.4668
0.44,0,sobe,0.0153,-0.0236,0.0064,0.0,0.0345,0.0054,0.0191,0.0,0.0,0.6812,0.466,2.4668
0.46,0,sobe,0.0153,-0.0236,0.0064,0.0,0.036,0.0141,0.0152,0.0,0.0,0.6812,0.466,2.4668
0.48,0,sobe,0.011,-0.0234,0.0022,0.0,0.0375,0.0098,-0.0074,0.0,0.0,0.6812,0.466,2.4704
0.5,0,sobe,0.011,-0.0234,0.0022,0.0,0.039,0.0109,-0.0082,0.0,0.0,0.6812,0.466,2.4704
0.52,0,sobe,0.011,-0.0234,0.0022,0.0,0.0405,0.0109,-0.0082,0.0,0.0,0.6812,0.466,2.4704
0.54,0,sobe,0.011,-0.0234,0.0022,0.0,0.042,0.0109,-0.0082,0.0,0.0,0.6812,0.466,2.4704
0.56,0,sobe,0.011,-0.0234,0.0022,0.0,0.0435,0.024,-0.0234,0.0,0.0,0.6812,0.466,2.4704
0.58,0,sobe,0.011,-0.0234,0.0022,0.0,0.045,0.024,-0.0234,0.0,0.0,0.6812,0.466,2.4704
0.6,0,sobe,0.0124,-0.0254,0.0049,0.0,0.0465,0.0171,-0.0075,0.0,0.0,0.6812,0.466,2.4747
0.62,0,sobe,0.0124,-0.0254,0.0049,0.0,0.048,0.019,-0.0083,0.0,0.0,0.6812,0.466,2.4747
0.64,0,sobe,0.0124,-0.0254,0.0049,0.0,0.0495,0.019,-0.0083,0.0,0.0,0.6812,0.466,2.4747
0.66,0,sobe,0.0124,-0.0254,0.0049,0.0,0.051,0.0135,0.0151,0.0,0.0,0.6812,0.466,2.4747
0.68,0,sobe,0.0124,-0.0254,0.0049,0.0,0.0525,0.0135,0.0151,0.0,0.0,0.6812,0.466,2.4797
0.7,0,sobe,0.0117,-0.0233,0.0043,0.0,0.054,0.0037,0.0107,0.0,0.0,0.6812,0.466,2.4797
0.72,0,sobe,0.0117,-0.0233,0.0043,0.0,0.0555,0.0037,0.0107,0.0,0.0,0.6812,0.466,2.4797
0.74,0,sobe,0.0117,-0.0233,0.0043,0.0,0.057,0.0037,0.0107,0.0,0.0,0.6812,0.466,2.4797
0.76,0,sobe,0.0117,-0.0233,0.0043,0.0,0.0585,0.0037,0.0107,0.0,0.0,0.6812,0.466,2.4797
0.78,0,sobe,0.0117,-0.0233,0.0043,0.0,0.06,0.0121,-0.0033,0.0,0.0,0.6812,0.466,2.4797
0.8,0,sobe,0.0117,-0.0233,0.0043,0.0,0.0615,0.0121,-0.0033,0.0,0.0,0.6812,0.466,2.4856
0.82,0,sobe,0.0122,-0.0265,0.0032,0.0,0.063,0.0059,-0.0088,0.0,0.0,0.6812,0.466,2.4856
0.84,0,sobe,0.0122,-0.0265,0.0032,0.0,0.0645,0.0059,-0.0088,0.0,0.0,0.6812,0.466,2.4856
0.86,0,sobe,0.0122,-0.0265,0.0032,0.0,0.066,0.0065,-0.0097,0.0,0.0,0.6812,0.466,2.4856
0.88,0,sobe,0.0122,-0.0265,0.0032,0.0,0.0675,0.0181,-0.0065,0.0,0.0,0.6812,0.466,2.4856
0.9,0,sobe,0.0122,-0.0265,0.0032,0.0,0.069,0.0181,-0.0065,0.0,0.0,0.6812,0.466,2.4856
0.92,0,sobe,0.0125,-0.0288,0.0024,0.0,0.0705,0.0277,-0.0099,0.0,0.0,0.6812,0.466,2.4921
0.94,0,sobe,0.0125,-0.0288,0.0024,0.0,0.072,0.0307,-0.011,0.0,0.0,0.6812,0.466,2.4921
0.96,0,sobe,0.0125,-0.0288,0.0024,0.0,0.0735,0.0277,-0.0099,0.0,0.0,0.6812,0.466,2.4921
0.98,0,sobe,0.0125,-0.0288,0.0024,0.0,0.075,0.0277,-0.0099,0.0,0.0,0.6812,0.466,2.4921
1.0,0,sobe,0.0125,-0.0288,0.0024,0.0,0.0765,0.0278,-0.0099,0.0,0.0,0.6812,0.466,2.4994
1.02,0,sobe,0.0164,-0.0294,0.0063,0.0,0.078,0.0259,0.0154,0.0,0.0,0.6812,0.466,2.4994
1.04,0,sobe,0.0164,-0.0294,0.0063,0.0,0.0795,0.0259,0.0154,0.0,0.0,0.6812,0.466,2.4994
1.06,0,sobe,0.0164,-0.0294,0.0063,0.0,0.081,0.0259,0.0154,0.0,0.0,0.6812,0.466,2.4994
1.08,0,sobe,0.0164,-0.0294,0.0063,0.0,0.0825,0.0259,0.0154,0.0,0.0,0.6812,0.466,2.4994
1.1,0,sobe,0.0165,-0.0273,0.0362,0.0,0.084,0.0222,0.1656,0.0,0.0,0.6812,0.466,2.5071
1.12,0,sobe,0.0165,-0.0273,0.0362,0.0,0.0855,0.0215,0.1695,0.0,0.0,0.6812,0.466,2.5071
1.14,0,sobe,0.0165,-0.0273,0.0362,0.0,0.087,0.0215,0.1698,0.0,0.0,0.6812,0.466,2.5071
1.16,0,sobe,0.0165,-0.0273,0.0362,0.0,0.0885,0.0215,0.1695,0.0,0.0,0.6812,0.466,2.5071
1.18,0,sobe,0.0165,-0.0273,0.0362,0.0,0.09,0.0238,0.1879,0.0,0.0,0.6812,0.466,2.5071
1.2,0,sobe,0.0165,-0.0278,0.1128,0.0,0.0915,0.0088,0.5915,0.0,0.0,0.6812,0.466,2.5158
1.22,0,sobe,0.0165,-0.0278,0.1128,0.0,0.093,0.0088,0.5902,0.0,0.0,0.6812,0.466,2.5158
1.24,0,sobe,0.0165,-0.0278,0.1128,0.0,0.0945,0.0088,0.5913,0.0,0.0,0.6812,0.466,2.5158
1.26,0,desce,0.0165,-0.0278,0.1128,0.0,0.096,0.0088,0.5911,0.0,0.0,0.6812,0.466,2.5158
1.28,0,desce,0.0165,-0.0278,0.1128,0.0,0.0945,0.003,0.4247,0.0,0.0,0.6812,0.466,2.5254
1.3,0,desce,0.0165,-0.0278,0.1128,0.0,0.093,0.003,0.4242,0.0,0.0,0.6812,0.466,2.5254
1.321,0,desce,0.0164,-0.031,0.2337,0.0,0.0915,0.0208,1.0919,0.0,0.0,0.6812,0.466,2.5254
1.34,0,desce,0.0164,-0.031,0.2337,0.0,0.09,0.0209,1.0964,0.0,0.0,0.6812,0.466,2.5254
1.36,0,desce,0.0164,-0.031,0.2337,0.0,0.0885,0.0209,1.0963,0.0,0.0,0.6812,0.466,2.5254
1.38,0,desce,0.0164,-0.031,0.2337,0.0,0.087,0.0188,0.9882,0.0,0.0,0.6812,0.466,2.5254
1.4,0,desce,0.0193,-0.0325,0.3772,0.0,0.0855,0.0304,1.472,0.0,0.0,0.6812,0.466,2.5343
