t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.019,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.039,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.068,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.179,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.378,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.38,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.399,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.419,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.439,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.459,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.479,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.499,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.519,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.539,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.559,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.579,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.599,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.619,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.639,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.659,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.679,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.699,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.719,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.739,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.759,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
0.779,0,sobe,1.202,-0.4399,-0.9349,0.0,0.0,0.0,0.0,0.0,0.0,1.1181,-0.5755,-1.077,0.0,0.0
