t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.025,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.047,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.071,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.089,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.104,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.12,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.14,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.16,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.18,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.2,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.22,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.24,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.26,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.28,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.3,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.32,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.34,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.36,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.38,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.4,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.42,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.44,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.46,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.48,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.5,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
0.52,0,sobe,1.164,-0.5284,-1.2856,0.0,0.0,0.0,0.0,0.0,0.0,1.0526,-0.6653,-1.3682,0.0,0.0
