t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3642,-0.1387,0.008,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.3642,-0.1387,0.008,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.3642,-0.1387,0.008,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.3642,-0.1387,0.008,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.3642,-0.1387,0.008,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.3642,-0.1387,0.008,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.3684,-0.1371,0.0126,0.0,0.0,0.0368,0.0376,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.3684,-0.1371,0.0126,0.0,0.0,0.0316,0.0323,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.3684,-0.1371,0.0126,0.0,0.0,0.0276,0.0282,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,0.3684,-0.1371,0.0126,0.0,0.0,0.0246,0.0251,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,0.3693,-0.1387,0.0107,0.0,0.0,0.025,0.0132,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,0.3693,-0.1387,0.0107,0.0,0.0,0.0227,0.012,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,0.3693,-0.1387,0.0107,0.0,0.0,0.0209,0.011,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,0.3693,-0.1387,0.0107,0.0,0.0,0.0192,0.0101,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,0.3693,-0.1387,0.0107,0.0,0.0,0.0179,0.0094,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,0.3717,-0.1409,0.0155,0.0,0.0,0.026,0.0249,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,0.3717,-0.1409,0.0155,0.0,0.0,0.0243,0.0233,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,0.3717,-0.1409,0.0155,0.0,0.0,0.0229,0.0219,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,0.3717,-0.1409,0.0155,0.0,0.0,0.0216,0.0207,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,0.3717,-0.1409,0.0155,0.0,0.0,0.0205,0.0196,0.0,0.0,,,,0.0,0.0
0.4,0,sobe,0.3781,-0.1405,0.0158,0.0,0.0,0.035,0.0195,0.0,0.0,,,,0.0,0.0
0.42,0,sobe,0.3781,-0.1405,0.0158,0.0,0.0,0.0333,0.0186,0.0,0.0,,,,0.0,0.0
0.44,0,sobe,0.3781,-0.1405,0.0158,0.0,0.0,0.0318,0.0177,0.0,0.0,,,,0.0,0.0
0.46,0,sobe,0.3781,-0.1405,0.0158,0.0,0.0,0.0304,0.0169,0.0,0.0,,,,0.0,0.0
0.48,0,sobe,0.3781,-0.1405,0.0158,0.0,0.0,0.0292,0.0162,0.0,0.0,,,,0.0,0.0
0.5,0,sobe,0.3841,-0.1418,0.0147,0.0,0.0,0.042,0.0138,0.0,0.0,,,,0.0,0.0
0.52,0,sobe,0.3841,-0.1418,0.0147,0.0,0.0,0.0403,0.0133,0.0,0.0,,,,0.0,0.0
0.54,0,sobe,0.3841,-0.1418,0.0147,0.0,0.0,0.0403,0.0133,0.0,0.0,,,,0.0,0.0
0.56,0,sobe,0.3841,-0.1418,0.0147,0.0,0.0,0.0403,0.0133,0.0,0.0,,,,0.0,0.0
0.58,0,sobe,0.3841,-0.1418,0.0147,0.0,0.0,0.0403,0.0133,0.0,0.0,,,,0.0,0.0
0.6,0,sobe,0.381,-0.1355,0.0126,0.0,0.0,0.0341,0.0091,0.0,0.0,,,,0.0,0.0
0.62,0,sobe,0.381,-0.1355,0.0126,0.0,0.0,0.0254,0.0001,0.0,0.0,,,,0.0,0.0
0.64,0,sobe,0.381,-0.1355,0.0126,0.0,0.0,0.0254,0.0001,0.0,0.0,,,,0.0,0.0
0.66,0,sobe,0.381,-0.1355,0.0126,0.0,0.0,0.0254,0.0001,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.68,0,sobe,0.381,-0.1355,0.0126,0.0,0.0,0.0253,0.004,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.7,0,sobe,0.3814,-0.1333,0.0137,0.0,0.0,0.0267,0.006,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.72,0,sobe,0.3814,-0.1333,0.0137,0.0,0.0,0.0278,0.0062,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.74,0,sobe,0.3814,-0.1333,0.0137,0.0,0.0,0.0267,0.006,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.76,0,sobe,0.3814,-0.1333,0.0137,0.0,0.0,0.0267,0.006,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.78,0,sobe,0.3814,-0.1333,0.0137,0.0,0.0,0.0267,0.006,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.8,0,sobe,0.3763,-0.1233,0.0098,0.0,0.0,0.0379,-0.0118,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.82,0,sobe,0.3763,-0.1233,0.0098,0.0,0.0,0.0364,-0.0113,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.84,0,sobe,0.3763,-0.1233,0.0098,0.0,0.0,0.0364,-0.0113,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.86,0,sobe,0.3763,-0.1233,0.0098,0.0,0.0,0.0379,-0.0118,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.88,0,sobe,0.3763,-0.1233,0.0098,0.0,0.0,0.0359,-0.0125,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.9,0,sobe,0.3763,-0.1233,0.0098,0.0,0.0,0.036,-0.0125,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.92,0,sobe,0.3737,-0.1237,0.0086,0.0,0.0,0.0362,-0.015,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.94,0,sobe,0.3737,-0.1237,0.0086,0.0,0.0,0.0348,-0.0144,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.96,0,sobe,0.3737,-0.1237,0.0086,0.0,0.0,0.0362,-0.015,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
0.98,0,sobe,0.3737,-0.1237,0.0086,0.0,0.0,0.0435,-0.0126,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.0,0,sobe,0.3685,-0.1169,0.0058,0.0,0.0,0.0588,-0.0178,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.02,0,sobe,0.3685,-0.1169,0.0058,0.0,0.0,0.0612,-0.0185,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.04,0,sobe,0.3685,-0.1169,0.0058,0.0,0.0,0.0612,-0.0185,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.06,0,sobe,0.3685,-0.1169,0.0058,0.0,0.0,0.0588,-0.0178,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.08,0,sobe,0.3685,-0.1169,0.0058,0.0,0.0,0.0588,-0.0178,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.1,0,sobe,0.3681,-0.125,0.0091,0.0,0.0,0.0345,-0.0072,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.12,0,sobe,0.3681,-0.125,0.0091,0.0,0.0,0.0346,-0.0072,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.14,0,sobe,0.3681,-0.125,0.0091,0.0,0.0,0.0345,-0.0072,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.16,0,sobe,0.3681,-0.125,0.0091,0.0,0.0,0.0345,-0.0072,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.18,0,sobe,0.3681,-0.125,0.0091,0.0,0.0,0.0326,-0.0095,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.2,0,sobe,0.3681,-0.125,0.0091,0.0,0.0,0.0326,-0.0095,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.22,0,sobe,0.3681,-0.125,0.0091,0.0,0.0,0.0313,-0.0091,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.24,0,sobe,0.3663,-0.1236,0.0117,0.0,0.0,0.0359,-0.004,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.26,0,sobe,0.3663,-0.1236,0.0117,0.0,0.0,0.0374,-0.0042,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.28,0,sobe,0.3663,-0.1236,0.0117,0.0,0.0,0.0208,0.0038,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.3,0,sobe,0.3685,-0.124,0.009,0.0,0.0,0.0156,-0.0016,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.32,0,sobe,0.3685,-0.124,0.009,0.0,0.0,0.0163,-0.0017,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.34,0,sobe,0.3685,-0.124,0.009,0.0,0.0,0.0163,-0.0017,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.36,0,sobe,0.3685,-0.124,0.009,0.0,0.0,0.0156,-0.0016,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.38,0,sobe,0.3685,-0.124,0.009,0.0,0.0,0.0156,-0.0016,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.4,0,sobe,0.3667,-0.1236,0.0087,0.0,0.0,0.019,-0.0024,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.42,0,sobe,0.3667,-0.1236,0.0087,0.0,0.0,0.0139,0.0,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.44,0,sobe,0.3667,-0.1236,0.0087,0.0,0.0,0.0139,0.0,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.46,0,sobe,0.3667,-0.1236,0.0087,0.0,0.0,0.0145,0.0,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.48,0,sobe,0.3667,-0.1236,0.0087,0.0,0.0,0.0144,0.006,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.5,0,sobe,0.3707,-0.1292,0.0096,0.0,0.0,0.0261,0.0079,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.52,0,sobe,0.3707,-0.1292,0.0096,0.0,0.0,0.0251,0.0076,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.54,0,sobe,0.3707,-0.1292,0.0096,0.0,0.0,0.0251,0.0076,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.56,0,sobe,0.3707,-0.1292,0.0096,0.0,0.0,0.0251,0.0076,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.58,0,sobe,0.3707,-0.1292,0.0096,0.0,0.0,0.0103,0.001,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.6,0,sobe,0.3725,-0.1346,0.013,0.0,0.0,0.0211,0.0077,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.62,0,sobe,0.3725,-0.1346,0.013,0.0,0.0,0.0211,0.0077,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.64,0,sobe,0.3725,-0.1346,0.013,0.0,0.0,0.0211,0.0077,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.66,0,sobe,0.3725,-0.1346,0.013,0.0,0.0,0.0211,0.0077,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.68,0,sobe,0.3725,-0.1346,0.013,0.0,0.0,0.0211,0.0077,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.7,0,sobe,0.3762,-0.1307,0.0103,0.0,0.0,0.0196,0.0023,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.72,0,sobe,0.3762,-0.1307,0.0103,0.0,0.0,0.0253,-0.0029,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.74,0,sobe,0.3762,-0.1307,0.0103,0.0,0.0,0.0253,-0.0029,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.76,0,sobe,0.3762,-0.1307,0.0103,0.0,0.0,0.0253,-0.0029,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.78,0,sobe,0.3762,-0.1307,0.0103,0.0,0.0,0.0243,-0.0028,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.8,0,sobe,0.3807,-0.1291,0.0108,0.0,0.0,0.0264,0.0036,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.82,0,sobe,0.3807,-0.1291,0.0108,0.0,0.0,0.0264,0.0036,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.84,0,sobe,0.3807,-0.1291,0.0108,0.0,0.0,0.0264,0.0036,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.86,0,sobe,0.3807,-0.1291,0.0108,0.0,0.0,0.0264,0.0036,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.88,0,sobe,0.3807,-0.1291,0.0108,0.0,0.0,0.0312,0.0045,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.9,0,sobe,0.3832,-0.1282,0.0122,0.0,0.0,0.0357,0.0075,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.92,0,sobe,0.3832,-0.1282,0.0122,0.0,0.0,0.0357,0.0074,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.94,0,sobe,0.3832,-0.1282,0.0122,0.0,0.0,0.0357,0.0075,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.96,0,sobe,0.3832,-0.1282,0.0122,0.0,0.0,0.0343,0.0072,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
1.98,0,sobe,0.3832,-0.1282,0.0122,0.0,0.0,0.0343,0.0072,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
2.0,0,sobe,0.3815,-0.1338,0.0162,0.0,0.0,0.0234,0.0133,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
2.02,0,sobe,0.3815,-0.1338,0.0162,0.0,0.6,0.0234,0.0133,0.0,0.0,0.8504,2.0344,1.5099,0.0,0.0
2.04,0,sobe,0.3815,-0.1338,0.0162,0.0,0.6,0.0234,0.0133,0.0,0.0,0.8504,2.0344,1.5699,0.0,0.1199
2.06,0,sobe,0.3815,-0.1338,0.0162,0.0,0.6,0.0234,0.0133,0.0,0.0,0.8504,2.0344,1.5699,0.0,0.12
2.08,0,sobe,0.3815,-0.1338,0.0162,0.0,0.6,0.0234,0.0133,0.0,0.0,0.8504,2.0344,1.5699,0.0,0.1199
2.1,0,sobe,0.3818,-0.1403,0.0136,0.0,0.6,0.0227,0.0014,0.0,0.0,0.8504,2.0344,1.5699,0.0,0.1249
2.12,0,sobe,0.3818,-0.1403,0.0136,0.0,0.6,0.0227,0.0014,0.0,0.0,0.8504,2.0344,1.5699,0.0,0.1249
2.14,0,sobe,0.3818,-0.1403,0.0136,0.0,0.6,0.0227,0.0014,0.0,0.0,0.8504,2.0344,1.6301,0.0,0.2502
2.16,0,sobe,0.3818,-0.1403,0.0136,0.0,0.6,0.0227,0.0014,0.0,0.0,0.8504,2.0344,1.6301,0.0,0.2502
