t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.4155,-0.126,0.0629,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.4155,-0.126,0.0629,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.4155,-0.126,0.0629,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.4147,-0.1241,0.0627,0.0,0.0,0.035,-0.0036,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.4147,-0.1241,0.0627,0.0,0.0,0.0262,-0.0027,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.4147,-0.1241,0.0627,0.0,0.0,0.021,-0.0021,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.4147,-0.1241,0.0627,0.0,0.0,0.0175,-0.0018,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.14,0,sobe,0.4147,-0.1241,0.0627,0.0,0.0,0.015,-0.0015,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.16,0,sobe,0.4195,-0.1242,0.0632,0.0,0.0,0.0272,0.0017,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.18,0,sobe,0.4195,-0.1242,0.0632,0.0,0.0,0.0242,0.0015,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.2,0,sobe,0.4195,-0.1242,0.0632,0.0,0.0,0.0217,0.0014,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.22,0,sobe,0.4195,-0.1242,0.0632,0.0,0.0,0.0197,0.0013,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.241,0,sobe,0.4195,-0.1242,0.0632,0.0,0.0,0.0181,0.0011,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.26,0,sobe,0.4195,-0.1242,0.0632,0.0,0.0,0.0167,0.0011,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.28,0,sobe,0.4195,-0.1242,0.0632,0.0,0.0,0.0155,0.001,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.3,0,sobe,0.4229,-0.1251,0.0587,0.0,0.0,0.0247,-0.014,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.32,0,sobe,0.4229,-0.1251,0.0587,0.0,0.0,0.0232,-0.0132,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.34,0,sobe,0.4229,-0.1251,0.0587,0.0,0.0,0.0218,-0.0124,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.36,0,sobe,0.4243,-0.1288,0.0619,0.0,0.0,0.0258,-0.0028,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.38,0,sobe,0.4243,-0.1288,0.0619,0.0,0.0,0.0244,-0.0026,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.4,0,sobe,0.4243,-0.1288,0.0619,0.0,0.0,0.0232,-0.0025,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.42,0,sobe,0.4243,-0.1288,0.0619,0.0,0.0,0.0221,-0.0024,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.44,0,sobe,0.4243,-0.1288,0.0619,0.0,0.0,0.0211,-0.0023,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.46,0,sobe,0.4243,-0.1288,0.0619,0.0,0.0,0.0202,-0.0022,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.48,0,sobe,0.4243,-0.1288,0.0619,0.0,0.0,0.0193,-0.0021,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.5,0,sobe,0.4225,-0.1347,0.0637,0.0,0.0,0.0232,0.0015,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.52,0,sobe,0.4225,-0.1347,0.0637,0.0,0.0,0.0232,0.0015,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.54,0,sobe,0.4225,-0.1347,0.0637,0.0,0.0,0.0275,0.0019,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.56,0,sobe,0.4225,-0.1347,0.0637,0.0,0.0,0.0275,0.0019,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
0.58,0,sobe,0.4221,-0.136,0.0653,0.0,0.0,0.0293,0.0053,0.0,0.0,0.8504,2.0344,2.7099,0.0,0.0
