t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3903,-0.1011,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.02,0,sobe,0.3903,-0.1011,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.04,0,sobe,0.3871,-0.0958,0.0203,0.0,0.0,0.1525,0.0401,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.06,0,sobe,0.3871,-0.0958,0.0203,0.0,0.0,0.1018,0.0267,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.08,0,sobe,0.3871,-0.0958,0.0203,0.0,0.0,0.0764,0.0201,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.1,0,sobe,0.3871,-0.0958,0.0203,0.0,0.0,0.0611,0.0161,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.12,0,sobe,0.3871,-0.0958,0.0203,0.0,0.0,0.0509,0.0134,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.14,0,sobe,0.3854,-0.1001,0.0182,0.0,0.0,0.0358,-0.0037,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.16,0,sobe,0.3854,-0.1001,0.0182,0.0,0.0,0.0313,-0.0033,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.18,0,sobe,0.3854,-0.1001,0.0182,0.0,0.0,0.0278,-0.0029,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.2,0,sobe,0.3854,-0.1001,0.0182,0.0,0.0,0.025,-0.0026,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.22,0,sobe,0.3854,-0.1001,0.0182,0.0,0.0,0.0228,-0.0024,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.24,0,sobe,0.3863,-0.0978,0.0165,0.0,0.0,0.0214,-0.0093,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.26,0,sobe,0.3863,-0.0978,0.0165,0.0,0.0,0.0198,-0.0086,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.28,0,sobe,0.3863,-0.0978,0.0165,0.0,0.0,0.0184,-0.008,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.3,0,sobe,0.3863,-0.0978,0.0165,0.0,0.0,0.0171,-0.0075,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.32,0,sobe,0.3863,-0.0978,0.0165,0.0,0.0,0.0161,-0.007,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.34,0,sobe,0.3826,-0.1023,0.0208,0.0,0.0,0.0229,0.006,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.36,0,sobe,0.3826,-0.1023,0.0208,0.0,0.0,0.0216,0.0056,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.38,0,sobe,0.3826,-0.1023,0.0208,0.0,0.0,0.0205,0.0053,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
0.4,0,sobe,0.3826,-0.1023,0.0208,0.0,0.0,0.0195,0.0051,0.0,0.0,0.8504,2.0344,-2.3733,0.0,0.0
