t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3652,-0.1358,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.3652,-0.1358,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.365,-0.1334,0.0278,0.0,0.0,0.0579,-0.0466,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.365,-0.1334,0.0278,0.0,0.0,0.0386,-0.0311,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.365,-0.1334,0.0278,0.0,0.0,0.0289,-0.0233,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.365,-0.1334,0.0278,0.0,0.0,0.0231,-0.0186,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.365,-0.1334,0.0278,0.0,0.0,0.0192,-0.0155,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.365,-0.1334,0.0278,0.0,0.0,0.0165,-0.0133,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.365,-0.1334,0.0278,0.0,0.0,0.0144,-0.0116,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,0.3649,-0.1343,0.0283,0.0,0.0,0.008,-0.0077,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,0.3649,-0.1343,0.0283,0.0,0.0,0.0072,-0.007,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,0.3649,-0.1343,0.0283,0.0,0.0,0.0065,-0.0063,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,0.3649,-0.1292,0.0241,0.0,0.0,0.0274,-0.0231,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,0.3649,-0.1292,0.0241,0.0,0.0,0.0252,-0.0213,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,0.3649,-0.1292,0.0241,0.0,0.0,0.0234,-0.0198,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,0.3649,-0.1292,0.0241,0.0,0.0,0.0219,-0.0185,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,0.3649,-0.1292,0.0241,0.0,0.0,0.0205,-0.0173,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,0.3649,-0.1292,0.0241,0.0,0.0,0.0193,-0.0163,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,0.3649,-0.1292,0.0241,0.0,0.0,0.0182,-0.0154,0.0,0.0,,,,0.0,0.0
