t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3873,-0.4139,1.5485,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.3873,-0.4139,1.5485,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.3873,-0.4139,1.5485,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.3873,-0.4139,1.5485,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.3873,-0.4175,1.5456,0.0,0.0,0.0452,-0.0365,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.3873,-0.4175,1.5456,0.0,0.0,0.0362,-0.0292,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.3873,-0.4175,1.5456,0.0,0.0,0.0301,-0.0243,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.14,0,sobe,0.3873,-0.4175,1.5456,0.0,0.0,0.0258,-0.0208,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.16,0,sobe,0.387,-0.4225,1.5465,0.0,0.0,0.054,-0.0126,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.18,0,sobe,0.387,-0.4225,1.5465,0.0,0.0,0.048,-0.0112,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.2,0,sobe,0.387,-0.4225,1.5465,0.0,0.0,0.0432,-0.01,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.22,0,sobe,0.387,-0.4225,1.5465,0.0,0.0,0.0392,-0.0091,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.24,0,sobe,0.387,-0.4225,1.5465,0.0,0.0,0.036,-0.0084,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.26,0,sobe,0.387,-0.4225,1.5465,0.0,0.0,0.0332,-0.0077,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.28,0,sobe,0.3858,-0.4248,1.5452,0.0,0.0,0.0396,-0.012,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.3,0,sobe,0.3858,-0.4248,1.5452,0.0,0.0,0.037,-0.0112,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.32,0,sobe,0.3858,-0.4248,1.5452,0.0,0.0,0.0347,-0.0105,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.34,0,sobe,0.3858,-0.4248,1.5452,0.0,0.0,0.0326,-0.0099,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.36,0,sobe,0.3864,-0.4235,1.5445,0.0,0.0,0.0269,-0.0112,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.38,0,sobe,0.3864,-0.4235,1.5445,0.0,0.0,0.0255,-0.0106,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.4,0,sobe,0.3864,-0.4235,1.5445,0.0,0.0,0.0242,-0.0101,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.42,0,sobe,0.3864,-0.4235,1.5445,0.0,0.0,0.023,-0.0096,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.44,0,sobe,0.3864,-0.4235,1.5445,0.0,0.0,0.022,-0.0092,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.46,0,sobe,0.3864,-0.4235,1.5445,0.0,0.0,0.021,-0.0088,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.48,0,sobe,0.3834,-0.4213,1.5438,0.0,0.0,0.0177,-0.0099,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.5,0,sobe,0.3834,-0.4213,1.5438,0.0,0.0,0.0169,-0.0095,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.52,0,sobe,0.3834,-0.4213,1.5438,0.0,0.0,0.017,-0.0095,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.54,0,sobe,0.3834,-0.4213,1.5438,0.0,0.0,0.017,-0.0095,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.56,0,sobe,0.379,-0.4247,1.5523,0.0,0.0,0.0272,0.0074,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.58,0,sobe,0.379,-0.4247,1.5523,0.0,0.0,0.0228,0.0138,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.6,0,sobe,0.379,-0.4247,1.5523,0.0,0.0,0.0228,0.0138,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.62,0,sobe,0.379,-0.4247,1.5523,0.0,0.0,0.0228,0.0138,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.64,0,sobe,0.379,-0.4247,1.5523,0.0,0.0,0.0171,0.0119,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.66,0,sobe,0.379,-0.4247,1.5523,0.0,0.0,0.0171,0.0119,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.68,0,sobe,0.377,-0.4293,1.5473,0.0,0.0,0.0252,0.0015,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.7,0,sobe,0.377,-0.4293,1.5473,0.0,0.0,0.0242,0.0015,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.72,0,sobe,0.377,-0.4293,1.5473,0.0,0.0,0.0242,0.0015,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.74,0,sobe,0.377,-0.4293,1.5473,0.0,0.0,0.0242,0.0015,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.76,0,sobe,0.3725,-0.4281,1.5497,0.0,0.0,0.0311,0.0064,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
0.78,0,sobe,0.3725,-0.4281,1.5497,0.0,0.0,0.0274,0.0091,0.0,0.0,0.9082,2.9827,1.5099,0.0,0.0
