t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.2877,-0.1358,3.1366,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.2888,-0.1412,3.1377,0.0,0.0,0.274,0.0538,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.2888,-0.1412,3.1377,0.0,0.0,0.1367,0.0268,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.2888,-0.1412,3.1377,0.0,0.0,0.0911,0.0179,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.2888,-0.1412,3.1377,0.0,0.0,0.0683,0.0134,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.1,0,sobe,0.2888,-0.1412,3.1377,0.0,0.0,0.0546,0.0107,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.12,0,sobe,0.2927,-0.1407,3.1363,0.0,0.0,0.058,-0.0028,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.14,0,sobe,0.2927,-0.1407,3.1363,0.0,0.0,0.0497,-0.0024,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.16,0,sobe,0.2927,-0.1407,3.1363,0.0,0.0,0.0434,-0.0021,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.18,0,sobe,0.2927,-0.1407,3.1363,0.0,0.0,0.0386,-0.0019,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.2,0,sobe,0.2927,-0.1407,3.1363,0.0,0.0,0.0347,-0.0017,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.22,0,sobe,0.2927,-0.1407,3.1363,0.0,0.0,0.0316,-0.0015,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.24,0,sobe,0.2929,-0.1397,3.1399,0.0,0.0,0.0268,0.0138,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.26,0,sobe,0.2929,-0.1397,3.1399,0.0,0.0,0.0248,0.0127,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.28,0,sobe,0.2929,-0.1397,3.1399,0.0,0.0,0.023,0.0118,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.3,0,sobe,0.2929,-0.1397,3.1399,0.0,0.0,0.0215,0.011,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.32,0,sobe,0.2961,-0.1398,3.1376,0.0,0.0,0.029,0.0032,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.34,0,sobe,0.2961,-0.1398,3.1376,0.0,0.0,0.0273,0.003,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.36,0,sobe,0.2961,-0.1398,3.1376,0.0,0.0,0.0257,0.0029,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.38,0,sobe,0.2961,-0.1398,3.1376,0.0,0.0,0.0244,0.0027,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.4,0,sobe,0.2961,-0.1398,3.1376,0.0,0.0,0.0232,0.0026,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.42,0,sobe,0.2961,-0.1398,3.1376,0.0,0.0,0.0221,0.0024,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.44,0,sobe,0.2937,-0.1387,3.1385,0.0,0.0,0.015,0.0043,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.46,0,sobe,0.2937,-0.1387,3.1385,0.0,0.0,0.0143,0.0041,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.48,0,sobe,0.2937,-0.1387,3.1385,0.0,0.0,0.0137,0.0039,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.5,0,sobe,0.2937,-0.1387,3.1385,0.0,0.0,0.0132,0.0038,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.52,0,sobe,0.299,-0.1379,3.139,0.0,0.0,0.0214,0.0026,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.54,0,sobe,0.299,-0.1379,3.139,0.0,0.0,0.0214,0.0026,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.56,0,sobe,0.299,-0.1379,3.139,0.0,0.0,0.0214,0.0026,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.887,0,sobe,0.299,-0.1379,3.139,0.0,0.0,0.0071,0.0028,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.9,0,sobe,0.295,-0.1358,3.1369,0.0,0.0,0.0083,-0.0014,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.92,0,sobe,0.2937,-0.1352,3.1358,0.0,0.0,0.0104,-0.0037,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.94,0,sobe,0.2937,-0.1352,3.1358,0.0,0.0,0.007,-0.0054,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.96,0,sobe,0.2937,-0.1352,3.1358,0.0,0.0,0.007,-0.0054,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
0.98,0,sobe,0.2937,-0.1352,3.1358,0.0,0.0,0.0072,-0.0056,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.0,0,sobe,0.2937,-0.1352,3.1358,0.0,0.0,0.0125,-0.0066,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.02,0,sobe,0.2937,-0.1352,3.1358,0.0,0.0,0.0125,-0.0066,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.04,0,sobe,0.293,-0.1358,-3.1411,0.0,0.0,0.0134,0.0064,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.06,0,sobe,0.293,-0.1358,-3.1411,0.0,0.0,0.0372,0.0178,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.08,0,sobe,0.293,-0.1358,-3.1411,0.0,0.0,0.0333,0.0159,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.1,0,sobe,0.293,-0.1358,-3.1411,0.0,0.0,0.0302,0.0144,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.12,0,sobe,0.2966,-0.1339,3.1374,0.0,0.0,0.0202,-0.0067,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.14,0,sobe,0.2966,-0.1339,3.1374,0.0,0.0,0.0186,-0.0062,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.16,0,sobe,0.2966,-0.1339,3.1374,0.0,0.0,0.0172,-0.0057,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.18,0,sobe,0.2966,-0.1339,3.1374,0.0,0.0,0.016,-0.0053,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.2,0,sobe,0.2966,-0.1339,3.1374,0.0,0.0,0.015,-0.005,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.22,0,sobe,0.2966,-0.1339,3.1374,0.0,0.0,0.0141,-0.0047,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
1.24,0,sobe,0.2924,-0.1334,3.136,0.0,0.0,0.0228,-0.0084,0.0,0.0,0.9097,3.0076,1.5099,0.0,0.0
