t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.2919,-0.1538,-3.1073,0.0,0.0,0.0,0.0,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.02,0,sobe,0.2914,-0.154,-3.1062,0.0,0.0,0.0266,0.0585,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.04,0,sobe,0.2914,-0.154,-3.1062,0.0,0.0,0.0133,0.0292,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.06,0,sobe,0.2914,-0.154,-3.1062,0.0,0.0,0.0089,0.0195,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.08,0,sobe,0.2914,-0.154,-3.1062,0.0,0.0,0.0066,0.0146,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.1,0,sobe,0.2914,-0.154,-3.1062,0.0,0.0,0.0053,0.0117,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.12,0,sobe,0.2919,-0.1529,-3.1109,0.0,0.0,0.0075,-0.0295,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.14,0,sobe,0.2919,-0.1529,-3.1109,0.0,0.0,0.0064,-0.0252,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.16,0,sobe,0.2919,-0.1529,-3.1109,0.0,0.0,0.0056,-0.0221,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.18,0,sobe,0.2919,-0.1529,-3.1109,0.0,0.0,0.005,-0.0196,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.2,0,sobe,0.2919,-0.1529,-3.1109,0.0,0.0,0.0045,-0.0177,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.22,0,sobe,0.2942,-0.1554,-3.1099,0.0,0.0,0.0125,-0.0118,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.24,0,sobe,0.2942,-0.1554,-3.1099,0.0,0.0,0.0115,-0.0108,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.26,0,sobe,0.2942,-0.1554,-3.1099,0.0,0.0,0.0106,-0.01,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.28,0,sobe,0.2942,-0.1554,-3.1099,0.0,0.0,0.0098,-0.0093,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.3,0,sobe,0.2942,-0.1554,-3.1099,0.0,0.0,0.0092,-0.0086,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.32,0,sobe,0.2962,-0.1512,-3.1116,0.0,0.0,0.0157,-0.0132,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.34,0,sobe,0.2962,-0.1512,-3.1116,0.0,0.0,0.0148,-0.0124,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.36,0,sobe,0.2962,-0.1512,-3.1116,0.0,0.0,0.0139,-0.0117,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.38,0,sobe,0.2962,-0.1512,-3.1116,0.0,0.0,0.0132,-0.0111,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.4,0,sobe,0.2962,-0.1512,-3.1116,0.0,0.0,0.0126,-0.0106,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.42,0,sobe,0.2978,-0.1499,-3.1108,0.0,0.0,0.0167,-0.0084,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.44,0,sobe,0.2978,-0.1499,-3.1108,0.0,0.0,0.0159,-0.008,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.46,0,sobe,0.2978,-0.1499,-3.1108,0.0,0.0,0.0152,-0.0076,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.48,0,sobe,0.2978,-0.1499,-3.1108,0.0,0.0,0.0146,-0.0073,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.5,0,sobe,0.2978,-0.1499,-3.1108,0.0,0.0,0.0157,-0.0098,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.52,0,sobe,0.2952,-0.1477,-3.1128,0.0,0.0,0.0152,-0.0137,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.54,0,sobe,0.2952,-0.1477,-3.1128,0.0,0.0,0.0152,-0.0137,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.56,0,sobe,0.2952,-0.1477,-3.1128,0.0,0.0,0.0146,-0.0132,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.58,0,sobe,0.2952,-0.1477,-3.1128,0.0,0.0,0.0152,-0.0137,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.6,0,sobe,0.2952,-0.1477,-3.1128,0.0,0.0,0.0129,-0.0039,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.62,0,sobe,0.2881,-0.1471,-3.1068,0.0,0.0,0.0144,0.0085,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.64,0,sobe,0.2881,-0.1471,-3.1068,0.0,0.0,0.0138,0.0082,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.66,0,sobe,0.2881,-0.1471,-3.1068,0.0,0.0,0.0138,0.0082,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.68,0,sobe,0.2881,-0.1471,-3.1068,0.0,0.0,0.0144,0.0085,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.7,0,sobe,0.2881,-0.1471,-3.1068,0.0,0.0,0.0138,0.0082,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
0.72,0,sobe,0.2876,-0.1459,-3.1126,0.0,0.0,0.0241,-0.0055,0.0,0.0,0.9158,3.1074,1.5099,0.0,0.0
