t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.019,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.039,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.059,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.079,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.099,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.119,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.139,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.159,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.179,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.199,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.219,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.239,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.259,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.279,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.299,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.319,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.339,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.359,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.379,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.399,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.419,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.439,0,sobe,0.817,-0.3257,-2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.844,0.0335,-1.9083,0.0,0.0
0.459,0,sobe,0.8181,-0.3246,-2.3835,0.0,0.0,0.0033,-0.0005,-0.0797,-0.0143,0.844,0.0335,-1.9083,0.0,0.0
0.479,0,sobe,0.8193,-0.3236,-2.3838,0.0,0.0,0.0065,-0.0011,-0.0797,-0.0143,0.844,0.0335,-1.9083,0.0,0.0
0.499,0,sobe,0.8206,-0.3224,-2.3841,0.0,0.0,0.0096,-0.0017,-0.08,-0.013,0.844,0.0335,-1.9083,0.0,0.0
0.519,0,sobe,0.8217,-0.3213,-2.3843,0.0,0.0,0.0128,-0.0022,-0.08,-0.0122,0.8466,0.0411,-1.9097,0.016,-0.0029
0.539,0,sobe,0.8229,-0.3203,-2.3846,0.0,0.0,0.016,-0.0027,-0.08,-0.0122,0.8466,0.0411,-1.9097,0.016,-0.0029
0.559,0,sobe,0.8241,-0.3192,-2.3847,0.0,0.0,0.0191,-0.003,-0.0784,-0.0071,0.8466,0.0411,-1.9097,0.016,-0.0029
0.579,0,sobe,0.8252,-0.3181,-2.3849,0.0,0.0,0.0223,-0.0033,-0.0784,-0.0071,0.8466,0.0411,-1.9097,0.016,-0.0029
0.599,0,sobe,0.8264,-0.3171,-2.385,0.0,0.0,0.0254,-0.0035,-0.0784,-0.0071,0.8466,0.0411,-1.9097,0.016,-0.0029
0.619,0,sobe,0.8275,-0.316,-2.3851,0.0,0.0,0.0285,-0.0038,-0.0784,-0.0071,0.8466,0.0411,-1.9097,0.016,-0.0029
0.639,0,sobe,0.8287,-0.3149,-2.3853,0.0,0.0,0.0317,-0.0041,-0.0784,-0.0071,0.8492,0.0485,-1.9105,0.0317,-0.0045
0.659,0,sobe,0.8291,-0.3145,-2.3854,0.0,0.0,0.0328,-0.0043,-0.0226,-0.002,0.8492,0.0485,-1.9105,0.0317,-0.0045
