t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.7897,-1.1106,2.7434,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.7897,-1.1106,2.7434,0.0,0.0,0.0,0.0,0.0,0.0,1.0787,-0.7289,3.0349,0.0,0.0
0.04,0,sobe,0.7897,-1.1106,2.7434,0.0,0.0,0.0,0.0,0.0,0.0,1.0787,-0.7289,3.0349,0.0,0.0
0.06,0,sobe,0.791,-1.1112,2.7429,0.0,0.0,0.0246,-0.0082,-0.0785,-0.0309,1.0787,-0.7289,3.0349,0.0,0.0
0.08,0,sobe,0.7924,-1.1119,2.7423,0.0,0.0,0.0381,-0.0139,-0.0785,-0.0309,1.0787,-0.7289,3.0349,0.0,0.0
0.1,0,sobe,0.794,-1.1126,2.7417,0.0,0.0,0.0471,-0.0166,-0.0792,-0.0265,1.0787,-0.7289,3.0349,0.0,0.0
0.12,0,sobe,0.7954,-1.1132,2.7412,0.0,0.0,0.0525,-0.0182,-0.0792,-0.0265,1.0787,-0.7289,3.0349,0.0,0.0
0.141,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0583,-0.0206,-0.0,0.0,1.0866,-0.7298,3.0318,0.0655,-0.0256
0.16,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0514,-0.0182,-0.0,0.0,1.0866,-0.7298,3.0318,0.0566,-0.0221
0.18,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0457,-0.0162,0.0,0.0,1.0866,-0.7298,3.0318,0.0495,-0.0193
0.2,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0411,-0.0145,0.0,0.0,1.0866,-0.7298,3.0318,0.044,-0.0172
0.22,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0374,-0.0132,0.0,0.0,1.0866,-0.7298,3.0318,0.0396,-0.0155
0.24,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0343,-0.0121,0.0,0.0,1.0866,-0.7298,3.0318,0.036,-0.0141
0.26,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0316,-0.0112,0.0,0.0,1.0866,-0.7298,3.0318,0.033,-0.0129
0.28,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0294,-0.0104,-0.0,0.0,1.0866,-0.7298,3.0318,0.0305,-0.0119
0.3,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0274,-0.0097,-0.0,0.0,1.0866,-0.7298,3.0318,0.0283,-0.011
0.32,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0257,-0.0091,-0.0,0.0,1.0866,-0.7298,3.0318,0.0264,-0.0103
0.34,0,sobe,0.7972,-1.114,2.7405,0.0,0.0,0.0242,-0.0086,0.0,0.0,1.0866,-0.7298,3.0318,0.0247,-0.0097
0.36,0,sobe,0.7985,-1.1146,2.7403,0.0,0.0,0.027,-0.0086,-0.0797,-0.013,1.0866,-0.7298,3.0318,0.0233,-0.0091
0.38,0,sobe,0.8,-1.1152,2.74,0.0,0.0,0.0298,-0.0088,-0.0797,-0.013,1.0866,-0.7298,3.0318,0.022,-0.0086
0.4,0,sobe,0.8016,-1.1159,2.7398,0.0,0.0,0.0325,-0.009,-0.08,-0.0111,1.0866,-0.7298,3.0318,0.0208,-0.0081
0.42,0,sobe,0.803,-1.1165,2.7396,0.0,0.0,0.0348,-0.0091,-0.08,-0.0111,1.0866,-0.7298,3.0318,0.0198,-0.0077
0.44,0,sobe,0.8045,-1.1172,2.7393,0.0,0.0,0.0368,-0.0092,-0.08,-0.0111,1.0946,-0.7307,3.0305,0.0379,-0.0104
0.46,0,sobe,0.8057,-1.1177,2.7392,0.0,0.0,0.0381,-0.009,-0.0671,-0.0061,1.0946,-0.7307,3.0305,0.0362,-0.01
0.48,0,sobe,0.807,-1.1182,2.7391,0.0,0.0,0.0393,-0.0089,-0.0671,-0.0061,1.0946,-0.7307,3.0305,0.0346,-0.0095
0.5,0,sobe,0.8082,-1.1188,2.739,0.0,0.0,0.0405,-0.0088,-0.0671,-0.0061,1.0946,-0.7307,3.0305,0.0332,-0.0091
0.52,0,sobe,0.8094,-1.1193,2.7388,0.0,0.0,0.0431,-0.009,-0.0671,-0.0061,1.0946,-0.7307,3.0305,0.0318,-0.0088
0.54,0,sobe,0.8106,-1.1199,2.7387,0.0,0.0,0.0458,-0.0093,-0.0671,-0.0061,1.1012,-0.7314,3.0298,0.0453,-0.0102
0.56,0,sobe,0.811,-1.12,2.7387,0.0,0.0,0.0436,-0.0084,-0.0102,0.0,1.1012,-0.7314,3.0298,0.0453,-0.0102
0.58,0,sobe,0.8112,-1.12,2.7386,0.0,0.0,0.0409,-0.0072,-0.0102,0.0,1.1012,-0.7314,3.0298,0.0453,-0.0102
0.6,0,sobe,0.8114,-1.1201,2.7386,0.0,0.0,0.038,-0.0062,-0.0102,0.0,1.1012,-0.7314,3.0298,0.0453,-0.0102
0.62,0,sobe,0.8116,-1.1202,2.7386,0.0,0.0,0.0352,-0.0051,-0.0102,0.0,1.1012,-0.7314,3.0298,0.0453,-0.0102
0.64,0,sobe,0.8118,-1.1203,2.7386,0.0,0.0,0.0318,-0.0037,-0.0102,0.0,1.1023,-0.7315,3.0296,0.0315,-0.0042
0.66,0,sobe,0.8118,-1.1203,2.7386,0.0,0.0,0.0318,-0.0037,0.0,0.0,1.1023,-0.7315,3.0296,0.0315,-0.0042
0.68,0,sobe,0.8118,-1.1203,2.7386,0.0,0.0,0.0318,-0.0037,0.0,0.0,1.1023,-0.7315,3.0296,0.0315,-0.0042
0.7,0,sobe,0.8118,-1.1203,2.7386,0.0,0.0,0.0318,-0.0037,-0.0,0.0,1.1023,-0.7315,3.0296,0.0315,-0.0042
0.721,0,sobe,0.8118,-1.1203,2.7386,0.0,0.0,0.033,-0.0039,0.0,0.0,1.1023,-0.7315,3.0296,0.0327,-0.0044
