t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0632,-1.2365,-2.235,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.0632,-1.2365,-2.235,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.0632,-1.2365,-2.235,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.0632,-1.2365,-2.235,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.0639,-1.2375,-2.2367,0.0,0.0,0.0157,-0.0205,0.0796,-0.1308,,,,0.0,0.0
0.1,0,sobe,-0.0647,-1.2389,-2.2393,0.0,0.0,0.0287,-0.0421,0.08,-0.1286,,,,0.0,0.0
0.12,0,sobe,-0.0655,-1.2403,-2.2418,0.0,0.0,0.0374,-0.0565,0.08,-0.1286,,,,0.0,0.0
0.14,0,sobe,-0.0664,-1.2417,-2.2444,0.0,0.0,0.0436,-0.0668,0.08,-0.1286,,,,0.0,0.0
0.16,0,sobe,-0.0672,-1.243,-2.247,0.0,0.0,0.0482,-0.0745,0.08,-0.1286,,,,0.0,0.0
0.18,0,sobe,-0.0672,-1.2431,-2.2474,0.0,0.0,0.0434,-0.0689,-0.0,0.0,,,,0.0,0.0
0.2,0,sobe,-0.0672,-1.2431,-2.2474,0.0,0.0,0.0391,-0.062,-0.0,0.0,,,,0.0,0.0
0.22,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0352,-0.0569,-0.0,-0.0,,,,0.0,0.0
0.24,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0322,-0.0521,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0298,-0.0481,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0276,-0.0447,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0258,-0.0417,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0242,-0.0391,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0228,-0.0368,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,-0.0672,-1.2431,-2.2476,0.0,0.0,0.0215,-0.0348,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,-0.0679,-1.2441,-2.249,0.0,0.0,0.0237,-0.0367,0.0803,-0.114,,,,0.0,0.0
0.4,0,sobe,-0.0688,-1.2455,-2.2512,0.0,0.0,0.0266,-0.0405,0.0807,-0.1122,,,,0.0,0.0
0.42,0,sobe,-0.0696,-1.2469,-2.2535,0.0,0.0,0.0292,-0.0439,0.0806,-0.1121,,,,0.0,0.0
