t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0085,0.0007,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.0085,0.0007,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.0085,0.0007,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0,sobe,0.0085,0.0007,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0,sobe,0.0081,0.0018,-0.0079,0.0,0.0,0.0142,-0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,sobe,0.0081,0.0018,-0.0079,0.0,0.0,0.0114,-0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0,sobe,0.0081,0.0018,-0.0079,0.0,0.0,0.0095,-0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0,sobe,0.0081,0.0018,-0.0079,0.0,0.0,0.0081,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0,sobe,0.0081,0.0018,-0.0079,0.0,0.0,0.0071,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0,sobe,0.0071,0.0017,-0.0099,0.0,0.0,0.0095,-0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,sobe,0.0071,0.0017,-0.0099,0.0,0.0,0.0086,-0.0129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0,sobe,0.0071,0.0017,-0.0099,0.0,0.0,0.0078,-0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0,sobe,0.0071,0.0017,-0.0099,0.0,0.0,0.0071,-0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0,sobe,0.0071,0.0017,-0.0099,0.0,0.0,0.0066,-0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0,sobe,0.0093,0.0015,-0.0076,0.0,0.0,0.0039,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,sobe,0.0093,0.0015,-0.0076,0.0,0.0,0.0037,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0,sobe,0.0093,0.0015,-0.0076,0.0,0.0,0.0034,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0,sobe,0.0093,0.0015,-0.0076,0.0,0.0,0.0032,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0,sobe,0.0093,0.0015,-0.0076,0.0,0.0,0.003,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0,sobe,0.0118,0.0027,-0.008,0.0,0.0,0.0101,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,sobe,0.0118,0.0027,-0.008,0.0,0.0,0.0096,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0,sobe,0.0118,0.0027,-0.008,0.0,0.0,0.0092,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0,sobe,0.0118,0.0027,-0.008,0.0,0.0,0.0088,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0,sobe,0.0118,0.0027,-0.008,0.0,0.0,0.0084,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0,sobe,0.0099,-0.0002,-0.0096,0.0,0.0,0.0035,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0,sobe,0.0099,-0.0002,-0.0096,0.0,0.0,0.0035,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0,sobe,0.0099,-0.0002,-0.0096,0.0,0.0,0.0035,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0,sobe,0.0099,-0.0002,-0.0096,0.0,0.0,0.0035,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0,sobe,0.0099,-0.0002,-0.0096,0.0,0.0,0.0056,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0,sobe,0.0095,-0.0001,-0.0085,0.0,0.0,0.0048,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0,sobe,0.0095,-0.0001,-0.0085,0.0,0.0,0.0048,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0,sobe,0.0095,-0.0001,-0.0085,0.0,0.0,0.0048,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.902,0,sobe,0.0095,-0.0001,-0.0085,0.0,0.0,0.0075,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0,sobe,0.0095,-0.001,-0.008,0.0,0.0,0.009,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94,0,sobe,0.0095,-0.001,-0.008,0.0,0.0,0.0087,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0,sobe,0.0095,-0.001,-0.008,0.0,0.0,0.0018,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0,sobe,0.0091,-0.0009,-0.0091,0.0,0.0,0.0022,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,sobe,0.0091,-0.0009,-0.0091,0.0,0.0,0.0022,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02,0,sobe,0.0091,-0.0009,-0.0091,0.0,0.0,0.0022,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,0,sobe,0.0091,-0.0009,-0.0091,0.0,0.0,0.0021,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,0,sobe,0.0091,-0.0009,-0.0091,0.0,0.0,0.0021,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.08,0,sobe,0.0066,-0.0014,-0.0099,0.0,0.0,0.0064,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0,sobe,0.0066,-0.0014,-0.0099,0.0,0.0,0.0064,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.12,0,sobe,0.0066,-0.0014,-0.0099,0.0,0.0,0.0146,-0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.14,0,sobe,0.0066,-0.0014,-0.0099,0.0,0.0,0.0133,-0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.16,0,sobe,0.0066,-0.0014,-0.0099,0.0,0.0,0.0123,-0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.18,0,sobe,0.0103,-0.0001,-0.0077,0.0,0.0,0.0027,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0,sobe,0.0103,-0.0001,-0.0077,0.0,0.0,0.0025,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.22,0,sobe,0.0103,-0.0001,-0.0077,0.0,0.0,0.0024,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.24,0,sobe,0.0103,-0.0001,-0.0077,0.0,0.0,0.0022,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.26,0,sobe,0.0103,-0.0001,-0.0077,0.0,0.0,0.0021,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.28,0,sobe,0.0099,-0.004,-0.0101,0.0,0.0,0.0104,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0,sobe,0.0099,-0.004,-0.0101,0.0,0.0,0.0099,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32,0,sobe,0.0099,-0.004,-0.0101,0.0,0.0,0.0094,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.34,0,sobe,0.0099,-0.004,-0.0101,0.0,0.0,0.009,-0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.36,0,sobe,0.0099,-0.004,-0.0101,0.0,0.0,0.0086,-0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.38,0,sobe,0.0126,-0.0054,-0.0095,0.0,0.0,0.0129,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0,sobe,0.0126,-0.0054,-0.0095,0.0,0.0,0.0124,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.42,0,sobe,0.0126,-0.0054,-0.0095,0.0,0.0,0.0108,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.44,0,sobe,0.0126,-0.0054,-0.0095,0.0,0.0,0.0112,-0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
