t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0058,0.0092,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.0058,0.0092,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.0058,0.0092,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.0058,0.0092,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.08,0,sobe,0.0058,0.0092,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.1,0,sobe,0.0058,0.0092,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.12,0,sobe,0.0058,0.0092,-0.0358,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.14,0,sobe,0.0051,0.0096,-0.0331,0.0,0.0,0.0057,0.0191,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.16,0,sobe,0.0051,0.0096,-0.0331,0.0,0.0,0.005,0.0167,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.18,0,sobe,0.0051,0.0096,-0.0331,0.0,0.0,0.0045,0.0148,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.2,0,sobe,0.0068,0.0098,-0.0348,0.0,0.0,0.0063,0.0049,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.22,0,sobe,0.0068,0.0098,-0.0348,0.0,0.0,0.0057,0.0045,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.24,0,sobe,0.0068,0.0098,-0.0348,0.0,0.0,0.0052,0.0041,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.26,0,sobe,0.0068,0.0098,-0.0348,0.0,0.0,0.0048,0.0038,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.28,0,sobe,0.0068,0.0098,-0.0348,0.0,0.0,0.0045,0.0035,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.3,0,sobe,0.0062,0.0107,-0.0334,0.0,0.0,0.0052,0.0082,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.32,0,sobe,0.0062,0.0107,-0.0334,0.0,0.0,0.0049,0.0077,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.34,0,sobe,0.0062,0.0107,-0.0334,0.0,0.0,0.0046,0.0072,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.36,0,sobe,0.0062,0.0107,-0.0334,0.0,0.0,0.0043,0.0068,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.38,0,sobe,0.0062,0.0107,-0.0334,0.0,0.0,0.0041,0.0064,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.4,0,sobe,0.0062,0.0107,-0.0334,0.0,0.0,0.0039,0.0061,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.42,0,sobe,0.0062,0.0107,-0.0334,0.0,0.0,0.0037,0.0058,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.44,0,sobe,0.0096,0.0095,-0.0356,0.0,0.0,0.0087,0.0004,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.46,0,sobe,0.0096,0.0095,-0.0356,0.0,0.0,0.0083,0.0004,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.48,0,sobe,0.0096,0.0095,-0.0356,0.0,0.0,0.008,0.0004,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.5,0,sobe,0.0096,0.0095,-0.0356,0.0,0.0,0.008,0.0004,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.52,0,sobe,0.0095,0.0099,-0.0332,0.0,0.0,0.0076,0.0052,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.54,0,sobe,0.0095,0.0099,-0.0332,0.0,0.0,0.0076,0.0052,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.56,0,sobe,0.0095,0.0099,-0.0332,0.0,0.0,0.0076,0.0052,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.58,0,sobe,0.0095,0.0099,-0.0332,0.0,0.0,0.0076,0.0052,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.6,0,sobe,0.0095,0.0099,-0.0332,0.0,0.0,0.0076,0.0052,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.62,0,sobe,0.0095,0.0099,-0.0332,0.0,0.0,0.0092,-0.0001,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.64,0,sobe,0.0095,0.0099,-0.0332,0.0,0.0,0.0092,-0.0001,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.66,0,sobe,0.0083,0.0071,-0.0344,0.0,0.0,0.008,-0.0025,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.68,0,sobe,0.0083,0.0071,-0.0344,0.0,0.0,0.008,-0.0025,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.7,0,sobe,0.0083,0.0071,-0.0344,0.0,0.0,0.0061,0.0009,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.72,0,sobe,0.0085,0.006,-0.036,0.0,0.0,0.0084,-0.0024,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.74,0,sobe,0.0085,0.006,-0.036,0.0,0.0,0.0084,-0.0024,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.76,0,sobe,0.0085,0.006,-0.036,0.0,0.0,0.0084,-0.0024,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.78,0,sobe,0.0085,0.006,-0.036,0.0,0.0,0.0084,-0.0024,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.8,0,sobe,0.0085,0.006,-0.036,0.0,0.0,0.0109,-0.0056,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.82,0,sobe,0.0089,0.005,-0.0347,0.0,0.0,0.0126,-0.0027,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.84,0,sobe,0.0089,0.005,-0.0347,0.0,0.0,0.0126,-0.0027,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.86,0,sobe,0.0089,0.005,-0.0347,0.0,0.0,0.0126,-0.0027,0.0,0.0,1.15,0.0,0.0,0.0,0.0
0.88,0,sobe,0.0089,0.005,-0.0347,0.0,0.0,0.0126,-0.0027,0.0,0.0,1.15,0.0,0.0,0.0,0.0
