t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0239,-0.0017,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.02,0,sobe,0.0239,-0.0017,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.04,0,sobe,0.0239,-0.0017,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.06,0,sobe,0.0218,0.0019,-0.0301,0.0,0.0,0.0692,0.0547,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.08,0,sobe,0.0218,0.0019,-0.0301,0.0,0.0,0.0519,0.041,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.1,0,sobe,0.0218,0.0019,-0.0301,0.0,0.0,0.0415,0.0328,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.12,0,sobe,0.0218,0.0019,-0.0301,0.0,0.0,0.0345,0.0273,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.14,0,sobe,0.0218,0.0019,-0.0301,0.0,0.0,0.0296,0.0234,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.16,0,sobe,0.0218,0.0019,-0.0301,0.0,0.0,0.0259,0.0205,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.18,0,sobe,0.0216,-0.0002,-0.0309,0.0,0.0,0.0149,0.0136,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.2,0,sobe,0.0216,-0.0002,-0.0309,0.0,0.0,0.0134,0.0122,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.22,0,sobe,0.0216,-0.0002,-0.0309,0.0,0.0,0.0122,0.0111,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.24,0,sobe,0.0209,0.0017,-0.0313,0.0,0.0,0.0188,0.0089,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.26,0,sobe,0.0209,0.0017,-0.0313,0.0,0.0,0.0173,0.0082,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.28,0,sobe,0.0209,0.0017,-0.0313,0.0,0.0,0.0161,0.0076,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.3,0,sobe,0.0209,0.0017,-0.0313,0.0,0.0,0.015,0.0071,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.32,0,sobe,0.0209,0.0017,-0.0313,0.0,0.0,0.0141,0.0067,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.34,0,sobe,0.0209,0.0017,-0.0313,0.0,0.0,0.0132,0.0063,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.36,0,sobe,0.0213,-0.0006,-0.0321,0.0,0.0,0.0079,0.0037,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.38,0,sobe,0.0213,-0.0006,-0.0321,0.0,0.0,0.0075,0.0035,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.4,0,sobe,0.0213,-0.0006,-0.0321,0.0,0.0,0.0071,0.0033,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.42,0,sobe,0.0213,-0.0006,-0.0321,0.0,0.0,0.0067,0.0032,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.44,0,sobe,0.0179,0.0029,-0.0354,0.0,0.0,0.0172,-0.0046,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.46,0,sobe,0.0179,0.0029,-0.0354,0.0,0.0,0.0164,-0.0044,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.48,0,sobe,0.0179,0.0029,-0.0354,0.0,0.0,0.0157,-0.0042,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.5,0,sobe,0.0179,0.0029,-0.0354,0.0,0.0,0.0157,-0.0042,0.0,0.0,2.25,0.0,0.0,0.0,0.0
0.52,0,sobe,0.0179,0.0029,-0.0354,0.0,0.0,0.0157,-0.0042,0.0,0.0,2.25,0.0,0.0,0.0,0.0
