t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0225,-0.0499,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.0225,-0.0499,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.0225,-0.0499,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.0225,-0.0499,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.08,0,sobe,0.0225,-0.0499,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.1,0,sobe,0.026,-0.0439,0.0002,0.0,0.0,0.0688,0.0506,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.12,0,sobe,0.026,-0.0439,0.0002,0.0,0.0,0.0574,0.0422,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.14,0,sobe,0.026,-0.0439,0.0002,0.0,0.0,0.0492,0.0361,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.16,0,sobe,0.026,-0.0439,0.0002,0.0,0.0,0.043,0.0316,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.18,0,sobe,0.026,-0.0439,0.0002,0.0,0.0,0.0382,0.0281,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.2,0,sobe,0.026,-0.0439,0.0002,0.0,0.0,0.0344,0.0253,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.22,0,sobe,0.0229,-0.0431,-0.0072,0.0,0.0,0.0306,-0.0105,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.24,0,sobe,0.0229,-0.0431,-0.0072,0.0,0.0,0.0281,-0.0097,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.26,0,sobe,0.0229,-0.0431,-0.0072,0.0,0.0,0.0259,-0.0089,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.28,0,sobe,0.0229,-0.0431,-0.0072,0.0,0.0,0.0241,-0.0083,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
0.3,0,sobe,0.0234,-0.044,0.0013,0.0,0.0,0.0197,0.0207,0.0,0.0,3.5863,2.0774,-2.0055,0.0,0.0
