t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.1197,-0.0515,3.1287,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.1197,-0.0515,3.1287,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.1197,-0.0515,3.1287,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.1197,-0.0515,3.1287,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.08,0,sobe,-0.1197,-0.0515,3.1287,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.1,0,sobe,-0.1218,-0.0525,3.1278,0.0,0.0,0.0231,-0.0091,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.12,0,sobe,-0.1218,-0.0525,3.1278,0.0,0.0,0.0193,-0.0076,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.14,0,sobe,-0.1218,-0.0525,3.1278,0.0,0.0,0.0165,-0.0065,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.16,0,sobe,-0.1218,-0.0525,3.1278,0.0,0.0,0.0145,-0.0057,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.18,0,sobe,-0.1218,-0.0525,3.1278,0.0,0.0,0.0128,-0.0051,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.2,0,sobe,-0.1231,-0.055,3.1309,0.0,0.0,0.0244,0.011,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.22,0,sobe,-0.1231,-0.055,3.1309,0.0,0.0,0.0222,0.01,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.24,0,sobe,-0.1231,-0.055,3.1309,0.0,0.0,0.0204,0.0091,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.26,0,sobe,-0.1231,-0.055,3.1309,0.0,0.0,0.0188,0.0084,0.0,0.0,3.375,0.0,0.0,0.0,0.0
0.28,0,sobe,-0.1231,-0.055,3.1309,0.0,0.0,0.0175,0.0078,0.0,0.0,3.375,0.0,0.0,0.0,0.0
