t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.1201,-0.0517,3.1202,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.1201,-0.0517,3.1202,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.1201,-0.0517,3.1202,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.1201,-0.0517,3.1202,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.1231,-0.0528,3.1243,0.0,0.0,0.0397,0.0515,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.1231,-0.0528,3.1243,0.0,0.0,0.0318,0.0412,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.1231,-0.0528,3.1243,0.0,0.0,0.0265,0.0343,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.14,0,sobe,-0.1231,-0.0528,3.1243,0.0,0.0,0.0227,0.0294,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.16,0,sobe,-0.1231,-0.0528,3.1243,0.0,0.0,0.0199,0.0257,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.18,0,sobe,-0.1229,-0.0552,3.124,0.0,0.0,0.025,0.0209,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.2,0,sobe,-0.1229,-0.0552,3.124,0.0,0.0,0.0225,0.0188,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.22,0,sobe,-0.1229,-0.0552,3.124,0.0,0.0,0.0205,0.0171,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.24,0,sobe,-0.1229,-0.0552,3.124,0.0,0.0,0.0188,0.0157,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.26,0,sobe,-0.1229,-0.0552,3.124,0.0,0.0,0.0173,0.0145,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.28,0,sobe,-0.121,-0.0565,3.1225,0.0,0.0,0.0172,0.0082,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.3,0,sobe,-0.121,-0.0565,3.1225,0.0,0.0,0.016,0.0076,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.32,0,sobe,-0.121,-0.0565,3.1225,0.0,0.0,0.015,0.0072,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.34,0,sobe,-0.121,-0.0565,3.1225,0.0,0.0,0.0141,0.0067,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.36,0,sobe,-0.123,-0.0559,3.1239,0.0,0.0,0.0141,0.0103,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.38,0,sobe,-0.123,-0.0559,3.1239,0.0,0.0,0.0134,0.0097,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.4,0,sobe,-0.123,-0.0559,3.1239,0.0,0.0,0.0127,0.0092,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.42,0,sobe,-0.123,-0.0559,3.1239,0.0,0.0,0.0121,0.0088,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.44,0,sobe,-0.123,-0.0559,3.1239,0.0,0.0,0.0116,0.0084,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.46,0,sobe,-0.123,-0.0559,3.1239,0.0,0.0,0.0111,0.008,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.48,0,sobe,-0.123,-0.0559,3.1239,0.0,0.0,0.0106,0.0077,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.5,0,sobe,-0.1251,-0.0558,3.1246,0.0,0.0,0.013,0.0088,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.52,0,sobe,-0.1251,-0.0558,3.1246,0.0,0.0,0.013,0.0088,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.54,0,sobe,-0.1251,-0.0558,3.1246,0.0,0.0,0.013,0.0088,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.56,0,sobe,-0.1218,-0.0566,3.1304,0.0,0.0,0.0102,0.0203,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.58,0,sobe,-0.1218,-0.0566,3.1304,0.0,0.0,0.0079,0.0121,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.6,0,sobe,-0.1218,-0.0566,3.1304,0.0,0.0,0.0079,0.0121,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.62,0,sobe,-0.1218,-0.0566,3.1304,0.0,0.0,0.0083,0.0126,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.64,0,sobe,-0.1218,-0.0566,3.1304,0.0,0.0,0.0083,0.0126,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.66,0,sobe,-0.1218,-0.0566,3.1304,0.0,0.0,0.0037,0.0133,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.68,0,sobe,-0.1218,-0.0566,3.1304,0.0,0.0,0.0037,0.0133,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.7,0,sobe,-0.1199,-0.0598,3.1258,0.0,0.0,0.011,0.0036,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.72,0,sobe,-0.1199,-0.0598,3.1258,0.0,0.0,0.011,0.0036,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.74,0,sobe,-0.1199,-0.0598,3.1258,0.0,0.0,0.011,0.0036,0.0,0.0,2.325,0.0,0.0,0.0,0.0
0.76,0,sobe,-0.1224,-0.0598,3.1235,0.0,0.0,0.0093,-0.0009,0.0,0.0,2.325,0.0,0.0,0.0,0.0
