t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0072,-0.0401,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.02,0,sobe,0.0072,-0.0401,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.04,0,sobe,0.0072,-0.0401,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.06,0,sobe,0.0072,-0.0401,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.08,0,sobe,0.0051,-0.0414,-0.0096,0.0,0.0,0.0311,-0.0492,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.1,0,sobe,0.0051,-0.0414,-0.0096,0.0,0.0,0.0249,-0.0394,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.12,0,sobe,0.0051,-0.0414,-0.0096,0.0,0.0,0.0207,-0.0328,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.14,0,sobe,0.0051,-0.0414,-0.0096,0.0,0.0,0.0178,-0.0281,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.16,0,sobe,0.0051,-0.0414,-0.0096,0.0,0.0,0.0155,-0.0246,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.18,0,sobe,0.0115,-0.0398,-0.0056,0.0,0.0,0.0237,0.0004,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.2,0,sobe,0.0115,-0.0398,-0.0056,0.0,0.0,0.0214,0.0004,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.22,0,sobe,0.0115,-0.0398,-0.0056,0.0,0.0,0.0194,0.0004,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.24,0,sobe,0.0115,-0.0398,-0.0056,0.0,0.0,0.0178,0.0003,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.26,0,sobe,0.0115,-0.0398,-0.0056,0.0,0.0,0.0165,0.0003,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.28,0,sobe,0.0114,-0.0367,-0.0084,0.0,0.0,0.0193,-0.0096,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.3,0,sobe,0.0114,-0.0367,-0.0084,0.0,0.0,0.018,-0.009,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.32,0,sobe,0.0114,-0.0367,-0.0084,0.0,0.0,0.0169,-0.0084,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.34,0,sobe,0.0114,-0.0367,-0.0084,0.0,0.0,0.0159,-0.0079,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.36,0,sobe,0.0114,-0.0367,-0.0084,0.0,0.0,0.015,-0.0075,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.38,0,sobe,0.0131,-0.0318,-0.0065,0.0,0.0,0.0269,-0.0021,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.4,0,sobe,0.0131,-0.0318,-0.0065,0.0,0.0,0.0255,-0.002,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.42,0,sobe,0.0131,-0.0318,-0.0065,0.0,0.0,0.0243,-0.0019,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.44,0,sobe,0.0131,-0.0318,-0.0065,0.0,0.0,0.0232,-0.0018,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.46,0,sobe,0.0131,-0.0318,-0.0065,0.0,0.0,0.0222,-0.0017,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.785,0,sobe,0.0131,-0.0318,-0.0065,0.0,0.0,0.0108,0.0039,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.8,0,sobe,0.0124,-0.0303,-0.0072,0.0,0.0,0.0136,0.0025,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.82,0,sobe,0.0124,-0.0303,-0.0072,0.0,0.0,0.0136,0.0025,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.84,0,sobe,0.0124,-0.0303,-0.0072,0.0,0.0,0.0136,0.0025,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.86,0,sobe,0.0124,-0.0303,-0.0072,0.0,0.0,0.0131,0.0024,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.88,0,sobe,0.0124,-0.0303,-0.0072,0.0,0.0,0.0034,-0.0015,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.9,0,sobe,0.0133,-0.029,-0.0029,0.0,0.0,0.0058,0.0075,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.92,0,sobe,0.0133,-0.029,-0.0029,0.0,0.0,0.0058,0.0075,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.94,0,sobe,0.0133,-0.029,-0.0029,0.0,0.0,0.0058,0.0075,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.96,0,sobe,0.0133,-0.029,-0.0029,0.0,0.0,0.0159,0.0205,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
0.98,0,sobe,0.0133,-0.029,-0.0029,0.0,0.0,0.0143,0.0184,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.0,0,sobe,0.0127,-0.0313,-0.0077,0.0,0.0,0.0028,-0.0057,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.02,0,sobe,0.0127,-0.0313,-0.0077,0.0,0.0,0.0026,-0.0052,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.04,0,sobe,0.0127,-0.0313,-0.0077,0.0,0.0,0.0024,-0.0048,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.06,0,sobe,0.0127,-0.0313,-0.0077,0.0,0.0,0.0022,-0.0044,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.08,0,sobe,0.0133,-0.0284,-0.0035,0.0,0.0,0.0116,0.0102,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.1,0,sobe,0.0133,-0.0284,-0.0035,0.0,0.0,0.0109,0.0095,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.12,0,sobe,0.0133,-0.0284,-0.0035,0.0,0.0,0.0102,0.0089,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.14,0,sobe,0.0133,-0.0284,-0.0035,0.0,0.0,0.0096,0.0084,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.16,0,sobe,0.0133,-0.0284,-0.0035,0.0,0.0,0.0091,0.008,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.18,0,sobe,0.0133,-0.0284,-0.0035,0.0,0.0,0.0087,0.0076,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
1.2,0,sobe,0.0143,-0.032,-0.0049,0.0,0.0,0.0031,0.0038,0.0,0.0,1.2002,0.5609,0.9047,0.0,0.0
