t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0031,-0.0412,-0.0075,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.0031,-0.0412,-0.0075,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.0031,-0.0412,-0.0075,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.0031,-0.0412,-0.0075,0.0,0.0,0.0,0.0,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.08,0,sobe,0.0031,-0.0412,-0.0075,0.0,0.0,0.0,0.0,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.1,0,sobe,0.0012,-0.0441,-0.0066,0.0,0.0,0.0352,0.009,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.12,0,sobe,0.0012,-0.0441,-0.0066,0.0,0.0,0.0295,0.0075,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.14,0,sobe,0.0012,-0.0441,-0.0066,0.0,0.0,0.0253,0.0065,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.16,0,sobe,0.0012,-0.0441,-0.0066,0.0,0.0,0.0221,0.0057,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.18,0,sobe,0.0012,-0.0441,-0.0066,0.0,0.0,0.0197,0.005,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.2,0,sobe,0.0039,-0.0433,-0.0064,0.0,0.0,0.0116,0.0054,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.22,0,sobe,0.0039,-0.0433,-0.0064,0.0,0.0,0.0105,0.0049,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.24,0,sobe,0.0039,-0.0433,-0.0064,0.0,0.0,0.0096,0.0045,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.26,0,sobe,0.0039,-0.0433,-0.0064,0.0,0.0,0.0089,0.0042,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.28,0,sobe,0.0039,-0.0433,-0.0064,0.0,0.0,0.0082,0.0039,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.3,0,sobe,0.0039,-0.0433,-0.0064,0.0,0.0,0.0077,0.0036,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.32,0,sobe,0.0042,-0.0479,-0.0052,0.0,0.0,0.0214,0.0072,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
0.34,0,sobe,0.0042,-0.0479,-0.0052,0.0,0.0,0.0201,0.0067,0.0,0.0,1.2778,1.7064,1.9134,0.0,0.0
