t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0985,-0.1114,3.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.02,0,sobe,-0.0985,-0.1114,3.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.04,0,sobe,-0.0985,-0.1114,3.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.06,0,sobe,-0.0985,-0.1114,3.1256,0.0,0.0,0.0,0.0,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.08,0,sobe,-0.0995,-0.1095,3.1267,0.0,0.0,0.0262,0.0145,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.1,0,sobe,-0.0995,-0.1095,3.1267,0.0,0.0,0.021,0.0116,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.12,0,sobe,-0.0995,-0.1095,3.1267,0.0,0.0,0.0175,0.0097,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.14,0,sobe,-0.0995,-0.1095,3.1267,0.0,0.0,0.015,0.0083,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.16,0,sobe,-0.0995,-0.1095,3.1267,0.0,0.0,0.0131,0.0073,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.18,0,sobe,-0.1006,-0.1119,3.1256,0.0,0.0,0.0123,0.0001,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.2,0,sobe,-0.1006,-0.1119,3.1256,0.0,0.0,0.011,0.0,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
0.22,0,sobe,-0.1006,-0.1119,3.1256,0.0,0.0,0.01,0.0,0.0,0.0,0.3681,2.4379,2.7919,0.0,0.0
