t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.1128,-0.0914,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.1128,-0.0914,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.1128,-0.0914,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.1128,-0.0914,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.1128,-0.0914,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.1128,-0.0914,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.1128,-0.0914,3.1407,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,-0.114,-0.0904,3.1397,0.0,0.0,0.0112,-0.0071,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,-0.114,-0.0904,3.1397,0.0,0.0,0.0098,-0.0062,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.18,0,sobe,-0.114,-0.0904,3.1397,0.0,0.0,0.0087,-0.0055,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.2,0,sobe,-0.1161,-0.0972,3.137,0.0,0.0,0.033,-0.0184,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.22,0,sobe,-0.1161,-0.0972,3.137,0.0,0.0,0.03,-0.0168,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.24,0,sobe,-0.1161,-0.0972,3.137,0.0,0.0,0.0275,-0.0154,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.26,0,sobe,-0.1161,-0.0972,3.137,0.0,0.0,0.0254,-0.0142,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.28,0,sobe,-0.1161,-0.0972,3.137,0.0,0.0,0.0236,-0.0132,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.3,0,sobe,-0.1161,-0.0972,3.137,0.0,0.0,0.022,-0.0123,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.32,0,sobe,-0.1161,-0.0972,3.137,0.0,0.0,0.0206,-0.0115,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.34,0,sobe,-0.1183,-0.0945,-3.1414,0.0,0.0,0.0184,0.0032,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.36,0,sobe,-0.1183,-0.0945,-3.1414,0.0,0.0,0.0174,0.0031,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.38,0,sobe,-0.1183,-0.0945,-3.1414,0.0,0.0,0.0165,0.0029,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
0.4,0,sobe,-0.1205,-0.0976,3.138,0.0,0.0,0.0247,-0.0066,0.0,0.0,2.4906,2.026,3.1288,0.0,0.0
