t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0013,-0.1527,1.4513,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.02,0,sobe,-0.0013,-0.1527,1.4513,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.04,0,sobe,-0.0013,-0.1527,1.4513,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.06,0,sobe,-0.0013,-0.1527,1.4513,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.08,0,sobe,-0.0013,-0.1527,1.4513,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.1,0,sobe,-0.0013,-0.1527,1.4513,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.12,0,sobe,-0.0006,-0.1487,1.4513,0.0,0.0,0.0337,0.0005,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.14,0,sobe,-0.0006,-0.1487,1.4513,0.0,0.0,0.0289,0.0004,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.16,0,sobe,-0.0006,-0.1487,1.4513,0.0,0.0,0.0253,0.0003,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.18,0,sobe,-0.0006,-0.1487,1.4513,0.0,0.0,0.0224,0.0003,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.2,0,sobe,-0.0004,-0.147,1.4487,0.0,0.0,0.0289,-0.0128,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.22,0,sobe,-0.0004,-0.147,1.4487,0.0,0.0,0.0262,-0.0117,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.24,0,sobe,-0.0004,-0.147,1.4487,0.0,0.0,0.0241,-0.0107,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.26,0,sobe,-0.0004,-0.147,1.4487,0.0,0.0,0.0222,-0.0099,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.28,0,sobe,-0.0004,-0.147,1.4487,0.0,0.0,0.0206,-0.0092,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.3,0,sobe,-0.0004,-0.147,1.4487,0.0,0.0,0.0192,-0.0085,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.32,0,sobe,0.002,-0.144,1.4522,0.0,0.0,0.0291,0.003,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.34,0,sobe,0.002,-0.144,1.4522,0.0,0.0,0.0274,0.0028,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.36,0,sobe,0.002,-0.144,1.4522,0.0,0.0,0.0258,0.0027,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.38,0,sobe,0.002,-0.144,1.4522,0.0,0.0,0.0245,0.0025,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.4,0,sobe,-0.0002,-0.1418,1.4461,0.0,0.0,0.0274,-0.0129,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.42,0,sobe,-0.0002,-0.1418,1.4461,0.0,0.0,0.0261,-0.0123,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.44,0,sobe,-0.0002,-0.1418,1.4461,0.0,0.0,0.0249,-0.0117,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.46,0,sobe,-0.0002,-0.1418,1.4461,0.0,0.0,0.0238,-0.0112,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.48,0,sobe,-0.0002,-0.1418,1.4461,0.0,0.0,0.0228,-0.0107,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.5,0,sobe,0.0003,-0.1379,1.4502,0.0,0.0,0.0296,-0.0022,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.52,0,sobe,0.0003,-0.1379,1.4502,0.0,0.0,0.0296,-0.0022,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.54,0,sobe,0.0003,-0.1379,1.4502,0.0,0.0,0.0296,-0.0022,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.56,0,sobe,0.0003,-0.1379,1.4502,0.0,0.0,0.0296,-0.0022,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.58,0,sobe,0.0003,-0.1379,1.4502,0.0,0.0,0.0296,-0.0022,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.6,0,sobe,-0.0007,-0.1363,1.4518,0.0,0.0,0.0327,0.001,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.62,0,sobe,-0.0007,-0.1363,1.4518,0.0,0.0,0.0247,0.0009,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.64,0,sobe,-0.0007,-0.1363,1.4518,0.0,0.0,0.0257,0.0009,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.66,0,sobe,-0.0007,-0.1363,1.4518,0.0,0.0,0.0257,0.0009,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.68,0,sobe,-0.0007,-0.1363,1.4518,0.0,0.0,0.0247,0.0009,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.7,0,sobe,-0.0002,-0.1362,1.4516,0.0,0.0,0.0215,0.0059,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.72,0,sobe,-0.0002,-0.1362,1.4516,0.0,0.0,0.0215,0.0059,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.74,0,sobe,-0.0002,-0.1362,1.4516,0.0,0.0,0.0224,0.0061,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.76,0,sobe,-0.0002,-0.1362,1.4516,0.0,0.0,0.0216,0.0059,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.78,0,sobe,-0.0002,-0.1362,1.4516,0.0,0.0,0.0216,0.0059,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.8,0,sobe,0.0013,-0.1332,1.4554,0.0,0.0,0.0277,0.0134,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.82,0,sobe,0.0013,-0.1332,1.4554,0.0,0.0,0.0225,0.0066,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.84,0,sobe,0.0013,-0.1332,1.4554,0.0,0.0,0.0225,0.0066,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.86,0,sobe,0.0013,-0.1332,1.4554,0.0,0.0,0.0216,0.0063,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.88,0,sobe,0.0013,-0.1332,1.4554,0.0,0.0,0.0216,0.0063,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.9,0,sobe,0.0016,-0.1313,1.4507,0.0,0.0,0.0212,0.0092,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.92,0,sobe,0.0016,-0.1313,1.4507,0.0,0.0,0.0212,0.0092,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.94,0,sobe,0.0016,-0.1313,1.4507,0.0,0.0,0.0212,0.0092,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.96,0,sobe,0.0016,-0.1313,1.4507,0.0,0.0,0.0221,0.0096,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
0.98,0,sobe,0.0016,-0.1313,1.4507,0.0,0.0,0.0212,0.0092,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.0,0,sobe,0.0025,-0.1338,1.4484,0.0,0.0,0.0097,-0.0037,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.02,0,sobe,0.0025,-0.1338,1.4484,0.0,0.0,0.0097,-0.0037,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.04,0,sobe,0.0025,-0.1338,1.4484,0.0,0.0,0.0097,-0.0037,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.06,0,sobe,0.0025,-0.1338,1.4484,0.0,0.0,0.0094,-0.0035,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.08,0,sobe,0.0025,-0.1338,1.4484,0.0,0.0,0.0085,-0.0069,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.1,0,sobe,0.0074,-0.1356,1.4564,0.0,0.0,0.0169,0.0096,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.12,0,sobe,0.0074,-0.1356,1.4564,0.0,0.0,0.0169,0.0096,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.14,0,sobe,0.0074,-0.1356,1.4564,0.0,0.0,0.0169,0.0096,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.16,0,sobe,0.0074,-0.1356,1.4564,0.0,0.0,0.0169,0.0096,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.18,0,sobe,0.0074,-0.1356,1.4564,0.0,0.0,0.0158,0.0099,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.2,0,sobe,0.0074,-0.1356,1.4564,0.0,0.0,0.0158,0.0099,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.22,0,sobe,0.0069,-0.1365,1.4539,0.0,0.0,0.0147,0.0047,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.24,0,sobe,0.0069,-0.1365,1.4539,0.0,0.0,0.0141,0.0045,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.26,0,sobe,0.0069,-0.1365,1.4539,0.0,0.0,0.0141,0.0045,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.28,0,sobe,0.0069,-0.1365,1.4539,0.0,0.0,0.0141,0.0045,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.3,0,sobe,0.0071,-0.1372,1.4524,0.0,0.0,0.0141,-0.0059,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.32,0,sobe,0.0071,-0.1372,1.4524,0.0,0.0,0.0141,-0.0059,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
1.34,0,sobe,0.0071,-0.1372,1.4524,0.0,0.0,0.0141,-0.0059,0.0,0.0,3.5863,2.0774,-2.6056,0.0,0.0
