t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.1461,-0.2311,-2.7743,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.02,0,sobe,0.1461,-0.2311,-2.7743,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.04,0,sobe,0.1461,-0.2311,-2.7743,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.06,0,sobe,0.1461,-0.2311,-2.7743,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.08,0,sobe,0.1461,-0.2311,-2.7743,0.0,0.0,0.0,0.0,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.1,0,sobe,0.1441,-0.2351,-2.7768,0.0,0.0,0.0449,-0.0249,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.12,0,sobe,0.1441,-0.2351,-2.7768,0.0,0.0,0.0374,-0.0208,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.14,0,sobe,0.1441,-0.2351,-2.7768,0.0,0.0,0.0321,-0.0178,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.16,0,sobe,0.1441,-0.2351,-2.7768,0.0,0.0,0.0281,-0.0156,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.18,0,sobe,0.149,-0.2378,-2.7702,0.0,0.0,0.0404,0.0228,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.2,0,sobe,0.149,-0.2378,-2.7702,0.0,0.0,0.0364,0.0205,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.22,0,sobe,0.149,-0.2378,-2.7702,0.0,0.0,0.0331,0.0186,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.24,0,sobe,0.149,-0.2378,-2.7702,0.0,0.0,0.0303,0.0171,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.26,0,sobe,0.149,-0.2378,-2.7702,0.0,0.0,0.028,0.0158,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.28,0,sobe,0.146,-0.2369,-2.7747,0.0,0.0,0.0206,-0.0015,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.3,0,sobe,0.146,-0.2369,-2.7747,0.0,0.0,0.0193,-0.0014,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.32,0,sobe,0.146,-0.2369,-2.7747,0.0,0.0,0.0181,-0.0013,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.34,0,sobe,0.146,-0.2369,-2.7747,0.0,0.0,0.017,-0.0013,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.36,0,sobe,0.146,-0.2369,-2.7747,0.0,0.0,0.016,-0.0012,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.38,0,sobe,0.1504,-0.2358,-2.7666,0.0,0.0,0.0165,0.0201,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.4,0,sobe,0.1504,-0.2358,-2.7666,0.0,0.0,0.0157,0.0191,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.42,0,sobe,0.1504,-0.2358,-2.7666,0.0,0.0,0.0149,0.0182,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.44,0,sobe,0.1504,-0.2358,-2.7666,0.0,0.0,0.0143,0.0174,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.46,0,sobe,0.1504,-0.2358,-2.7666,0.0,0.0,0.0136,0.0166,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.48,0,sobe,0.1494,-0.2353,-2.7728,0.0,0.0,0.0111,0.0032,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.5,0,sobe,0.1494,-0.2353,-2.7728,0.0,0.0,0.0106,0.003,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.52,0,sobe,0.1494,-0.2353,-2.7728,0.0,0.0,0.0106,0.003,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.54,0,sobe,0.1494,-0.2353,-2.7728,0.0,0.0,0.0106,0.003,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.56,0,sobe,0.1494,-0.2353,-2.7728,0.0,0.0,0.0106,0.003,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.58,0,sobe,0.1542,-0.2364,-2.7678,0.0,0.0,0.0192,0.0129,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.6,0,sobe,0.1542,-0.2364,-2.7678,0.0,0.0,0.0203,0.0179,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.62,0,sobe,0.1542,-0.2364,-2.7678,0.0,0.0,0.0203,0.0179,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.64,0,sobe,0.1542,-0.2364,-2.7678,0.0,0.0,0.0203,0.0179,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.66,0,sobe,0.1542,-0.2364,-2.7678,0.0,0.0,0.0203,0.0179,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.68,0,sobe,0.1525,-0.2383,-2.7723,0.0,0.0,0.0073,-0.0044,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.7,0,sobe,0.1525,-0.2383,-2.7723,0.0,0.0,0.007,-0.0042,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.72,0,sobe,0.1525,-0.2383,-2.7723,0.0,0.0,0.0073,-0.0044,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.74,0,sobe,0.1525,-0.2383,-2.7723,0.0,0.0,0.007,-0.0042,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.76,0,sobe,0.1525,-0.2383,-2.7723,0.0,0.0,0.007,-0.0042,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.78,0,sobe,0.152,-0.2383,-2.7706,0.0,0.0,0.0128,0.0085,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.8,0,sobe,0.152,-0.2383,-2.7706,0.0,0.0,0.0123,0.0081,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
0.82,0,sobe,0.152,-0.2383,-2.7706,0.0,0.0,0.0123,0.0081,0.0,0.0,3.5863,2.0774,-2.1254,0.0,0.0
