t,x,y,yaw,v_ped,wz_ped,v_ent,wz_ent,v_real,wz_real
6.3,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.32,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.34,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.36,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.38,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.4,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.42,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.44,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.46,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.48,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.5,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
6.52,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.54,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.5600000000000005,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.58,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.6,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.62,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.64,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.66,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.68,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.7,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.72,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.74,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,0.0,0.0,0.0
6.76,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
6.78,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
6.8,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
6.82,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
6.84,2.000295162489934,5.000007210727442,-8.86169400607763e-05,0.0,-1.0,0.0,-1.0,0.014762523650987942,-0.004430847003038887
6.86,2.0009089498722967,5.000022361233064,-0.00027582790665419397,0.0,-1.0,0.0,-1.0,0.030698716934443197,-0.009360548329670667
6.88,2.0018498415610693,5.000045960427524,-0.0005701756985367416,0.0,-1.0,0.0,-1.0,0.04705937982964806,-0.014717389594127696
6.9,2.0028016877493733,5.00007834818312,-0.0009764864845065285,0.0,-1.0,0.0,-1.0,0.04761985229138604,-0.020315539298488873
6.92,2.003753558790654,5.000118685535963,-0.0014856526941046078,0.0,-1.0,0.0,-1.0,0.04763626720427897,-0.02545831047990451
6.94,2.0047054679427103,5.0001672913760435,-0.0021028188976613834,0.0,-1.0,0.0,-1.0,0.04765746430148043,-0.030858310177838064
6.96,2.0056574274255885,5.000222812417753,-0.0028125566070334135,0.0,-1.0,0.0,-1.0,0.047678859128396575,-0.035486885468602264
6.98,2.006609457055105,5.000286410916898,-0.003630294274572011,0.0,-1.0,0.0,-1.0,0.047707577610132806,-0.04088688337692893
7.0,2.0075615774116655,5.000357983970513,-0.004556031963482438,0.0,-1.0,0.0,-1.0,0.04774033607393428,-0.04628688444552235
7.02,2.008513809351198,5.00043701181185,-0.005584626838993223,0.0,-1.0,0.0,-1.0,0.047775283002088255,-0.051429743775540306
7.04,2.009466174422706,5.000522979517515,-0.006710936046040425,0.0,-1.0,0.0,-1.0,0.04781186243615965,-0.056315460352358813
7.06,2.010418701004203,5.000616210609829,-0.007940102403199263,0.0,-1.0,0.0,-1.0,0.04785391637664357,-0.06145831785794323
7.08,2.011371417812893,5.000716606824781,-0.009272125932622633,0.0,-1.0,0.0,-1.0,0.047899601186679616,-0.06660117647116694
7.1,2.0123243557763737,5.000824069798656,-0.010707006636138527,0.0,-1.0,0.0,-1.0,0.04794890647857597,-0.07174403517579625
7.12,2.013277548002138,5.000938501053883,-0.012244744515207599,0.0,-1.0,0.0,-1.0,0.04800182109644531,-0.07688689395345182
7.14,2.014231035502334,5.001060218758255,-0.013890482408370222,0.0,-1.0,0.0,-1.0,0.048061252911984584,-0.08228689465813292
7.16,2.015184851282138,5.001188702464024,-0.015639077500290467,0.0,-1.0,0.0,-1.0,0.048121528561846316,-0.0874297545960102
7.18,2.016139034915951,5.001323853238059,-0.017490529771849245,0.0,-1.0,0.0,-1.0,0.048185374823654176,-0.09257261357794092
7.2,2.017093628033355,5.001465571959661,-0.019444839223928777,0.0,-1.0,0.0,-1.0,0.04825277753269223,-0.09771547260397431
7.22,2.018048656451685,5.00161292585638,-0.021491720183239884,0.0,-1.0,0.0,-1.0,0.04831646848373088,-0.10234404796555754
7.24,2.0190041900875833,5.001767075370108,-0.023646601120932913,0.0,-1.0,0.0,-1.0,0.048394385054355615,-0.10774404688464895
7.26,2.019960268285287,5.001927499061645,-0.025904339260867514,0.0,-1.0,0.0,-1.0,0.04847218998897802,-0.11288690699673244
7.28,2.020916940477484,5.002094096836802,-0.028264934583018743,0.0,-1.0,0.0,-1.0,0.0485534885978943,-0.11802976610755875
7.3,2.021874257996567,5.002266768297724,-0.030728387087314596,0.0,-1.0,0.0,-1.0,0.04863826337772306,-0.12317262521479527
7.32,2.0228322878671263,5.0024458293013225,-0.03329983961047985,0.0,-1.0,0.0,-1.0,0.04873099824273404,-0.12857262615825985
7.34,2.0237910584245062,5.002630340656539,-0.035969006497791084,0.0,-1.0,0.0,-1.0,0.0488181682855517,-0.13345834436556445
7.36,2.0247506555012347,5.002821038902119,-0.03874617338246785,0.0,-1.0,0.0,-1.0,0.04891810427982698,-0.13885834423383514
7.38,2.0257111065350233,5.003016984198437,-0.04162105462925584,0.0,-1.0,0.0,-1.0,0.049011752352239764,-0.14374406233940248
7.4,2.026672505504976,5.003218912046148,-0.04460393587102485,0.0,-1.0,0.0,-1.0,0.049118805846326045,-0.1491440620884469
7.42,2.0276348982820807,5.003426298218472,-0.047689674309015655,0.0,-1.0,0.0,-1.0,0.04922420344439786,-0.15428692189954368
7.44,2.0285983064187856,5.00363820680947,-0.050867984246645105,0.0,-1.0,0.0,-1.0,0.0493219142168992,-0.15891549688146886
7.46,2.02956287764844,5.003856208968593,-0.05415943699103489,0.0,-1.0,0.0,-1.0,0.049444984539884114,-0.1645726372194928
7.48,2.030528638947077,5.00407935776878,-0.057553746944948116,0.0,-1.0,0.0,-1.0,0.049560323671497944,-0.16971549769565733
7.5,2.031495658929528,5.004307548130471,-0.06105091406574237,0.0,-1.0,0.0,-1.0,0.049678931339856396,-0.17485835603971633
7.52,2.032463980884746,5.004540258381052,-0.06464579551309012,0.0,-1.0,0.0,-1.0,0.049794614911723815,-0.17974407236739134
7.54,2.0334337005460927,5.0047778031525425,-0.06834353410139342,0.0,-1.0,0.0,-1.0,0.04991952874540284,-0.18488692941516074
7.5600000000000005,2.034404920886997,5.005020491082988,-0.07214927268458288,0.0,-1.0,0.0,-1.0,0.050054130253413674,-0.19028692915946852
7.58,2.0353776892564857,5.005267793458349,-0.07605786844106416,0.0,-1.0,0.0,-1.0,0.05018557475850253,-0.19542978782406822
7.6,2.036352048296588,5.0055191861144275,-0.08006417850958025,0.0,-1.0,0.0,-1.0,0.05031336319904346,-0.200315503425809
7.62,2.0373281054854835,5.005774980187453,-0.08417334570414627,0.0,-1.0,0.0,-1.0,0.05045092278118769,-0.2054583597282959
7.64,2.038305939287479,5.006035065326205,-0.08838537004007645,0.0,-1.0,0.0,-1.0,0.05059158091335445,-0.21060121679651356
7.66,2.039285629435675,5.006299330266414,-0.09270025151288899,0.0,-1.0,0.0,-1.0,0.05073531179306621,-0.2157440736406223
7.68,2.040267297221423,5.006568077652155,-0.0971231329561347,0.0,-1.0,0.0,-1.0,0.05088950773287936,-0.2211440721622901
7.7,2.0412509877420844,5.006840774170025,-0.10164887154619988,0.0,-1.0,0.0,-1.0,0.05103945609275334,-0.22628692950325374
7.72,2.0422367402559582,5.007116891065047,-0.10627232442087521,0.0,-1.0,0.0,-1.0,0.05118467930751751,-0.23117264373377155
7.74,2.0432246338938715,5.007396318483898,-0.11099349155612984,0.0,-1.0,0.0,-1.0,0.051332580351930064,-0.23605835676272582
7.76,2.044214892887286,5.007680187633567,-0.1158278014624438,0.0,-1.0,0.0,-1.0,0.05150714921669399,-0.24171549531570333
7.78,2.0452074143025243,5.00796671460472,-0.12075468283742964,0.0,-1.0,0.0,-1.0,0.05165260073085558,-0.2463440687492864
7.8,2.046202483138866,5.008257445941367,-0.1257947069556455,0.0,-1.0,0.0,-1.0,0.05183354847892354,-0.25200120591079894
7.82,2.0472000905904872,5.008551423748845,-0.13093758820942974,0.0,-1.0,0.0,-1.0,0.05200104755723307,-0.25714406268920564
7.84,2.048200326003074,5.0088485266190785,-0.13618332655680102,0.0,-1.0,0.0,-1.0,0.052171376158139535,-0.26228691736856913
7.86,2.049203220869005,5.009148219140464,-0.1415267791539616,0.0,-1.0,0.0,-1.0,0.05233578411291646,-0.2671726298580237
7.88,2.0502089210404533,5.009450795336335,-0.1469730888173142,0.0,-1.0,0.0,-1.0,0.052511550852134596,-0.2723154831676347
7.9,2.0512175181531127,5.0097561296860045,-0.1525222555605905,0.0,-1.0,0.0,-1.0,0.05269006549514667,-0.2774583371638084
7.92,2.0522291700752695,5.010064506819571,-0.15817942221902,0.0,-1.0,0.0,-1.0,0.052880432773151714,-0.28285833292148227
7.94,2.0532437723707546,5.010374558488277,-0.16392916028775342,0.0,-1.0,0.0,-1.0,0.053045967218788515,-0.28748690343666394
7.96,2.05426168707158,5.010687809995182,-0.1697920410684817,0.0,-1.0,0.0,-1.0,0.05325121699864848,-0.29314403903642
7.98,2.0552828757017823,5.011003296649296,-0.1757577789486219,0.0,-1.0,0.0,-1.0,0.053440575581162796,-0.2982868940070036
8.0,2.0563074328825377,5.0113208850149125,-0.18182637388966774,0.0,-1.0,0.0,-1.0,0.05363254111573975,-0.3034297470522982
8.02,2.057335453656287,5.011640439946802,-0.18799782588865854,0.0,-1.0,0.0,-1.0,0.053827085787620306,-0.3085725999495466
8.04,2.058366953086905,5.0119614155406795,-0.1942669921024267,0.0,-1.0,0.0,-1.0,0.05401426680123566,-0.3134583106884148
8.06,2.059402102963883,5.01228408792765,-0.20063901535195186,0.0,-1.0,0.0,-1.0,0.0542137606406658,-0.31860116247623627
8.08,2.0604410847766923,5.012608724543775,-0.20711903849282093,0.0,-1.0,0.0,-1.0,0.054425916158513464,-0.32400115704346033
8.1,2.0614839133874354,5.012934769123905,-0.21370191869911395,0.0,-1.0,0.0,-1.0,0.054630499256736034,-0.3291440103146582
8.12,2.0625305030924985,5.013261263728701,-0.22037737027309906,0.0,-1.0,0.0,-1.0,0.054816711359432925,-0.3337725786992625
8.14,2.063581310785012,5.013589699814355,-0.22716596459518315,0.0,-1.0,0.0,-1.0,0.0550469587944105,-0.3394297161041816
8.16,2.0646361576529544,5.01391869916646,-0.23405227322408312,-0.335,0.0,-0.335,0.032830000000000005,0.0552481331922881,-0.3443154314450057
8.18,2.065481619562744,5.014356321152751,-0.24165137162903633,-0.335,0.0,-0.335,0.032830000000000005,0.0476003898038136,-0.3799549202476685
8.2,2.066039047720832,5.014853017951103,-0.24919276358681353,-0.335,0.0,-0.335,0.032830000000000005,0.037330746741901455,-0.377069597888868
8.22,2.0663001638013565,5.015412937911606,-0.25662262955857085,-0.335,0.0,-0.335,0.055407468966421146,0.030890612234034356,-0.371493298587841
8.24,2.066206654777602,5.016058365139681,-0.26396321282683755,-0.335,0.0,-0.335,0.055407468966421146,0.032608290520389716,-0.36702916341334274
8.26,2.065874342914568,5.016763318832021,-0.27122140171795356,-0.335,0.0,-0.335,0.07115304528458403,0.03896764307272061,-0.36290944455580837
8.28,2.065180387709485,5.017561138833997,-0.2783330157752695,-0.335,0.0,-0.335,0.07115304528458403,0.05286990122494979,-0.35558070286580346
8.3,2.064189217529225,5.018437308407223,-0.2852737625931826,-0.335,0.0,-0.335,0.07115304528458403,0.0661455109452411,-0.34703734089563276
8.32,2.0628783955293946,5.01940713195864,-0.292107576019956,-0.335,0.0,-0.335,0.09385818220288106,0.08152932043324496,-0.3416906713386781
8.34,2.0612788045253554,5.020464968419714,-0.29880867617909707,-0.335,0.0,-0.335,0.09385818220288106,0.09588677383483157,-0.3350550079570596
8.36,2.05938901783095,5.021615851870067,-0.30539546743089935,-0.335,0.0,-0.335,0.10918416357839333,0.11063257281027247,-0.3293395625901211
8.38,2.057152656729437,5.022882712269535,-0.3118947603249147,-0.335,0.0,-0.335,0.10918416357839333,0.12851309513139877,-0.3249646447007456
8.4,2.0546677554140373,5.024241669663123,-0.3182965932055772,-0.335,0.0,-0.335,0.10918416357839333,0.14161126142421385,-0.320091644033131
8.42,2.0518299855568825,5.02572129430878,-0.32456075736074563,-0.335,0.0,-0.335,0.13095034632013333,0.1600173963528047,-0.31320820775842917
8.44,2.048756763381142,5.0272953102939315,-0.33071057683204347,-0.335,0.0,-0.335,0.13095034632013333,0.1726428456595939,-0.30749097356489835
8.46,2.0453256004809117,5.029000484668605,-0.33673417412741347,-0.335,0.0,-0.335,0.14590117294640267,0.19157569323870405,-0.3011798647684796
8.48,2.041614950596025,5.030815761301702,-0.3425888403068535,-0.335,0.0,-0.335,0.14590117294640267,0.2065438925681403,-0.29273330897200756
8.5,2.0376260070416334,5.032747166794031,-0.3483311986022216,-0.335,0.0,-0.335,0.14590117294640267,0.22159646802194266,-0.2871179147684122
8.52,2.033328280111547,5.034807174714534,-0.35396950606641614,-0.335,0.0,-0.335,0.16655092556675682,0.23829650332164742,-0.28191537320973226
8.54,2.028723088012595,5.036998838331077,-0.3594803943386656,-0.335,0.0,-0.335,0.16655092556675682,0.2550058022689352,-0.2755444136124777
8.56,2.023838961606497,5.039316430542229,-0.36485929788888316,-0.335,0.0,-0.335,0.1810741392616596,0.27030503328613936,-0.26894517751086106
8.58,2.0189034172119995,5.041634809231911,-0.3696737120906959,-0.335,0.0,-0.335,0.1810741392616596,0.2726466496164504,-0.24072071009064125
8.6,2.013962645507825,5.043966524588315,-0.3743011251659328,-0.335,0.0,-0.335,0.1810741392616596,0.2731671719664813,-0.2313706537618498
8.62,2.0090293791506526,5.046312666907686,-0.37882104443196823,-0.335,0.0,-0.335,0.19957324910319543,0.2731368738084908,-0.22599596330177757
8.64,2.00413660878613,5.048661797074434,-0.3832601613125826,-0.335,0.0,-0.335,0.19957324910319543,0.2713743465228171,-0.221955844030704
8.66,1.9992536467645932,5.051022015941823,-0.3875789909650145,-0.335,0.0,-0.335,0.21243464016778033,0.27117315135236064,-0.21594148262160015
