t,x,y,yaw,v_ped,wz_ped,v_ent,wz_ent,v_real,wz_real
9.08,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.1,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.12,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.14,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.16,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.18,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.2,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.22,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.24,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.26,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.28,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.3,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.32,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.34,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.36,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.38,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.4,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.42,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.44,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.46,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.48,2.0002929724153073,5.000036470195245,-0.0004482129753757721,0.0,-1.0,0.0,-1.0,0.014761678715031108,-0.022410648768789062
9.5,2.000903107080831,5.000113917994059,-0.0014052876958214955,0.0,-1.0,0.0,-1.0,0.030751523198647865,-0.04785373602228719
9.52,2.00169581718644,5.000237547414875,-0.002943237048173569,0.0,-1.0,0.0,-1.0,0.04011463402631157,-0.07689746761760531
9.54,2.0024973263967767,5.000399979379868,-0.004974687526066444,0.0,-1.0,0.0,-1.0,0.04089013198517381,-0.10157252389464592
9.56,2.003299477753144,5.0006045862211375,-0.007546137860376556,0.0,-1.0,0.0,-1.0,0.04139174911791052,-0.1285725167154969
9.58,2.0041025796722822,5.000848846164403,-0.010631874080371874,0.0,-1.0,0.0,-1.0,0.04197128817441127,-0.15428681099976915
9.6,2.0049070077019384,5.001132341453509,-0.014231896095428843,0.0,-1.0,0.0,-1.0,0.04264604418471843,-0.1800011007528523
9.62,2.005713160074254,5.001452565332198,-0.01832048972933223,0.0,-1.0,0.0,-1.0,0.04337121683423086,-0.20442968169517362
9.64,2.006521599057345,5.00181328401489,-0.022949083259278222,0.0,-1.0,0.0,-1.0,0.04426317762609813,-0.23142967649728402
9.66,2.00733285017554,5.002211959674341,-0.028091962708095313,0.0,-1.0,0.0,-1.0,0.045195980413404696,-0.25714397244086
9.68,2.008147457149072,5.002646068764547,-0.033723413792576866,0.0,-1.0,0.0,-1.0,0.04615287703726727,-0.2815725542240836
9.7,2.0089662186000123,5.003119354235142,-0.03989486478619235,0.0,-1.0,0.0,-1.0,0.04728555408955028,-0.30857254968078074
9.72,2.009789804140891,5.0036292522662364,-0.04658060170306195,0.0,-1.0,0.0,-1.0,0.04843266318450587,-0.3342868458434573
9.74,2.010618886725289,5.004173209353633,-0.053754910251953406,0.0,-1.0,0.0,-1.0,0.04957991641485375,-0.35871542744458057
9.76,2.011454386435726,5.004752845862676,-0.06144350451465658,0.0,-1.0,0.0,-1.0,0.05084383563313563,-0.3844297131351668
9.78,2.0122973387837835,5.005369741741503,-0.06967209877197955,0.0,-1.0,0.0,-1.0,0.0522285646559718,-0.4114297128661575
9.8,2.0131485788904886,5.006021273103043,-0.07841497892360513,0.0,-1.0,0.0,-1.0,0.05359810711054617,-0.43714400758124955
9.82,2.0140089249823543,5.006704820275679,-0.08764643066707002,0.0,-1.0,0.0,-1.0,0.054941608435865985,-0.4615725871732543
9.84,2.0148795712793306,5.0074219199863,-0.09739216808141672,0.0,-1.0,0.0,-1.0,0.056397184535472614,-0.48728687071734533
9.86,2.0157618394968035,5.008174055048349,-0.10767790544196185,0.0,-1.0,0.0,-1.0,0.057967757398539,-0.5142868680272672
9.88,2.0166566964716006,5.008958505619851,-0.11847792863496001,0.0,-1.0,0.0,-1.0,0.05950066605659888,-0.5400011596498718
9.9,2.0175653398693942,5.009774618104618,-0.12979223754828928,0.0,-1.0,0.0,-1.0,0.061067020808035645,-0.5657154456664755
9.92,2.0184887200925155,5.010619638406143,-0.14159511796821722,0.0,-1.0,0.0,-1.0,0.06258375081522105,-0.5901440209964096
9.94,2.019428370354865,5.011494932326812,-0.15391228398588455,0.0,-1.0,0.0,-1.0,0.06420829508508866,-0.6158583008833797
9.96,2.0203856186059683,5.012399732247358,-0.16674373568059495,0.0,-1.0,0.0,-1.0,0.06585945472102436,-0.6415725847354765
9.98,2.021362205815288,5.013335278075469,-0.1801151872455783,0.0,-1.0,0.0,-1.0,0.06761968230297455,-0.6685725782491815
10.0,2.022358418668652,5.014294531442357,-0.19394949614626064,0.0,-1.0,0.0,-1.0,0.06914851898439926,-0.6917154450341324
10.02,2.023376825069321,5.015282777510958,-0.20832380473727605,0.0,-1.0,0.0,-1.0,0.07095389152521557,-0.7187154295507856
10.04,2.0244185266923833,5.01629697557153,-0.223212399067396,0.0,-1.0,0.0,-1.0,0.07269353440228486,-0.7444297165060141
10.06,2.02548503250384,5.017336098558267,-0.23861527914669137,0.0,-1.0,0.0,-1.0,0.07445151488443717,-0.7701440039647158
10.08,2.026578403658319,5.018401075825036,-0.2545581592530544,0.0,-1.0,0.0,-1.0,0.07631574313636857,-0.7971440053181695
10.1,2.0276997404218995,5.019488694392291,-0.2710153252550432,0.0,-1.0,0.0,-1.0,0.07810746259474315,-0.8228583000994556
10.12,2.0288506298628715,5.020597725543767,-0.28798677707603865,0.0,-1.0,0.0,-1.0,0.07991396311478181,-0.8485725910497913
10.14,2.030032677561612,5.021726866471199,-0.30547251471849335,0.0,-1.0,0.0,-1.0,0.08173426448099433,-0.874286882122676
10.16,2.0312468425328283,5.022872758188043,-0.323446823962273,0.0,-1.0,0.0,-1.0,0.08347551143987775,-0.8987154621890007
10.18,2.032496048299015,5.024037927205715,-0.341961133183749,0.0,-1.0,0.0,-1.0,0.08541273157465486,-0.9257154610738204
10.2,2.0337805654549386,5.025216864312213,-0.36096401407881207,0.0,-1.0,0.0,-1.0,0.0871762155771428,-0.9501440447531742
10.22,2.035101926411794,5.026407996456281,-0.3804554665055681,0.0,-1.0,0.0,-1.0,0.08894929121320472,-0.9745726213377361
10.24,2.0364640914036434,5.027615429511811,-0.40051262979422264,0.0,-1.0,0.0,-1.0,0.09101357108430067,-1.0028581644327481
10.26,2.0378672035064542,5.028833395740893,-0.421084078788137,0.0,0.0,0.0,0.0,0.0929000176027825,-1.0285724496957385
10.28,2.0391450796796744,5.030145993230229,-0.4421604639960909,0.0,0.0,0.0,0.0,0.09159530123175706,-1.053819260397718
10.3,2.0402751211069914,5.031515688464816,-0.4633266268259495,0.0,0.0,0.0,0.0,0.08878427032844581,-1.0583081414928592
10.32,2.041313834496984,5.032899412611446,-0.4842466874986505,0.0,0.0,0.0,0.0,0.08651037539680145,-1.0460030336350734
