t,x,y,yaw,v_ped,wz_ped,v_ent,wz_ent,v_real,wz_real
9.66,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.68,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.7,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.72,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.74,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.76,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.78,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.8,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.82,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.84,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,0.0,0.0,0.0,0.0,0.0
9.86,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.88,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.9,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.92,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.94,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.96,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
9.98,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.0,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.02,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.04,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.06,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.08,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.1,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.12,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.14,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.16,2.0000000000817106,5.0,-4.570105224681298e-19,0.0,-1.0,0.0,-1.0,0.0,0.0
10.18,2.000307459648906,5.00003807148619,-0.00046792577129342366,0.0,-1.0,0.0,-1.0,0.015490386012026012,-0.023396288564671658
10.2,2.0009334857691186,5.000117620518415,-0.001451211316621296,0.0,-1.0,0.0,-1.0,0.03155300111385635,-0.04916427726639466
10.22,2.0017265832955795,5.00024005415859,-0.002974933064132761,0.0,-1.0,0.0,-1.0,0.04012460849419641,-0.0761860873755681
10.24,2.002528107916456,5.000404546608225,-0.005032097626817657,0.0,-1.0,0.0,-1.0,0.0409114740585748,-0.10285822813424698
10.26,2.003330271018067,5.000609107406489,-0.007603548063613935,0.0,-1.0,0.0,-1.0,0.04139174923135955,-0.12857252183981666
10.28,2.0041333650005186,5.0008512354355625,-0.010663570099647341,0.0,-1.0,0.0,-1.0,0.04194001451814554,-0.15300110180167356
10.3,2.004937802015283,5.0011347052186075,-0.014263592014289518,0.0,-1.0,0.0,-1.0,0.04264604403173034,-0.18000109573209666
