t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.02,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.04,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.06,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.08,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.1,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.12,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.141,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.16,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.18,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.2,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.22,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.24,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.26,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.28,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.3,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.32,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.34,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.36,0,sobe,26.5639,8.6991,0.5547,0.0,0.0,0.0,0.0,0.0,0.0,25.6483,10.375,0.7188,0.0,0.0
0.38,0,sobe,26.565,8.6998,0.5547,0.0,0.0,0.0034,0.0,0.08,-0.0071,25.6483,10.375,0.7188,0.0,0.0
0.4,0,sobe,26.5663,8.7007,0.5545,0.0,0.0,0.0072,-0.0003,0.08,-0.007,25.6483,10.375,0.7188,0.0,0.0
0.42,0,sobe,26.5677,8.7015,0.5544,0.0,0.0,0.0107,-0.0006,0.08,-0.007,25.6483,10.375,0.7188,0.0,0.0
0.44,0,sobe,26.569,8.7024,0.5543,0.0,0.0,0.0138,-0.0009,0.08,-0.007,25.6483,10.375,0.7188,0.0,0.0
0.46,0,sobe,26.5704,8.7032,0.5541,0.0,0.0,0.0167,-0.0012,0.08,-0.007,25.6543,10.3802,0.718,0.0174,-0.0018
0.48,0,sobe,26.5714,8.7039,0.554,0.0,0.0,0.0185,-0.0013,0.0588,-0.0033,25.6543,10.3802,0.718,0.0167,-0.0017
0.5,0,sobe,26.5724,8.7045,0.554,0.0,0.0,0.0201,-0.0014,0.0589,-0.0036,25.6543,10.3802,0.718,0.016,-0.0016
0.52,0,sobe,26.5734,8.7051,0.5539,0.0,0.0,0.0224,-0.0015,0.0589,-0.0036,25.6543,10.3802,0.718,0.016,-0.0016
