t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.04,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.06,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.08,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.1,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.12,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.14,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.16,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.18,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.2,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.22,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.24,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.26,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.28,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.3,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.32,0,sobe,27.6509,9.3598,0.5871,0.0,0.0,0.0,0.0,0.0,0.0,26.6151,11.2042,0.7538,0.0,0.0
0.34,0,sobe,27.652,9.3606,0.5871,0.0,0.0,0.0038,0.0,0.08,-0.0077,26.6151,11.2042,0.7538,0.0,0.0
0.36,0,sobe,27.6533,9.3615,0.5869,0.0,0.0,0.008,-0.0004,0.08,-0.0076,26.6151,11.2042,0.7538,0.0,0.0
0.38,0,sobe,27.6546,9.3624,0.5868,0.0,0.0,0.0118,-0.0008,0.08,-0.0076,26.6151,11.2042,0.7538,0.0,0.0
0.4,0,sobe,27.656,9.3633,0.5866,0.0,0.0,0.0152,-0.0011,0.08,-0.0076,26.6151,11.2042,0.7538,0.0,0.0
0.42,0,sobe,27.6573,9.3642,0.5865,0.0,0.0,0.0183,-0.0015,0.08,-0.0076,26.621,11.2097,0.7529,0.02,-0.0022
0.44,0,sobe,27.6586,9.3651,0.5864,0.0,0.0,0.0212,-0.0016,0.082,-0.0045,26.621,11.2097,0.7529,0.019,-0.0021
0.46,0,sobe,27.66,9.366,0.5863,0.0,0.0,0.0238,-0.0017,0.082,-0.0045,26.621,11.2097,0.7529,0.0182,-0.002
0.48,0,sobe,27.6614,9.3669,0.5862,0.0,0.0,0.0263,-0.0018,0.082,-0.0045,26.621,11.2097,0.7529,0.0174,-0.0019
0.5,0,sobe,27.6627,9.3678,0.5861,0.0,0.0,0.0285,-0.0019,0.082,-0.0045,26.621,11.2097,0.7529,0.0167,-0.0019
0.52,0,sobe,27.6641,9.3687,0.586,0.0,0.0,0.0318,-0.0021,0.082,-0.0045,26.627,11.2153,0.7524,0.0324,-0.0028
0.542,0,sobe,27.6645,9.369,0.586,0.0,0.0,0.034,-0.0023,0.0243,-0.0016,26.627,11.2153,0.7524,0.0336,-0.0029
0.593,0,sobe,27.6653,9.3695,0.586,0.0,0.0,0.0352,-0.0023,0.0242,0.0,26.627,11.2153,0.7524,0.0329,-0.0029
0.6,0,sobe,27.6657,9.3698,0.5859,0.0,0.0,0.0356,-0.0023,0.0242,0.0,26.627,11.2153,0.7524,0.0324,-0.0028
0.669,0,sobe,27.6661,9.3701,0.5859,0.0,0.0,0.0374,-0.0024,0.0242,0.0,26.6287,11.217,0.7522,0.0381,-0.0032
0.787,0,sobe,27.6663,9.3702,0.5859,0.0,0.0,0.0381,-0.0025,0.0127,0.0,26.6297,11.2178,0.7521,0.0408,-0.0034
0.832,0,sobe,27.6665,9.3704,0.5859,0.0,0.0,0.0356,-0.0025,0.0127,0.0,26.6306,11.2187,0.752,0.043,-0.0035
0.84,0,sobe,27.668,9.3713,0.5858,0.0,0.0,0.0386,-0.0026,0.0127,0.0,26.6306,11.2187,0.752,0.0423,-0.0035
0.86,0,sobe,27.6689,9.3719,0.5857,0.0,0.0,0.0375,-0.0024,0.0127,0.0,26.6306,11.2187,0.752,0.0423,-0.0035
0.88,0,sobe,27.6689,9.3719,0.5857,0.0,0.0,0.0343,-0.0021,0.0127,0.0,26.6306,11.2187,0.752,0.0423,-0.0035
0.9,0,sobe,27.6691,9.372,0.5857,0.0,0.0,0.0316,-0.0018,0.0127,0.0,26.6306,11.2187,0.752,0.0423,-0.0035
0.92,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0289,-0.0016,0.0127,0.0,26.6315,11.2196,0.752,0.0289,-0.0019
0.94,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0256,-0.0014,-0.0,-0.0,26.6315,11.2196,0.752,0.0289,-0.0019
0.96,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0223,-0.0012,0.0,-0.0,26.6315,11.2196,0.752,0.0289,-0.0019
0.98,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.019,-0.001,0.0,-0.0,26.6315,11.2196,0.752,0.0289,-0.0019
1.0,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0158,-0.0008,0.0,-0.0,26.6315,11.2196,0.752,0.0289,-0.0019
1.02,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0125,-0.0007,0.0,-0.0,26.6315,11.2196,0.752,0.0125,-0.0008
1.04,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0115,-0.0006,0.0,0.0,26.6315,11.2196,0.752,0.0125,-0.0008
1.06,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0102,-0.0006,0.0,-0.0,26.6315,11.2196,0.752,0.0134,-0.0009
1.08,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0098,-0.0005,0.0,-0.0,26.6315,11.2196,0.752,0.0128,-0.0008
1.1,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0086,-0.0005,0.0,0.0,26.6315,11.2196,0.752,0.0125,-0.0008
1.12,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0084,-0.0005,0.0,0.0,26.6315,11.2196,0.752,0.0084,-0.0005
1.14,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0081,-0.0004,-0.0,-0.0,26.6315,11.2196,0.752,0.0081,-0.0005
1.16,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0078,-0.0004,0.0,0.0,26.6315,11.2196,0.752,0.0078,-0.0005
1.18,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.009,-0.0005,0.0,0.0,26.6315,11.2196,0.752,0.0065,-0.0004
1.2,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0086,-0.0005,-0.0,-0.0,26.6315,11.2196,0.752,0.0062,-0.0004
1.22,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0082,-0.0005,0.0,0.0,26.6315,11.2196,0.752,0.0059,-0.0004
1.24,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0079,-0.0004,0.0,0.0,26.6315,11.2196,0.752,0.0056,-0.0004
1.26,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0075,-0.0004,0.0,0.0,26.6315,11.2196,0.752,0.0054,-0.0003
1.28,0,sobe,27.6693,9.3722,0.5857,0.0,0.0,0.0072,-0.0004,0.0,0.0,26.6315,11.2196,0.752,0.0052,-0.0003
