t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,18.4599,4.0874,0.5126,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,18.4599,4.0874,0.5126,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,18.4599,4.0874,0.5126,0.0,0.0,0.0,0.0,0.0,0.0,18.2952,4.6356,0.6428,0.0,0.0
0.06,0,sobe,18.4624,4.0889,0.5135,0.0,0.0,0.0478,0.0162,0.08,0.0244,18.2952,4.6356,0.6428,0.0,0.0
0.08,0,sobe,18.4624,4.0889,0.5135,0.0,0.0,0.0359,0.0121,0.08,0.0244,18.2952,4.6356,0.6428,0.0,0.0
0.1,0,sobe,18.4638,4.0896,0.514,0.0,0.0,0.0447,0.0146,0.08,0.0244,18.2952,4.6356,0.6428,0.0,0.0
0.12,0,sobe,18.4652,4.0904,0.5145,0.0,0.0,0.0506,0.0162,0.08,0.0244,18.2952,4.6356,0.6428,0.0,0.0
0.14,0,sobe,18.4667,4.0911,0.515,0.0,0.0,0.0548,0.0174,0.08,0.0244,18.3016,4.6404,0.6456,0.08,0.0285
0.16,0,sobe,18.4668,4.0911,0.515,0.0,0.0,0.0487,0.0154,0.0008,-0.0,18.3016,4.6404,0.6456,0.0667,0.0237
0.18,0,sobe,18.4668,4.0911,0.515,0.0,0.0,0.0433,0.0137,0.0008,-0.0,18.3016,4.6404,0.6456,0.0571,0.0203
0.2,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0387,0.0124,0.0008,0.0,18.3016,4.6404,0.6456,0.05,0.0178
0.22,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0352,0.0113,0.0008,0.0,18.3016,4.6405,0.6456,0.0449,0.0158
0.24,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0324,0.0104,0.0008,0.0,18.3016,4.6405,0.6456,0.0404,0.0142
0.26,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0299,0.0096,0.0,-0.0,18.3016,4.6405,0.6456,0.0367,0.0129
0.28,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0277,0.0089,0.0,-0.0,18.3016,4.6405,0.6456,0.0337,0.0119
0.3,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0259,0.0083,0.0,-0.0,18.3016,4.6405,0.6456,0.0311,0.0109
0.32,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0243,0.0078,0.0,-0.0,18.3016,4.6405,0.6456,0.0289,0.0102
0.34,0,sobe,18.4667,4.0911,0.5151,0.0,0.0,0.0228,0.0073,0.0,-0.0,18.3016,4.6405,0.6456,0.0269,0.0095
0.36,0,sobe,18.4678,4.0918,0.5153,0.0,0.0,0.0251,0.0077,0.0808,0.0106,18.3016,4.6405,0.6456,0.0252,0.0089
0.38,0,sobe,18.4693,4.0926,0.5155,0.0,0.0,0.0281,0.0078,0.0808,0.0103,18.3016,4.6405,0.6456,0.0238,0.0084
0.4,0,sobe,18.4707,4.0934,0.5157,0.0,0.0,0.0307,0.0079,0.0808,0.0103,18.3016,4.6405,0.6456,0.0224,0.0079
0.42,0,sobe,18.4721,4.0942,0.5159,0.0,0.0,0.0331,0.008,0.0808,0.0103,18.3016,4.6405,0.6456,0.0213,0.0075
0.44,0,sobe,18.4735,4.095,0.5162,0.0,0.0,0.0353,0.0081,0.0808,0.0103,18.3081,4.6453,0.6468,0.0404,0.0101
0.46,0,sobe,18.4747,4.0956,0.5163,0.0,0.0,0.0367,0.008,0.0678,0.0056,18.3081,4.6453,0.6468,0.0385,0.0096
0.48,0,sobe,18.4759,4.0963,0.5164,0.0,0.0,0.038,0.0079,0.0678,0.0056,18.3081,4.6453,0.6468,0.0367,0.0092
0.5,0,sobe,18.477,4.0969,0.5165,0.0,0.0,0.0392,0.0079,0.0678,0.0056,18.3081,4.6453,0.6468,0.0351,0.0088
0.52,0,sobe,18.4782,4.0976,0.5166,0.0,0.0,0.0419,0.0081,0.0678,0.0056,18.3081,4.6453,0.6468,0.0337,0.0084
0.541,0,sobe,18.4796,4.0984,0.5167,0.0,0.0,0.0409,0.0066,0.0102,0.001,18.3135,4.6494,0.6475,0.0477,0.0098
0.56,0,sobe,18.4796,4.0984,0.5167,0.0,0.0,0.0393,0.0064,0.0102,0.001,18.3135,4.6494,0.6475,0.0459,0.0094
0.58,0,sobe,18.4798,4.0985,0.5168,0.0,0.0,0.0397,0.0065,0.0068,0.0019,18.3135,4.6494,0.6475,0.0459,0.0094
0.6,0,sobe,18.48,4.0986,0.5168,0.0,0.0,0.0369,0.0055,0.0102,0.0,18.3135,4.6494,0.6475,0.0459,0.0094
0.62,0,sobe,18.4801,4.0987,0.5168,0.0,0.0,0.0341,0.0046,0.0102,0.0,18.3135,4.6494,0.6475,0.0459,0.0094
0.64,0,sobe,18.4803,4.0988,0.5168,0.0,0.0,0.0313,0.0036,0.0102,0.0,18.3143,4.65,0.6476,0.0319,0.0039
