t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,13.7446,2.2745,0.3474,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,13.7446,2.2745,0.3474,0.0,0.0,0.0,-0.0,-0.0,-0.0,,,,0.0,0.0
0.04,0,sobe,13.7446,2.2745,0.3474,0.0,0.0,0.0,-0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,13.7458,2.2749,0.3477,0.0,0.0,0.0205,0.0039,0.0807,0.0034,,,,0.0,0.0
0.08,0,sobe,13.7473,2.2755,0.3477,0.0,0.0,0.0355,0.0038,0.0807,0.0034,,,,0.0,0.0
0.1,0,sobe,13.7488,2.276,0.3478,0.0,0.0,0.0446,0.0037,0.0807,0.0034,,,,0.0,0.0
0.12,0,sobe,13.7503,2.2766,0.3479,0.0,0.0,0.0506,0.0037,0.0807,0.0034,,,,0.0,0.0
0.14,0,sobe,13.7518,2.2771,0.3479,0.0,0.0,0.0549,0.0036,0.0807,0.0034,13.7237,2.5088,0.3764,0.0,0.0
0.16,0,sobe,13.752,2.2771,0.3479,0.0,0.0,0.0488,0.003,0.0008,0.0,13.7237,2.5088,0.3764,0.0,0.0
0.18,0,sobe,13.752,2.2772,0.3479,0.0,0.0,0.0435,0.0027,0.0008,0.0,13.7237,2.5088,0.3764,0.0,0.0
0.2,0,sobe,13.7519,2.2771,0.3479,0.0,0.0,0.0388,0.0025,0.0008,0.0,13.7237,2.5088,0.3764,0.0,0.0
0.22,0,sobe,13.7519,2.2772,0.3479,0.0,0.0,0.0354,0.0022,0.0008,0.0,13.7237,2.5088,0.3764,0.0,0.0
0.24,0,sobe,13.752,2.2772,0.3479,0.0,0.0,0.0325,0.0021,0.0008,0.0,13.7238,2.5089,0.3764,0.0008,0.0
0.26,0,sobe,13.752,2.2772,0.3479,0.0,0.0,0.03,0.0019,0.0,-0.0,13.7238,2.5089,0.3764,0.0007,0.0
0.28,0,sobe,13.752,2.2772,0.3479,0.0,0.0,0.0278,0.0018,0.0,-0.0,13.7238,2.5089,0.3764,0.0006,0.0
0.3,0,sobe,13.752,2.2772,0.3479,0.0,0.0,0.026,0.0016,0.0,-0.0,13.7238,2.5089,0.3764,0.0005,0.0
0.321,0,sobe,13.752,2.2772,0.3479,0.0,0.0,0.0243,0.0015,0.0,-0.0,13.7238,2.5089,0.3764,0.0004,0.0
0.34,0,sobe,13.752,2.2772,0.3479,0.0,0.0,0.0229,0.0015,0.0,-0.0,13.7238,2.5089,0.3764,0.0004,0.0
0.36,0,sobe,13.7531,2.2776,0.3482,0.0,0.0,0.025,0.002,0.08,0.0,13.7238,2.5089,0.3764,0.0004,0.0
0.38,0,sobe,13.7546,2.2782,0.3482,0.0,0.0,0.0279,0.002,0.08,0.0,13.7238,2.5089,0.3764,0.0003,0.0
0.401,0,sobe,13.7576,2.2793,0.3483,0.0,0.0,0.0344,0.0021,0.08,0.0,13.7238,2.5089,0.3764,0.0003,0.0
0.42,0,sobe,13.7576,2.2793,0.3483,0.0,0.0,0.0329,0.002,0.08,0.0,13.7238,2.5089,0.3764,0.0003,0.0
0.44,0,sobe,13.7591,2.2798,0.3483,0.0,0.0,0.035,0.002,0.08,0.0,13.7312,2.5118,0.3765,0.0269,0.0005
0.46,0,sobe,13.7604,2.2803,0.3483,0.0,0.0,0.0364,0.0019,0.0674,0.0,13.7312,2.5118,0.3765,0.0252,0.0004
0.48,0,sobe,13.7616,2.2807,0.3483,0.0,0.0,0.0377,0.0019,0.0674,0.0,13.7312,2.5118,0.3765,0.0238,0.0004
0.5,0,sobe,13.7629,2.2812,0.3483,0.0,0.0,0.0389,0.0018,0.0674,0.0,13.7312,2.5118,0.3765,0.0224,0.0004
0.52,0,sobe,13.7642,2.2816,0.3484,0.0,0.0,0.0416,0.0019,0.0674,0.0,13.7312,2.5118,0.3765,0.0213,0.0004
0.54,0,sobe,13.7654,2.2821,0.3484,0.0,0.0,0.0443,0.0019,0.0674,0.0,13.7375,2.5143,0.3766,0.0371,0.0005
0.56,0,sobe,13.7657,2.2822,0.3484,0.0,0.0,0.0424,0.0014,0.0103,0.0001,13.7375,2.5143,0.3766,0.0353,0.0005
0.58,0,sobe,13.7658,2.2822,0.3484,0.0,0.0,0.0395,0.0013,0.0063,0.0002,13.7375,2.5143,0.3766,0.0337,0.0005
0.6,0,sobe,13.766,2.2823,0.3484,0.0,0.0,0.0367,0.0012,0.0103,0.0,13.7375,2.5143,0.3766,0.0322,0.0005
0.62,0,sobe,13.7662,2.2824,0.3484,0.0,0.0,0.0338,0.001,0.0103,0.0,13.7375,2.5143,0.3766,0.0309,0.0004
0.64,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.031,0.0009,0.0103,0.0,13.7384,2.5147,0.3766,0.0317,0.0004
0.66,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0308,0.0009,-0.0,-0.0,13.7384,2.5147,0.3766,0.0317,0.0004
0.68,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0307,0.0009,-0.0,-0.0,13.7384,2.5147,0.3766,0.0317,0.0004
0.7,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0309,0.0009,-0.0,-0.0,13.7384,2.5147,0.3766,0.0317,0.0004
0.72,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0308,0.0009,0.0,0.0,13.7384,2.5147,0.3766,0.0317,0.0004
0.74,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0308,0.0009,-0.0,-0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.76,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0308,0.0009,-0.0,-0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.78,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0308,0.0009,-0.0,-0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.8,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0308,0.0009,0.0,0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.82,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0309,0.0009,0.0,0.0,13.7384,2.5147,0.3766,0.0316,0.0004
0.84,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0308,0.0009,0.0,0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.86,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0284,0.0004,-0.0,-0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.88,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0252,0.0004,0.0,0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.9,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0188,0.0002,0.0,0.0,13.7384,2.5147,0.3766,0.0316,0.0004
0.92,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0188,0.0002,0.0,0.0,13.7384,2.5147,0.3766,0.0315,0.0004
0.94,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0156,0.0002,-0.0,-0.0,13.7384,2.5147,0.3766,0.0155,0.0002
0.96,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0129,0.0001,0.0,0.0,13.7384,2.5147,0.3766,0.0155,0.0002
0.98,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0102,0.0001,0.0,0.0,13.7384,2.5147,0.3766,0.0155,0.0002
1.0,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0075,0.0001,0.0,0.0,13.7384,2.5147,0.3766,0.0155,0.0002
1.02,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0048,0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0155,0.0002
1.04,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0021,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0021,0.0
1.06,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0016,0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0021,0.0
1.08,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0012,0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0021,0.0
1.1,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0008,0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0021,0.0
1.12,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0004,0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0021,0.0
1.14,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.16,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.18,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.2,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.22,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.24,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.26,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.28,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.3,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.32,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
1.34,0,sobe,13.7664,2.2825,0.3484,0.0,0.0,0.0,-0.0,0.0,0.0,13.7384,2.5147,0.3766,0.0,0.0
