t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.2,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.22,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.24,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.26,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.28,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.3,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.32,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.34,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.36,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.38,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.4,0,sobe,8.8481,0.9139,0.2414,0.0,0.0,0.0,0.0,0.0,0.0,8.845,1.0292,0.2661,0.0,0.0
0.42,0,sobe,8.8492,0.9142,0.2415,0.0,0.0,0.0029,0.0003,0.08,0.0,8.845,1.0292,0.2661,0.0,0.0
0.44,0,sobe,8.8508,0.9146,0.2415,0.0,0.0,0.0064,0.0003,0.08,0.0,8.845,1.0292,0.2661,0.0,0.0
0.46,0,sobe,8.8523,0.915,0.2415,0.0,0.0,0.0096,0.0003,0.08,0.0,8.845,1.0292,0.2661,0.0,0.0
0.48,0,sobe,8.8539,0.9154,0.2415,0.0,0.0,0.0125,0.0003,0.08,0.0,8.845,1.0292,0.2661,0.0,0.0
0.5,0,sobe,8.8554,0.9157,0.2415,0.0,0.0,0.0152,0.0002,0.08,0.0,8.8527,1.0313,0.266,0.025,-0.0001
0.52,0,sobe,8.8561,0.9159,0.2415,0.0,0.0,0.0167,0.0002,0.0349,-0.0001,8.8527,1.0313,0.266,0.0235,-0.0001
0.54,0,sobe,8.8568,0.9161,0.2415,0.0,0.0,0.018,0.0003,0.0349,0.0,8.8527,1.0313,0.266,0.0222,-0.0001
0.56,0,sobe,8.8575,0.9162,0.2415,0.0,0.0,0.0194,0.0002,0.0349,0.0,8.8527,1.0313,0.266,0.0211,-0.0001
0.58,0,sobe,8.8581,0.9164,0.2415,0.0,0.0,0.0208,0.0002,0.0349,0.0,8.856,1.0322,0.266,0.0287,-0.0001
0.6,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,0.0349,0.0,8.856,1.0322,0.266,0.0274,-0.0001
0.62,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,-0.001,0.0,8.856,1.0322,0.266,0.0261,-0.0001
0.64,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,0.0,-0.0,8.856,1.0322,0.266,0.025,-0.0001
0.66,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,0.0,-0.0,8.856,1.0322,0.266,0.0239,-0.0001
0.68,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.7,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.72,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.74,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.76,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.78,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.8,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.82,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.841,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0231,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.0239,-0.0001
0.861,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0231,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.0239,-0.0001
0.88,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.9,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0222,0.0002,-0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
0.92,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0198,-0.0001,0.0,0.0,8.856,1.0322,0.266,0.023,-0.0001
0.94,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0166,-0.0,0.0,0.0,8.856,1.0322,0.266,0.023,-0.0001
0.96,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0134,-0.0,0.0,0.0,8.856,1.0322,0.266,0.023,-0.0001
0.98,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0102,-0.0,-0.0,-0.0,8.856,1.0322,0.266,0.023,-0.0001
1.0,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.007,-0.0,0.0,0.0,8.856,1.0322,0.266,0.007,-0.0
1.02,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0056,0.0,0.0,0.0,8.856,1.0322,0.266,0.007,-0.0
1.04,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0042,-0.0,0.0,0.0,8.856,1.0322,0.266,0.007,-0.0
1.06,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0028,-0.0,-0.0,-0.0,8.856,1.0322,0.266,0.007,-0.0
1.08,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0014,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,-0.0
1.101,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,-0.0
1.12,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,-0.0
1.14,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,-0.0
1.16,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,-0.0
1.18,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,-0.0
1.2,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.22,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.24,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.26,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.28,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.3,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.32,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.34,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.36,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.38,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.4,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.42,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.441,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.46,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.48,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.5,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.52,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.54,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,-0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.56,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.58,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.6,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.62,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.64,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.66,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.68,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.7,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.72,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.74,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.76,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.78,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.8,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.82,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.84,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.86,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.88,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.9,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.92,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.94,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.96,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
1.98,0,sobe,8.8588,0.9166,0.2415,0.0,0.0,0.0,0.0,0.0,0.0,8.856,1.0322,0.266,0.0,0.0
