t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.04,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.06,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.081,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.1,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.12,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.14,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.16,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.18,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.2,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.22,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.24,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.26,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.28,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.3,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.32,0,sobe,14.9313,2.6823,0.3711,0.0,0.0,0.0,0.0,0.0,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.34,0,sobe,14.9324,2.6828,0.3713,0.0,0.0,0.0036,0.0006,0.0792,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.36,0,sobe,14.9339,2.6833,0.3713,0.0,0.0,0.0078,0.0007,0.0792,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.38,0,sobe,14.9354,2.6839,0.3713,0.0,0.0,0.0115,0.0007,0.0792,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.4,0,sobe,14.9368,2.6845,0.3714,0.0,0.0,0.0149,0.0007,0.0792,0.0,14.8946,2.9445,0.4009,0.0,0.0
0.42,0,sobe,14.9383,2.685,0.3714,0.0,0.0,0.018,0.0007,0.0792,0.0,14.9019,2.9475,0.4009,0.0198,0.0002
0.44,0,sobe,14.9398,2.6856,0.3714,0.0,0.0,0.0208,0.0007,0.0801,0.0,14.9019,2.9475,0.4009,0.0189,0.0002
0.46,0,sobe,14.9413,2.6862,0.3714,0.0,0.0,0.0234,0.0007,0.0801,0.0,14.9019,2.9475,0.4009,0.018,0.0002
0.48,0,sobe,14.9428,2.6868,0.3714,0.0,0.0,0.0257,0.0007,0.0801,0.0,14.9019,2.9475,0.4009,0.0172,0.0002
0.501,0,sobe,14.9458,2.688,0.3714,0.0,0.0,0.0324,0.0007,0.0801,0.0,14.9092,2.9507,0.401,0.0331,0.0002
0.52,0,sobe,14.9458,2.688,0.3714,0.0,0.0,0.0311,0.0007,0.0801,0.0,14.9092,2.9507,0.401,0.0319,0.0002
0.584,0,sobe,14.9466,2.6883,0.3714,0.0,0.0,0.034,0.0007,0.0184,0.0019,14.9092,2.9507,0.401,0.0329,0.0002
0.637,0,sobe,14.947,2.6884,0.3714,0.0,0.0,0.034,0.0007,0.0223,0.0,14.9113,2.9515,0.401,0.0365,0.0002
0.734,0,sobe,14.9475,2.6886,0.3714,0.0,0.0,0.0351,0.0007,0.0223,0.0,14.9123,2.952,0.401,0.0391,0.0003
0.844,0,sobe,14.9485,2.689,0.3714,0.0,0.0,0.0324,0.0002,0.0114,0.0,14.9134,2.9524,0.401,0.0422,0.0003
0.86,0,sobe,14.9504,2.6898,0.3715,0.0,0.0,0.0355,0.0002,0.0114,0.0,14.9134,2.9524,0.401,0.0409,0.0003
0.88,0,sobe,14.9507,2.6898,0.3715,0.0,0.0,0.0328,0.0002,0.0114,0.0,14.9134,2.9524,0.401,0.0409,0.0003
0.9,0,sobe,14.9509,2.6899,0.3715,0.0,0.0,0.0301,0.0002,0.0114,0.0,14.9134,2.9524,0.401,0.0409,0.0003
0.92,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0274,0.0002,0.0114,0.0,14.9145,2.9529,0.401,0.0273,0.0001
0.94,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0242,0.0001,-0.0,-0.0,14.9145,2.9529,0.401,0.0273,0.0001
0.96,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.021,0.0001,-0.0,-0.0,14.9145,2.9529,0.401,0.0273,0.0001
0.98,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0178,0.0001,-0.0,-0.0,14.9145,2.9529,0.401,0.0273,0.0001
1.0,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0114,0.0001,0.0,0.0,14.9145,2.9529,0.401,0.0113,0.0001
1.02,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0113,0.0001,0.0,0.0,14.9145,2.9529,0.401,0.0113,0.0001
1.04,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0105,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0124,0.0001
1.06,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.01,0.0,-0.0,-0.0,14.9145,2.9529,0.401,0.0119,0.0001
1.08,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0096,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0114,0.0001
1.1,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0093,0.0,-0.0,-0.0,14.9145,2.9529,0.401,0.0074,0.0
1.12,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.009,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0071,0.0
1.14,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0096,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0056,0.0
1.16,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0091,0.0,-0.0,-0.0,14.9145,2.9529,0.401,0.0054,0.0
1.18,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0087,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0051,0.0
1.2,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0083,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0049,0.0
1.22,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.008,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0047,0.0
1.24,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0069,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0029,0.0
1.26,0,sobe,14.9511,2.69,0.3715,0.0,0.0,0.0066,0.0,0.0,0.0,14.9145,2.9529,0.401,0.0027,0.0
