t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.02,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.04,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.06,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.08,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.1,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.12,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.14,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.16,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.18,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.2,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.22,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.24,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.26,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.28,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.3,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.32,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.34,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.36,0,sobe,16.1343,3.098,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,16.0786,3.4182,0.4772,0.0,0.0
0.38,0,sobe,16.1354,3.0986,0.4178,0.0,0.0,0.0033,0.0009,0.0792,0.0127,16.0786,3.4182,0.4772,0.0,0.0
0.4,0,sobe,16.1369,3.0992,0.418,0.0,0.0,0.0071,0.0015,0.0792,0.0127,16.0786,3.4182,0.4772,0.0,0.0
