t,fonte,key,mux,roda
0.0,roda,0.0,0.0,0.0
0.0906,roda,0.0,0.0,0.0
0.1898,roda,0.0,0.0,0.0
0.2895,roda,0.0,0.0,0.0
0.3895,roda,0.0,0.0,0.0
0.8156,roda,0.0,0.0,0.0
0.816,roda,0.0,0.0,0.0
0.8163,roda,0.0,0.0,0.0
0.8168,roda,0.0,0.0,0.0
0.8895,roda,0.0,0.0,0.0
0.9894,roda,0.0,0.0,0.0
1.3306,roda,0.0,0.0,0.0
1.3315,roda,0.0,0.0,0.0
1.332,roda,0.0,0.0,0.0
1.39,roda,0.0,0.0,0.0
1.4894,roda,0.0,0.0,0.0
1.5902,roda,0.0,0.0,0.0
1.8866,roda,0.0,0.0,0.0
1.8872,roda,0.0,0.0,0.0
1.8895,roda,0.0,0.0,0.0
1.9912,roda,0.0,0.0,0.0
2.0895,roda,0.0,0.0,0.0
2.191,roda,0.0,0.0,0.0
2.2898,roda,0.0,0.0,0.0
2.3911,roda,0.0,0.0,0.0
2.4895,roda,0.0,0.0,0.0
2.591,roda,0.0,0.0,0.0
2.6896,roda,0.0,0.0,0.0
2.7895,roda,0.0,0.0,0.0
2.8895,roda,0.0,0.0,0.0
2.9895,roda,0.0,0.0,0.0
3.0895,roda,0.0,0.0,0.0
3.1896,roda,0.0,0.0,0.0
3.2896,roda,0.0,0.0,0.0
3.3917,roda,0.0,0.0,0.0
3.4897,roda,0.0,0.0,0.0
3.5896,roda,0.0,0.0,0.0
3.6895,roda,0.0,0.0,0.0
3.7895,roda,0.0,0.0,0.0
3.8895,roda,0.0,0.0,0.0
3.9895,roda,0.0,0.0,0.0
4.0895,roda,0.0,0.0,0.0
4.1895,roda,0.0,0.0,0.0
4.2895,roda,0.0,0.0,0.0
4.3895,roda,0.0,0.0,0.0
4.4896,roda,0.0,0.0,0.0
4.5895,roda,0.0,0.0,0.0
4.6895,roda,0.0,0.0,0.0
4.7902,roda,0.0,0.0,0.0
4.8899,roda,0.0,0.0,0.0
4.9914,roda,0.0,0.0,0.0
5.0894,roda,0.0,0.0,0.0
5.1895,roda,0.0,0.0,0.0
5.2897,roda,0.0,0.0,0.0
5.3895,roda,0.0,0.0,0.0
5.4895,roda,0.0,0.0,0.0
5.5895,roda,0.0,0.0,0.0
5.6896,roda,0.0,0.0,0.0
5.7895,roda,0.0,0.0,0.0
5.8896,roda,0.0,0.0,0.0
5.9895,roda,0.0,0.0,0.0
6.0895,roda,0.0,0.0,0.0
6.1902,roda,0.0,0.0,0.0
6.2895,roda,0.0,0.0,0.0
6.3895,roda,0.0,0.0,0.0
6.4895,roda,0.0,0.0,0.0
6.5894,roda,0.0,0.0,0.0
6.6895,roda,0.0,0.0,0.0
6.7895,roda,0.0,0.0,0.0
6.8896,roda,0.0,0.0,0.0
6.9895,roda,0.0,0.0,0.0
7.0896,roda,0.0,0.0,0.0
7.1896,roda,0.0,0.0,0.0
7.2911,roda,0.0,0.0,0.0
7.3895,roda,0.0,0.0,0.0
7.4896,roda,0.0,0.0,0.0
7.5894,roda,0.0,0.0,0.0
7.6901,roda,0.0,0.0,0.0
7.7904,roda,0.0,0.0,0.0
7.8894,roda,0.0,0.0,0.0
7.9895,roda,0.0,0.0,0.0
8.0895,roda,0.0,0.0,0.0
8.1895,roda,0.0,0.0,0.0
8.2894,roda,0.0,0.0,0.0
8.3898,roda,0.0,0.0,0.0
8.4895,roda,0.0,0.0,0.0
8.5901,roda,0.0,0.0,0.0
8.6897,roda,0.0,0.0,0.0
8.7894,roda,0.0,0.0,0.0
8.8896,roda,0.0,0.0,0.0
8.9895,roda,0.0,0.0,0.0
9.0894,roda,0.0,0.0,0.0
9.1894,roda,0.0,0.0,0.0
9.2911,roda,0.0,0.0,0.0
9.3895,roda,0.0,0.0,0.0
9.4916,roda,0.0,0.0,0.0
9.5895,roda,0.0,0.0,0.0
9.6901,roda,0.0,0.0,0.0
9.7896,roda,0.0,0.0,0.0
9.8897,roda,0.0,0.0,0.0
9.9896,roda,0.0,0.0,0.0
10.0902,roda,0.0,0.0,0.0
10.1895,roda,0.0,0.0,0.0
10.2899,roda,0.0,0.0,0.0
10.3895,roda,0.0,0.0,0.0
10.4896,roda,0.0,0.0,0.0
10.5901,roda,0.0,0.0,0.0
10.6895,roda,0.0,0.0,0.0
10.7905,roda,0.0,0.0,0.0
