t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0768,-0.0108,-0.0611,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.0768,-0.0108,-0.0611,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.0768,-0.0108,-0.0611,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.0768,-0.0108,-0.0611,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.0768,-0.0108,-0.0611,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.0736,-0.0107,-0.0601,0.0,0.0,0.0326,0.01,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.0736,-0.0107,-0.0601,0.0,0.0,0.0271,0.0083,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,-0.0736,-0.0107,-0.0601,0.0,0.0,0.0233,0.0071,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,-0.0736,-0.0107,-0.0601,0.0,0.0,0.0204,0.0062,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,-0.0739,-0.0075,-0.0608,0.0,0.0,0.0248,0.0017,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,-0.0739,-0.0075,-0.0608,0.0,0.0,0.0223,0.0016,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,-0.0739,-0.0075,-0.0608,0.0,0.0,0.0203,0.0014,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,-0.0739,-0.0075,-0.0608,0.0,0.0,0.0186,0.0013,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,-0.0739,-0.0075,-0.0608,0.0,0.0,0.0171,0.0012,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,-0.0739,-0.0075,-0.0608,0.0,0.0,0.0159,0.0011,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,-0.0755,-0.0047,-0.0632,0.0,0.0,0.0207,-0.0071,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,-0.0755,-0.0047,-0.0632,0.0,0.0,0.0194,-0.0066,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,-0.0755,-0.0047,-0.0632,0.0,0.0,0.0182,-0.0062,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,-0.0755,-0.0047,-0.0632,0.0,0.0,0.0172,-0.0059,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,-0.0747,-0.0015,-0.061,0.0,0.0,0.0252,0.0003,0.0,0.0,,,,0.0,0.0
0.4,0,sobe,-0.0747,-0.0015,-0.061,0.0,0.0,0.0239,0.0003,0.0,0.0,,,,0.0,0.0
0.42,0,sobe,-0.0747,-0.0015,-0.061,0.0,0.0,0.0228,0.0003,0.0,0.0,,,,0.0,0.0
0.44,0,sobe,-0.0747,-0.0015,-0.061,0.0,0.0,0.0218,0.0003,0.0,0.0,,,,0.0,0.0
0.46,0,sobe,-0.0747,-0.0015,-0.061,0.0,0.0,0.0208,0.0003,0.0,0.0,,,,0.0,0.0
0.48,0,sobe,-0.0747,-0.0015,-0.061,0.0,0.0,0.02,0.0003,0.0,0.0,,,,0.0,0.0
0.5,0,sobe,-0.0726,0.0031,-0.0581,0.0,0.0,0.0291,0.006,0.0,0.0,,,,0.0,0.0
0.52,0,sobe,-0.0726,0.0031,-0.0581,0.0,0.0,0.0291,0.006,0.0,0.0,,,,0.0,0.0
0.54,0,sobe,-0.0726,0.0031,-0.0581,0.0,0.0,0.0291,0.006,0.0,0.0,,,,0.0,0.0
0.56,0,sobe,-0.0726,0.0031,-0.0581,0.0,0.0,0.0291,0.006,0.0,0.0,,,,0.0,0.0
0.58,0,sobe,-0.0725,0.0091,-0.0606,0.0,0.0,0.0408,0.001,0.0,0.0,,,,0.0,0.0
0.6,0,sobe,-0.0725,0.0091,-0.0606,0.0,0.0,0.0413,-0.001,0.0,0.0,,,,0.0,0.0
0.62,0,sobe,-0.0725,0.0091,-0.0606,0.0,0.0,0.0397,-0.001,0.0,0.0,,,,0.0,0.0
0.64,0,sobe,-0.0725,0.0091,-0.0606,0.0,0.0,0.0397,-0.001,0.0,0.0,,,,0.0,0.0
0.66,0,sobe,-0.0725,0.0091,-0.0606,0.0,0.0,0.0397,-0.001,0.0,0.0,,,,0.0,0.0
0.68,0,sobe,-0.0736,0.0105,-0.0637,0.0,0.0,0.0374,-0.0062,0.0,0.0,,,,0.0,0.0
0.7,0,sobe,-0.0736,0.0105,-0.0637,0.0,0.0,0.0375,-0.0062,0.0,0.0,,,,0.0,0.0
0.72,0,sobe,-0.0736,0.0105,-0.0637,0.0,0.0,0.0375,-0.0062,0.0,0.0,,,,0.0,0.0
0.74,0,sobe,-0.0736,0.0105,-0.0637,0.0,0.0,0.0375,-0.0062,0.0,0.0,,,,0.0,0.0
0.76,0,sobe,-0.0736,0.0105,-0.0637,0.0,0.0,0.036,-0.0059,0.0,0.0,,,,0.0,0.0
0.78,0,sobe,-0.0716,0.0082,-0.0627,0.0,0.0,0.0316,-0.004,0.0,0.0,,,,0.0,0.0
0.8,0,sobe,-0.0716,0.0082,-0.0627,0.0,0.0,0.027,0.0009,0.0,0.0,,,,0.0,0.0
