t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0635,-0.0864,1.7683,0.0,0.0,0.0,0.0,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.02,0,sobe,-0.0608,-0.084,1.77,0.0,0.0,0.1807,0.0832,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.04,0,sobe,-0.0608,-0.084,1.77,0.0,0.0,0.0903,0.0416,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.06,0,sobe,-0.0608,-0.084,1.77,0.0,0.0,0.0602,0.0277,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.08,0,sobe,-0.0608,-0.084,1.77,0.0,0.0,0.0451,0.0208,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.1,0,sobe,-0.0608,-0.084,1.77,0.0,0.0,0.0361,0.0166,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.12,0,sobe,-0.0608,-0.084,1.77,0.0,0.0,0.0301,0.0138,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.14,0,sobe,-0.0609,-0.0828,1.7706,0.0,0.0,0.0315,0.0162,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.16,0,sobe,-0.0609,-0.0828,1.7706,0.0,0.0,0.0275,0.0142,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.18,0,sobe,-0.0609,-0.0828,1.7706,0.0,0.0,0.0245,0.0126,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.2,0,sobe,-0.0609,-0.0828,1.7706,0.0,0.0,0.022,0.0113,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.22,0,sobe,-0.0609,-0.0828,1.7706,0.0,0.0,0.02,0.0103,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.24,0,sobe,-0.0637,-0.078,1.7692,0.0,0.0,0.0349,0.0038,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.26,0,sobe,-0.0637,-0.078,1.7692,0.0,0.0,0.0322,0.0035,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.28,0,sobe,-0.0637,-0.078,1.7692,0.0,0.0,0.0299,0.0032,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.3,0,sobe,-0.0637,-0.078,1.7692,0.0,0.0,0.0279,0.003,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.32,0,sobe,-0.0644,-0.0757,1.77,0.0,0.0,0.0337,0.0051,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.34,0,sobe,-0.0644,-0.0757,1.77,0.0,0.0,0.0317,0.0048,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.36,0,sobe,-0.0644,-0.0757,1.77,0.0,0.0,0.0299,0.0045,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.38,0,sobe,-0.0644,-0.0757,1.77,0.0,0.0,0.0284,0.0043,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.4,0,sobe,-0.0644,-0.0757,1.77,0.0,0.0,0.0269,0.0041,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.42,0,sobe,-0.0644,-0.0757,1.77,0.0,0.0,0.0257,0.0039,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.44,0,sobe,-0.0681,-0.0752,1.7701,0.0,0.0,0.0275,0.0039,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.46,0,sobe,-0.0681,-0.0752,1.7701,0.0,0.0,0.0263,0.0038,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.48,0,sobe,-0.0681,-0.0752,1.7701,0.0,0.0,0.0252,0.0036,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.5,0,sobe,-0.0681,-0.0752,1.7701,0.0,0.0,0.0239,0.0002,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.52,0,sobe,-0.0681,-0.0752,1.7701,0.0,0.0,0.0239,0.0002,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.54,0,sobe,-0.0721,-0.0718,1.7671,0.0,0.0,0.0348,-0.0061,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.56,0,sobe,-0.0721,-0.0718,1.7671,0.0,0.0,0.0348,-0.0061,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.58,0,sobe,-0.0721,-0.0718,1.7671,0.0,0.0,0.0348,-0.0061,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.6,0,sobe,-0.0721,-0.0718,1.7671,0.0,0.0,0.0334,-0.0059,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.62,0,sobe,-0.0721,-0.0718,1.7671,0.0,0.0,0.0328,-0.0074,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.64,0,sobe,-0.0757,-0.0733,1.768,0.0,0.0,0.0351,-0.0053,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.66,0,sobe,-0.0757,-0.0733,1.768,0.0,0.0,0.0351,-0.0053,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
0.68,0,sobe,-0.0757,-0.0733,1.768,0.0,0.0,0.0365,-0.0055,0.0,0.0,-0.4091,0.1043,-0.1098,0.0,0.0
