t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0093,-0.1305,2.9426,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.0093,-0.1305,2.9426,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.0093,-0.1305,2.9426,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.0093,-0.1305,2.9426,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.0093,-0.1305,2.9426,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.0081,-0.1327,2.9454,0.0,0.0,0.0251,0.028,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.0081,-0.1327,2.9454,0.0,0.0,0.0209,0.0234,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,-0.0081,-0.1327,2.9454,0.0,0.0,0.0179,0.02,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.16,0,sobe,-0.0081,-0.1327,2.9454,0.0,0.0,0.0157,0.0175,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.18,0,sobe,-0.0081,-0.1327,2.9454,0.0,0.0,0.0139,0.0156,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.2,0,sobe,-0.0082,-0.134,2.9426,0.0,0.0,0.0181,0.0002,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.22,0,sobe,-0.0082,-0.134,2.9426,0.0,0.0,0.0165,0.0002,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.24,0,sobe,-0.0082,-0.134,2.9426,0.0,0.0,0.0151,0.0002,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.26,0,sobe,-0.0082,-0.134,2.9426,0.0,0.0,0.0139,0.0002,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.28,0,sobe,-0.0082,-0.134,2.9426,0.0,0.0,0.0129,0.0001,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.3,0,sobe,-0.0082,-0.134,2.9426,0.0,0.0,0.0121,0.0001,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.32,0,sobe,-0.0078,-0.1332,2.9457,0.0,0.0,0.0094,0.0098,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.34,0,sobe,-0.0078,-0.1332,2.9457,0.0,0.0,0.0089,0.0093,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.36,0,sobe,-0.0078,-0.1332,2.9457,0.0,0.0,0.0084,0.0088,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.38,0,sobe,-0.0078,-0.1332,2.9457,0.0,0.0,0.008,0.0083,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.4,0,sobe,-0.0099,-0.1324,2.9471,0.0,0.0,0.0049,0.0113,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.42,0,sobe,-0.0099,-0.1324,2.9471,0.0,0.0,0.0047,0.0108,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.44,0,sobe,-0.0099,-0.1324,2.9471,0.0,0.0,0.0045,0.0103,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.46,0,sobe,-0.0099,-0.1324,2.9471,0.0,0.0,0.0043,0.0098,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.48,0,sobe,-0.0099,-0.1324,2.9471,0.0,0.0,0.0041,0.0094,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.5,0,sobe,-0.0099,-0.1324,2.9471,0.0,0.0,0.0041,0.0094,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.52,0,sobe,-0.0088,-0.1315,2.9445,0.0,0.0,0.0024,0.0041,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
0.54,0,sobe,-0.0088,-0.1315,2.9445,0.0,0.0,0.0024,0.0041,0.0,0.0,-0.4091,0.1043,0.0702,0.0,0.0
