t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.053,0.0289,-0.0799,0.0,0.0,0.0,0.0,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.02,0,sobe,-0.053,0.0289,-0.0799,0.0,0.0,0.0,0.0,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.04,0,sobe,-0.053,0.0289,-0.0799,0.0,0.0,0.0,0.0,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.06,0,sobe,-0.0531,0.0213,-0.0854,0.0,0.0,0.1266,-0.0907,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.08,0,sobe,-0.0531,0.0213,-0.0854,0.0,0.0,0.095,-0.068,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.1,0,sobe,-0.0531,0.0213,-0.0854,0.0,0.0,0.076,-0.0544,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.12,0,sobe,-0.0531,0.0213,-0.0854,0.0,0.0,0.0632,-0.0453,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.14,0,sobe,-0.0531,0.0213,-0.0854,0.0,0.0,0.0542,-0.0388,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.16,0,sobe,-0.0531,0.0213,-0.0854,0.0,0.0,0.0475,-0.034,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.18,0,sobe,-0.0513,0.0193,-0.0833,0.0,0.0,0.0544,-0.0188,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.2,0,sobe,-0.0513,0.0193,-0.0833,0.0,0.0,0.049,-0.0169,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.22,0,sobe,-0.0513,0.0193,-0.0833,0.0,0.0,0.0445,-0.0154,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.24,0,sobe,-0.0513,0.0193,-0.0833,0.0,0.0,0.0408,-0.0141,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.26,0,sobe,-0.0513,0.0193,-0.0833,0.0,0.0,0.0377,-0.013,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.28,0,sobe,-0.0544,0.0187,-0.0852,0.0,0.0,0.0368,-0.0189,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.3,0,sobe,-0.0544,0.0187,-0.0852,0.0,0.0,0.0344,-0.0177,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.32,0,sobe,-0.0544,0.0187,-0.0852,0.0,0.0,0.0322,-0.0166,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.34,0,sobe,-0.0544,0.0187,-0.0852,0.0,0.0,0.0303,-0.0156,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.36,0,sobe,-0.0555,0.0164,-0.0833,0.0,0.0,0.0355,-0.0095,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
0.38,0,sobe,-0.0555,0.0164,-0.0833,0.0,0.0,0.0337,-0.009,0.0,0.0,1.2262,1.7106,1.953,0.0,0.0
