t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.058,0.0312,-0.0441,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.058,0.0312,-0.0441,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.058,0.0312,-0.0441,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.058,0.0312,-0.0441,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.287,0,sobe,-0.058,0.0312,-0.0441,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,-0.0561,0.0275,-0.048,0.0,0.0,0.0137,-0.0131,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,-0.0561,0.0275,-0.048,0.0,0.0,0.0128,-0.0123,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,-0.0561,0.0275,-0.048,0.0,0.0,0.0121,-0.0115,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,-0.0561,0.0275,-0.048,0.0,0.0,0.0114,-0.0109,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,-0.0605,0.0293,-0.0453,0.0,0.0,0.0081,-0.0031,0.0,0.0,,,,0.0,0.0
0.4,0,sobe,-0.0605,0.0293,-0.0453,0.0,0.0,0.0077,-0.0029,0.0,0.0,,,,0.0,0.0
0.42,0,sobe,-0.0605,0.0293,-0.0453,0.0,0.0,0.0073,-0.0028,0.0,0.0,,,,0.0,0.0
0.44,0,sobe,-0.0605,0.0293,-0.0453,0.0,0.0,0.007,-0.0027,0.0,0.0,,,,0.0,0.0
0.46,0,sobe,-0.0605,0.0293,-0.0453,0.0,0.0,0.0067,-0.0026,0.0,0.0,,,,0.0,0.0
0.48,0,sobe,-0.0605,0.0293,-0.0453,0.0,0.0,0.0064,-0.0024,0.0,0.0,,,,0.0,0.0
0.5,0,sobe,-0.0614,0.0241,-0.0462,0.0,0.0,0.0156,-0.0041,0.0,0.0,,,,0.0,0.0
0.52,0,sobe,-0.0614,0.0241,-0.0462,0.0,0.0,0.0156,-0.0041,0.0,0.0,,,,0.0,0.0
0.54,0,sobe,-0.0614,0.0241,-0.0462,0.0,0.0,0.0157,-0.0041,0.0,0.0,,,,0.0,0.0
0.56,0,sobe,-0.0614,0.0241,-0.0462,0.0,0.0,0.0157,-0.0041,0.0,0.0,,,,0.0,0.0
0.58,0,sobe,-0.0632,0.0285,-0.0486,0.0,0.0,0.0198,-0.0155,0.0,0.0,,,,0.0,0.0
0.6,0,sobe,-0.0632,0.0285,-0.0486,0.0,0.0,0.0186,-0.0145,0.0,0.0,,,,0.0,0.0
0.62,0,sobe,-0.0632,0.0285,-0.0486,0.0,0.0,0.0175,-0.0137,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.64,0,sobe,-0.0632,0.0285,-0.0486,0.0,0.0,0.0165,-0.0129,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.66,0,sobe,-0.0632,0.0285,-0.0486,0.0,0.0,0.0156,-0.0122,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.68,0,sobe,-0.0677,0.0273,-0.0461,0.0,0.0,0.0266,-0.0051,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.7,0,sobe,-0.0677,0.0273,-0.0461,0.0,0.0,0.0253,-0.0048,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.72,0,sobe,-0.0677,0.0273,-0.0461,0.0,0.0,0.0241,-0.0046,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.74,0,sobe,-0.0677,0.0273,-0.0461,0.0,0.0,0.023,-0.0044,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.76,0,sobe,-0.0677,0.0273,-0.0461,0.0,0.0,0.0221,-0.0042,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.78,0,sobe,-0.0647,0.0293,-0.0462,0.0,0.0,0.0141,-0.0042,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.8,0,sobe,-0.0647,0.0293,-0.0462,0.0,0.0,0.0175,0.0037,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.82,0,sobe,-0.0647,0.0293,-0.0462,0.0,0.0,0.0175,0.0037,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.84,0,sobe,-0.0647,0.0293,-0.0462,0.0,0.0,0.0175,0.0037,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.86,0,sobe,-0.0675,0.0248,-0.0462,0.0,0.0,0.0234,0.0036,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.88,0,sobe,-0.0675,0.0248,-0.0462,0.0,0.0,0.0167,-0.0019,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.9,0,sobe,-0.0675,0.0248,-0.0462,0.0,0.0,0.0167,-0.0019,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.92,0,sobe,-0.0675,0.0248,-0.0462,0.0,0.0,0.0167,-0.0019,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.94,0,sobe,-0.0675,0.0248,-0.0462,0.0,0.0,0.0167,-0.0019,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.96,0,sobe,-0.0675,0.0248,-0.0462,0.0,0.0,0.0167,-0.0019,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
0.98,0,sobe,-0.0613,0.0262,-0.045,0.0,0.0,0.0043,0.0024,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.0,0,sobe,-0.0613,0.0262,-0.045,0.0,0.0,0.0043,0.0024,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.02,0,sobe,-0.0613,0.0262,-0.045,0.0,0.0,0.0043,0.0024,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.04,0,sobe,-0.0613,0.0262,-0.045,0.0,0.0,0.0042,0.0024,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.06,0,sobe,-0.0613,0.0262,-0.045,0.0,0.0,0.0042,0.0024,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.08,0,sobe,-0.0618,0.0299,-0.0454,0.0,0.0,0.0042,0.0067,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.1,0,sobe,-0.0618,0.0299,-0.0454,0.0,0.0,0.0042,0.0067,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.12,0,sobe,-0.0618,0.0299,-0.0454,0.0,0.0,0.0042,0.0067,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.14,0,sobe,-0.0618,0.0299,-0.0454,0.0,0.0,0.004,0.0064,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.16,0,sobe,-0.0618,0.0299,-0.0454,0.0,0.0,0.004,0.0064,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.18,0,sobe,-0.0614,0.0306,-0.0479,0.0,0.0,0.0141,-0.0035,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.2,0,sobe,-0.0614,0.0306,-0.0479,0.0,0.0,0.0141,-0.0035,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.22,0,sobe,-0.0614,0.0306,-0.0479,0.0,0.0,0.0147,-0.0037,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.24,0,sobe,-0.0614,0.0306,-0.0479,0.0,0.0,0.0147,-0.0037,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.26,0,sobe,-0.0614,0.0306,-0.0479,0.0,0.0,0.0073,-0.0035,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.28,0,sobe,-0.0605,0.0305,-0.0478,0.0,0.0,0.0091,-0.0034,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.3,0,sobe,-0.0605,0.0305,-0.0478,0.0,0.0,0.0091,-0.0034,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.32,0,sobe,-0.0605,0.0305,-0.0478,0.0,0.0,0.0091,-0.0034,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.34,0,sobe,-0.0605,0.0305,-0.0478,0.0,0.0,0.0187,-0.0033,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.36,0,sobe,-0.0605,0.0305,-0.0478,0.0,0.0,0.0187,-0.0033,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.38,0,sobe,-0.066,0.0308,-0.0479,0.0,0.0,0.0129,-0.0036,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.4,0,sobe,-0.066,0.0308,-0.0479,0.0,0.0,0.0129,-0.0036,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.42,0,sobe,-0.066,0.0308,-0.0479,0.0,0.0,0.0129,-0.0036,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.44,0,sobe,-0.066,0.0308,-0.0479,0.0,0.0,0.0129,-0.0036,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.46,0,sobe,-0.066,0.0308,-0.0479,0.0,0.0,0.0137,-0.0061,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.48,0,sobe,-0.066,0.0308,-0.0479,0.0,0.0,0.0137,-0.0061,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.5,0,sobe,-0.0678,0.0298,-0.0491,0.0,0.0,0.0147,-0.0082,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.52,0,sobe,-0.0678,0.0298,-0.0491,0.0,0.0,0.0153,-0.0085,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.54,0,sobe,-0.0678,0.0298,-0.0491,0.0,0.0,0.0153,-0.0086,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.56,0,sobe,-0.0678,0.0298,-0.0491,0.0,0.0,0.0125,-0.0076,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.58,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0183,-0.0086,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.6,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0183,-0.0086,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.62,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0191,-0.009,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.64,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0183,-0.0086,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.66,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0196,-0.0039,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.68,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0196,-0.0039,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.7,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0196,-0.0039,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.72,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0196,-0.0039,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.74,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0196,-0.0039,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.76,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0215,-0.004,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.78,0,sobe,-0.0708,0.0313,-0.0497,0.0,0.0,0.0206,-0.0038,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.8,0,sobe,-0.0704,0.0317,-0.0465,0.0,0.0,0.0199,0.0026,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.82,0,sobe,-0.0696,0.0289,-0.0465,0.0,0.0,0.0185,0.0025,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.84,0,sobe,-0.0696,0.0289,-0.0465,0.0,0.0,0.0185,0.0025,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.86,0,sobe,-0.0696,0.0289,-0.0465,0.0,0.0,0.0185,0.0025,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.88,0,sobe,-0.0702,0.0309,-0.0468,0.0,0.0,0.0084,0.0022,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.9,0,sobe,-0.0702,0.0309,-0.0468,0.0,0.0,0.0084,0.0022,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.92,0,sobe,-0.0702,0.0309,-0.0468,0.0,0.0,0.0084,0.0022,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.94,0,sobe,-0.0702,0.0309,-0.0468,0.0,0.0,0.0084,0.0022,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.96,0,sobe,-0.0702,0.0309,-0.0468,0.0,0.0,0.0084,0.0022,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
1.98,0,sobe,-0.0659,0.0228,-0.0478,0.0,0.0,0.0162,0.0002,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
2.0,0,sobe,-0.0659,0.0228,-0.0478,0.0,0.0,0.0145,0.0025,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
2.02,0,sobe,-0.0659,0.0228,-0.0478,0.25,0.0,0.0145,0.0025,0.0,0.0,-0.4091,0.1043,0.2502,0.0,0.0
2.04,0,sobe,-0.0659,0.0228,-0.0478,0.25,0.0,0.0151,0.0026,0.0,0.0,-0.3849,0.1106,0.255,0.052,0.0101
2.06,0,sobe,-0.0659,0.0228,-0.0478,0.25,0.0,0.0145,0.0025,0.0,0.0,-0.3849,0.1106,0.255,0.05,0.0097
2.08,0,sobe,-0.0625,0.0259,-0.0514,0.25,0.0,0.0206,-0.0036,0.0,0.0,-0.3849,0.1106,0.255,0.052,0.0101
2.1,0,sobe,-0.0625,0.0259,-0.0514,0.25,0.0,0.0206,-0.0036,0.0,0.0,-0.3849,0.1106,0.255,0.052,0.0101
2.12,0,sobe,-0.0625,0.0259,-0.0514,0.25,0.0,0.0206,-0.0036,0.0,0.0,-0.3849,0.1106,0.255,0.052,0.0101
2.14,0,sobe,-0.0625,0.0259,-0.0514,0.25,0.0,0.0206,-0.0036,0.0,0.0,-0.3607,0.117,0.2591,0.1042,0.0186
2.16,0,sobe,-0.0625,0.0259,-0.0514,0.25,0.0,0.0206,-0.0036,0.0,0.0,-0.3607,0.117,0.2591,0.1042,0.0186
2.18,0,sobe,-0.0506,0.0237,-0.0491,0.25,0.0,0.045,0.0013,0.0,0.0,-0.3607,0.117,0.2591,0.1042,0.0186
2.2,0,sobe,-0.0506,0.0237,-0.0491,0.25,0.0,0.0432,0.0013,0.0,0.0,-0.3607,0.117,0.2591,0.1001,0.0178
2.22,0,sobe,-0.0506,0.0237,-0.0491,0.25,0.0,0.0433,0.0013,0.0,0.0,-0.3607,0.117,0.2591,0.1001,0.0178
2.24,0,sobe,-0.0506,0.0237,-0.0491,0.25,0.0,0.0433,0.0013,0.0,0.0,-0.3366,0.1235,0.268,0.15,0.0358
2.26,0,sobe,-0.0506,0.0237,-0.0491,0.25,0.0,0.0433,0.0013,0.0,0.0,-0.3366,0.1235,0.268,0.15,0.0358
2.28,0,sobe,-0.0436,0.0237,-0.0511,0.25,0.0,0.0566,-0.0027,0.0,0.0,-0.3366,0.1235,0.268,0.15,0.0358
2.3,0,sobe,-0.0436,0.0237,-0.0511,0.25,0.0,0.056,-0.0092,0.0,0.0,-0.3366,0.1235,0.268,0.15,0.0357
2.32,0,sobe,-0.0436,0.0237,-0.0511,0.25,0.0,0.0553,-0.0095,0.0,0.0,-0.3366,0.1235,0.268,0.1562,0.0372
2.34,0,sobe,-0.0436,0.0237,-0.0511,0.25,0.0,0.0553,-0.0095,0.0,0.0,-0.3125,0.1302,0.2762,0.2083,0.0542
2.36,0,sobe,-0.0436,0.0237,-0.0511,0.25,0.0,0.0574,-0.0088,0.0,0.0,-0.3125,0.1302,0.2762,0.2082,0.0541
2.38,0,sobe,-0.0237,0.0197,-0.0493,0.25,0.0,0.0996,-0.0051,0.0,0.0,-0.3125,0.1302,0.2762,0.2082,0.0541
2.4,0,sobe,-0.0237,0.0197,-0.0493,0.25,0.0,0.0996,-0.0051,0.0,0.0,-0.3125,0.1302,0.2762,0.2083,0.0542
2.42,0,sobe,-0.0237,0.0197,-0.0493,0.25,0.0,0.0997,-0.0051,0.0,0.0,-0.3125,0.1302,0.2762,0.2083,0.0542
2.44,0,sobe,-0.0237,0.0197,-0.0493,0.25,0.0,0.0957,-0.0049,0.0,0.0,-0.3125,0.1302,0.2762,0.2,0.052
2.46,0,sobe,-0.0237,0.0197,-0.0493,0.25,0.0,0.0883,-0.0031,0.0,0.0,-0.2885,0.1371,0.2874,0.2604,0.0776
2.48,0,sobe,-0.0041,0.0145,-0.0553,0.25,0.0,0.1249,-0.015,0.0,0.0,-0.2885,0.1371,0.2874,0.25,0.0745
2.5,0,sobe,-0.0041,0.0145,-0.0553,0.25,0.0,0.1249,-0.015,0.0,0.0,-0.2885,0.1371,0.2874,0.25,0.0745
2.52,0,sobe,-0.0041,0.0145,-0.0553,0.25,0.0,0.1249,-0.015,0.0,0.0,-0.2885,0.1371,0.2874,0.25,0.0745
