t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0477,0.0417,-0.0555,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.0477,0.0417,-0.0555,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.0499,0.0427,-0.0574,0.0,0.0,0.0603,-0.0481,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.0499,0.0427,-0.0574,0.0,0.0,0.0402,-0.032,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.0499,0.0427,-0.0574,0.0,0.0,0.0302,-0.024,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.0499,0.0427,-0.0574,0.0,0.0,0.0241,-0.0192,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.0499,0.0427,-0.0574,0.0,0.0,0.0201,-0.016,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.14,0,sobe,-0.0526,0.0431,-0.0552,0.0,0.0,0.0363,0.0025,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.16,0,sobe,-0.0526,0.0431,-0.0552,0.0,0.0,0.0318,0.0022,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.18,0,sobe,-0.0526,0.0431,-0.0552,0.0,0.0,0.0283,0.0019,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.2,0,sobe,-0.0526,0.0431,-0.0552,0.0,0.0,0.0254,0.0018,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.22,0,sobe,-0.0526,0.0431,-0.0552,0.0,0.0,0.0231,0.0016,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.24,0,sobe,-0.0526,0.0454,-0.0574,0.0,0.0,0.0255,-0.0081,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.26,0,sobe,-0.0526,0.0454,-0.0574,0.0,0.0,0.0235,-0.0074,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.28,0,sobe,-0.0526,0.0454,-0.0574,0.0,0.0,0.0218,-0.0069,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.3,0,sobe,-0.0526,0.0454,-0.0574,0.0,0.0,0.0204,-0.0064,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.32,0,sobe,-0.0526,0.0454,-0.0574,0.0,0.0,0.0191,-0.006,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.34,0,sobe,-0.0508,0.0455,-0.0583,0.0,0.0,0.0146,-0.0081,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.36,0,sobe,-0.0508,0.0455,-0.0583,0.0,0.0,0.0137,-0.0077,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.38,0,sobe,-0.0508,0.0455,-0.0583,0.0,0.0,0.013,-0.0073,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.4,0,sobe,-0.0508,0.0455,-0.0583,0.0,0.0,0.0124,-0.0069,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.42,0,sobe,-0.0508,0.0455,-0.0583,0.0,0.0,0.0118,-0.0066,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.44,0,sobe,-0.0508,0.0455,-0.0583,0.0,0.0,0.0112,-0.0063,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.46,0,sobe,-0.0526,0.0466,-0.0574,0.0,0.0,0.0151,-0.0041,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.48,0,sobe,-0.0526,0.0466,-0.0574,0.0,0.0,0.0145,-0.0039,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.5,0,sobe,-0.0526,0.0466,-0.0574,0.0,0.0,0.0145,-0.0039,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.52,0,sobe,-0.0526,0.0466,-0.0574,0.0,0.0,0.0139,-0.0038,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.54,0,sobe,-0.0556,0.0481,-0.0564,0.0,0.0,0.0158,0.0021,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.56,0,sobe,-0.0556,0.0481,-0.0564,0.0,0.0,0.0158,0.0021,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.58,0,sobe,-0.0556,0.0481,-0.0564,0.0,0.0,0.0158,0.0021,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.6,0,sobe,-0.0556,0.0481,-0.0564,0.0,0.0,0.0164,0.0022,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.62,0,sobe,-0.0556,0.0481,-0.0564,0.0,0.0,0.0122,-0.0026,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.64,0,sobe,-0.0556,0.0418,-0.0588,0.0,0.0,0.0066,-0.0072,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.66,0,sobe,-0.0556,0.0418,-0.0588,0.0,0.0,0.0066,-0.0072,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.68,0,sobe,-0.0556,0.0418,-0.0588,0.0,0.0,0.0069,-0.0075,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.7,0,sobe,-0.0556,0.0418,-0.0588,0.0,0.0,0.0069,-0.0075,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.72,0,sobe,-0.0556,0.0418,-0.0588,0.0,0.0,0.0098,-0.0027,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.74,0,sobe,-0.0556,0.0418,-0.0588,0.0,0.0,0.0098,-0.0027,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.76,0,sobe,-0.0598,0.0393,-0.0587,0.0,0.0,0.0189,-0.0026,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.78,0,sobe,-0.0598,0.0393,-0.0587,0.0,0.0,0.0197,-0.0027,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.8,0,sobe,-0.0598,0.0393,-0.0587,0.0,0.0,0.0197,-0.0027,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.82,0,sobe,-0.0598,0.0393,-0.0587,0.0,0.0,0.0227,-0.001,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.84,0,sobe,-0.0609,0.0427,-0.0601,0.0,0.0,0.0209,-0.0036,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.86,0,sobe,-0.0609,0.0427,-0.0601,0.0,0.0,0.0218,-0.0037,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.88,0,sobe,-0.0609,0.0427,-0.0601,0.0,0.0,0.0209,-0.0036,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.9,0,sobe,-0.0609,0.0427,-0.0601,0.0,0.0,0.0209,-0.0036,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.92,0,sobe,-0.0609,0.0427,-0.0601,0.0,0.0,0.0209,-0.0036,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.94,0,sobe,-0.058,0.0391,-0.0564,0.0,0.0,0.0192,0.0038,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.96,0,sobe,-0.058,0.0391,-0.0564,0.0,0.0,0.0185,0.0021,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
0.98,0,sobe,-0.058,0.0391,-0.0564,0.0,0.0,0.0185,0.0021,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.0,0,sobe,-0.058,0.0391,-0.0564,0.0,0.0,0.0185,0.0021,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.02,0,sobe,-0.058,0.0391,-0.0564,0.0,0.0,0.0194,0.0001,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.04,0,sobe,-0.0578,0.043,-0.0572,0.0,0.0,0.0111,-0.0017,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.06,0,sobe,-0.0578,0.043,-0.0572,0.0,0.0,0.0116,-0.0017,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.08,0,sobe,-0.0578,0.043,-0.0572,0.0,0.0,0.0116,-0.0017,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.1,0,sobe,-0.0578,0.043,-0.0572,0.0,0.0,0.0116,-0.0017,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.12,0,sobe,-0.0578,0.043,-0.0572,0.0,0.0,0.0051,0.0032,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.14,0,sobe,-0.0578,0.043,-0.0572,0.0,0.0,0.0051,0.0032,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.16,0,sobe,-0.0578,0.043,-0.0572,0.0,0.0,0.0051,0.0032,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.18,0,sobe,-0.058,0.0425,-0.0551,0.0,0.0,0.0052,0.0077,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.2,0,sobe,-0.058,0.0425,-0.0551,0.0,0.0,0.005,0.0074,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.22,0,sobe,-0.058,0.0425,-0.0551,0.0,0.0,0.005,0.0074,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.24,0,sobe,-0.058,0.0425,-0.0551,0.0,0.0,0.005,0.0074,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.26,0,sobe,-0.0599,0.0422,-0.0577,0.0,0.0,0.006,0.0022,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.28,0,sobe,-0.0599,0.0422,-0.0577,0.0,0.0,0.0058,0.0021,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.3,0,sobe,-0.0599,0.0422,-0.0577,0.0,0.0,0.006,0.0022,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
1.32,0,sobe,-0.0599,0.0422,-0.0577,0.0,0.0,0.0022,0.005,0.0,0.0,0.4399,0.8736,1.1948,0.0,0.0
