t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0771,0.0408,-0.0537,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.0771,0.0408,-0.0537,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.0771,0.0408,-0.0537,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.0771,0.0408,-0.0537,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.0776,0.0376,-0.0547,0.0,0.0,0.0405,-0.0127,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.0776,0.0376,-0.0547,0.0,0.0,0.0324,-0.0102,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.0776,0.0376,-0.0547,0.0,0.0,0.027,-0.0085,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,-0.0776,0.0376,-0.0547,0.0,0.0,0.0231,-0.0073,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,-0.0776,0.0376,-0.0547,0.0,0.0,0.0202,-0.0063,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,-0.0744,0.038,-0.0527,0.0,0.0,0.0217,0.0057,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,-0.0744,0.038,-0.0527,0.0,0.0,0.0195,0.0051,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,-0.0744,0.038,-0.0527,0.0,0.0,0.0177,0.0047,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,-0.0744,0.038,-0.0527,0.0,0.0,0.0163,0.0043,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,-0.0744,0.038,-0.0527,0.0,0.0,0.015,0.004,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,-0.0727,0.0371,-0.0498,0.0,0.0,0.0206,0.0141,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,-0.0727,0.0371,-0.0498,0.0,0.0,0.0192,0.0132,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,-0.0727,0.0371,-0.0498,0.0,0.0,0.018,0.0124,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,-0.0727,0.0371,-0.0498,0.0,0.0,0.017,0.0116,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.36,0,sobe,-0.0727,0.0371,-0.0498,0.0,0.0,0.016,0.011,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.38,0,sobe,-0.0721,0.0364,-0.0545,0.0,0.0,0.0178,-0.002,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.4,0,sobe,-0.0721,0.0364,-0.0545,0.0,0.0,0.0169,-0.0019,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.42,0,sobe,-0.0721,0.0364,-0.0545,0.0,0.0,0.0161,-0.0018,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.44,0,sobe,-0.0721,0.0364,-0.0545,0.0,0.0,0.0153,-0.0018,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.46,0,sobe,-0.0721,0.0364,-0.0545,0.0,0.0,0.0147,-0.0017,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.48,0,sobe,-0.0726,0.0373,-0.0502,0.0,0.0,0.0118,0.0074,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.5,0,sobe,-0.0726,0.0373,-0.0502,0.0,0.0,0.0114,0.0071,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.52,0,sobe,-0.0726,0.0373,-0.0502,0.0,0.0,0.0118,0.0074,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.54,0,sobe,-0.0726,0.0373,-0.0502,0.0,0.0,0.0118,0.0074,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.56,0,sobe,-0.0726,0.0373,-0.0502,0.0,0.0,0.0104,0.0095,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.58,0,sobe,-0.0726,0.0373,-0.0502,0.0,0.0,0.0104,0.0095,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.6,0,sobe,-0.0766,0.0361,-0.053,0.0,0.0,0.0038,0.0037,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.62,0,sobe,-0.0766,0.0361,-0.053,0.0,0.0,0.0036,0.0035,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.64,0,sobe,-0.0766,0.0361,-0.053,0.0,0.0,0.0036,0.0035,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.66,0,sobe,-0.0707,0.0388,-0.0518,0.0,0.0,0.014,0.0059,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.68,0,sobe,-0.0707,0.0388,-0.0518,0.0,0.0,0.0074,0.0018,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.7,0,sobe,-0.0707,0.0388,-0.0518,0.0,0.0,0.0078,0.0019,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.72,0,sobe,-0.0707,0.0388,-0.0518,0.0,0.0,0.0078,0.0019,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.74,0,sobe,-0.0707,0.0388,-0.0518,0.0,0.0,0.0078,0.0019,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.761,0,sobe,-0.0707,0.0388,-0.0518,0.0,0.0,0.0056,-0.0042,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
0.781,0,sobe,-0.0707,0.0388,-0.0518,0.0,0.0,0.0056,-0.0042,0.0,0.0,0.338,2.0164,2.1132,0.0,0.0
