t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0763,0.0163,-0.0469,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.0765,0.0222,-0.0496,0.0,0.0,0.2992,-0.1363,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.0765,0.0222,-0.0496,0.0,0.0,0.1486,-0.0677,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.0765,0.0222,-0.0496,0.0,0.0,0.099,-0.0451,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.0777,0.0224,-0.0501,0.0,0.0,0.0779,-0.0399,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.0777,0.0224,-0.0501,0.0,0.0,0.0623,-0.0319,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.0777,0.0224,-0.0501,0.0,0.0,0.0519,-0.0265,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,-0.0777,0.0224,-0.0501,0.0,0.0,0.0444,-0.0227,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,-0.0777,0.0224,-0.0501,0.0,0.0,0.0389,-0.0199,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,-0.0765,0.0242,-0.048,0.0,0.0,0.044,-0.0059,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,-0.0765,0.0242,-0.048,0.0,0.0,0.0396,-0.0053,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,-0.0765,0.0242,-0.048,0.0,0.0,0.036,-0.0048,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,-0.0765,0.0242,-0.048,0.0,0.0,0.033,-0.0044,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,-0.0765,0.0242,-0.048,0.0,0.0,0.0305,-0.0041,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,-0.0765,0.0242,-0.048,0.0,0.0,0.0283,-0.0038,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,-0.074,0.0188,-0.0491,0.0,0.0,0.0113,-0.0073,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,-0.074,0.0188,-0.0491,0.0,0.0,0.0106,-0.0069,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,-0.074,0.0188,-0.0491,0.0,0.0,0.0099,-0.0065,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,-0.074,0.0188,-0.0491,0.0,0.0,0.0094,-0.0061,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,-0.0745,0.018,-0.0495,0.0,0.0,0.0065,-0.0069,0.0,0.0,,,,0.0,0.0
