t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.0576,0.0067,-0.0406,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,-0.0576,0.0067,-0.0406,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,-0.0576,0.0067,-0.0406,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,-0.0576,0.0067,-0.0406,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,-0.0576,0.0067,-0.0406,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,-0.0559,0.0074,-0.0388,0.0,0.0,0.018,0.018,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,-0.0559,0.0074,-0.0388,0.0,0.0,0.0151,0.015,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,-0.0559,0.0074,-0.0388,0.0,0.0,0.0129,0.0129,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.16,0,sobe,-0.0559,0.0074,-0.0388,0.0,0.0,0.0113,0.0113,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.18,0,sobe,-0.0534,0.0101,-0.0355,0.0,0.0,0.03,0.0286,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.2,0,sobe,-0.0534,0.0101,-0.0355,0.0,0.0,0.027,0.0257,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.22,0,sobe,-0.0534,0.0101,-0.0355,0.0,0.0,0.0245,0.0234,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.24,0,sobe,-0.0534,0.0101,-0.0355,0.0,0.0,0.0225,0.0214,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.26,0,sobe,-0.0534,0.0101,-0.0355,0.0,0.0,0.0207,0.0198,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.28,0,sobe,-0.0534,0.0101,-0.0355,0.0,0.0,0.0193,0.0184,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.3,0,sobe,-0.0508,0.0145,-0.0361,0.0,0.0,0.0343,0.0152,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.32,0,sobe,-0.0508,0.0145,-0.0361,0.0,0.0,0.0322,0.0143,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.34,0,sobe,-0.0508,0.0145,-0.0361,0.0,0.0,0.0303,0.0134,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.36,0,sobe,-0.0508,0.0145,-0.0361,0.0,0.0,0.0286,0.0127,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.38,0,sobe,-0.0529,0.0115,-0.0398,0.0,0.0,0.0176,0.0021,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.4,0,sobe,-0.0529,0.0115,-0.0398,0.0,0.0,0.0168,0.002,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.42,0,sobe,-0.0529,0.0115,-0.0398,0.0,0.0,0.016,0.0019,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.44,0,sobe,-0.0529,0.0115,-0.0398,0.0,0.0,0.0152,0.0018,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.46,0,sobe,-0.0529,0.0115,-0.0398,0.0,0.0,0.0146,0.0017,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.48,0,sobe,-0.0529,0.0115,-0.0398,0.0,0.0,0.014,0.0017,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.5,0,sobe,-0.0515,0.0109,-0.0413,0.0,0.0,0.0154,-0.0014,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.52,0,sobe,-0.0515,0.0109,-0.0413,0.0,0.0,0.0154,-0.0014,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.54,0,sobe,-0.0515,0.0109,-0.0413,0.0,0.0,0.0148,-0.0013,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.56,0,sobe,-0.0515,0.0109,-0.0413,0.0,0.0,0.0148,-0.0013,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.58,0,sobe,-0.052,0.0094,-0.0371,0.0,0.0,0.0124,0.007,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.6,0,sobe,-0.052,0.0094,-0.0371,0.0,0.0,0.0088,0.0034,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.62,0,sobe,-0.052,0.0094,-0.0371,0.0,0.0,0.0091,0.0036,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.64,0,sobe,-0.052,0.0094,-0.0371,0.0,0.0,0.0091,0.0036,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.66,0,sobe,-0.052,0.0094,-0.0371,0.0,0.0,0.0031,-0.0034,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.68,0,sobe,-0.052,0.0094,-0.0371,0.0,0.0,0.0031,-0.0034,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.7,0,sobe,-0.0554,0.0096,-0.0412,0.0,0.0,0.0042,-0.012,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.72,0,sobe,-0.0554,0.0096,-0.0412,0.0,0.0,0.0041,-0.0115,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
0.74,0,sobe,-0.0554,0.0096,-0.0412,0.0,0.0,0.0041,-0.0115,0.0,0.0,-0.7339,2.0885,-2.3702,0.0,0.0
