t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.9843,-0.3046,-0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0,sobe,0.9843,-0.3046,-0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0,sobe,0.9843,-0.3046,-0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0,sobe,0.9843,-0.3046,-0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0,sobe,0.9843,-0.3046,-0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,sobe,0.9843,-0.3046,-0.0785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0,sobe,0.9834,-0.304,-0.072,0.0,0.0,0.009,0.0544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0,sobe,0.9834,-0.304,-0.072,0.0,0.0,0.0078,0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0,sobe,0.9834,-0.304,-0.072,0.0,0.0,0.0068,0.0409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0,sobe,0.9847,-0.3008,-0.078,0.0,0.0,0.0209,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,sobe,0.9847,-0.3008,-0.078,0.0,0.0,0.0188,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0,sobe,0.9847,-0.3008,-0.078,0.0,0.0,0.0171,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0,sobe,0.9847,-0.3008,-0.078,0.0,0.0,0.0157,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0,sobe,0.9847,-0.3008,-0.078,0.0,0.0,0.0145,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0,sobe,0.9828,-0.3001,-0.0784,0.0,0.0,0.017,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,sobe,0.9828,-0.3001,-0.0784,0.0,0.0,0.0159,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0,sobe,0.9828,-0.3001,-0.0784,0.0,0.0,0.0149,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0,sobe,0.9828,-0.3001,-0.0784,0.0,0.0,0.014,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0,sobe,0.9828,-0.3001,-0.0784,0.0,0.0,0.0132,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0,sobe,0.9828,-0.3001,-0.0784,0.0,0.0,0.0125,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,sobe,0.9828,-0.3001,-0.0784,0.0,0.0,0.0119,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0,sobe,0.9855,-0.3027,-0.0769,0.0,0.0,0.0052,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0,sobe,0.9855,-0.3027,-0.0769,0.0,0.0,0.0049,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0,sobe,0.9855,-0.3027,-0.0769,0.0,0.0,0.0047,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0,sobe,0.9855,-0.3027,-0.0769,0.0,0.0,0.0045,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
