t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.4142,0.0385,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.02,0,sobe,0.4142,0.0385,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.04,0,sobe,0.4142,0.0385,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.06,0,sobe,0.4142,0.0385,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.08,0,sobe,0.4142,0.0385,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.101,0,sobe,0.4142,0.0385,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.12,0,sobe,0.4142,0.0385,-0.0262,0.0,0.0,0.0,0.0,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.14,0,sobe,0.4162,0.04,-0.0218,0.0,0.0,0.0184,0.031,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.16,0,sobe,0.4162,0.04,-0.0218,0.0,0.0,0.0161,0.0272,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.18,0,sobe,0.4162,0.04,-0.0218,0.0,0.0,0.0144,0.0242,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.2,0,sobe,0.4193,0.0368,-0.0259,0.0,0.0,0.0268,0.0014,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.22,0,sobe,0.4193,0.0368,-0.0259,0.0,0.0,0.0244,0.0013,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.24,0,sobe,0.4193,0.0368,-0.0259,0.0,0.0,0.0223,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.26,0,sobe,0.4193,0.0368,-0.0259,0.0,0.0,0.0206,0.0011,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.28,0,sobe,0.4193,0.0368,-0.0259,0.0,0.0,0.0192,0.001,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.3,0,sobe,0.4193,0.0368,-0.0259,0.0,0.0,0.0179,0.001,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.32,0,sobe,0.4224,0.0349,-0.0221,0.0,0.0,0.0278,0.0128,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.34,0,sobe,0.4224,0.0349,-0.0221,0.0,0.0,0.0262,0.012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.36,0,sobe,0.4224,0.0349,-0.0221,0.0,0.0,0.0248,0.0113,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.38,0,sobe,0.4224,0.0349,-0.0221,0.0,0.0,0.0235,0.0107,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.4,0,sobe,0.423,0.0337,-0.0274,0.0,0.0,0.0249,-0.0029,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.42,0,sobe,0.423,0.0337,-0.0274,0.0,0.0,0.0238,-0.0028,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.44,0,sobe,0.423,0.0337,-0.0274,0.0,0.0,0.0227,-0.0027,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.46,0,sobe,0.423,0.0337,-0.0274,0.0,0.0,0.0217,-0.0025,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.795,0,sobe,0.423,0.0337,-0.0274,0.0,0.0,0.0097,-0.0029,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.8,0,sobe,0.4262,0.0315,-0.0268,0.0,0.0,0.0174,-0.0018,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.82,0,sobe,0.4262,0.0315,-0.0268,0.0,0.0,0.0102,-0.0094,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.84,0,sobe,0.4262,0.0315,-0.0268,0.0,0.0,0.0106,-0.0098,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.86,0,sobe,0.4262,0.0315,-0.0268,0.0,0.0,0.0106,-0.0098,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.88,0,sobe,0.4262,0.0315,-0.0268,0.0,0.0,0.0081,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.9,0,sobe,0.4262,0.0315,-0.0268,0.0,0.0,0.0081,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.92,0,sobe,0.4262,0.0315,-0.0268,0.0,0.0,0.0081,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.94,0,sobe,0.4218,0.0301,-0.0261,0.0,0.0,0.0079,0.0027,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.96,0,sobe,0.4218,0.0301,-0.0261,0.0,0.0,0.0229,0.0079,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
0.98,0,sobe,0.4218,0.0301,-0.0261,0.0,0.0,0.0204,0.007,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.0,0,sobe,0.4206,0.0287,-0.026,0.0,0.0,0.0269,0.0065,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.02,0,sobe,0.4206,0.0287,-0.026,0.0,0.0,0.0245,0.0059,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.04,0,sobe,0.4206,0.0287,-0.026,0.0,0.0,0.0225,0.0054,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.06,0,sobe,0.4206,0.0287,-0.026,0.0,0.0,0.0208,0.005,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.08,0,sobe,0.4206,0.0287,-0.026,0.0,0.0,0.0193,0.0047,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.1,0,sobe,0.4206,0.0287,-0.026,0.0,0.0,0.0181,0.0043,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.12,0,sobe,0.4206,0.0287,-0.026,0.0,0.0,0.017,0.0041,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.14,0,sobe,0.4192,0.0323,-0.026,0.0,0.0,0.0117,0.004,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.16,0,sobe,0.4192,0.0323,-0.026,0.0,0.0,0.011,0.0037,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.18,0,sobe,0.4192,0.0323,-0.026,0.0,0.0,0.0105,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.2,0,sobe,0.4192,0.0323,-0.026,0.0,0.0,0.01,0.0034,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.22,0,sobe,0.4217,0.0324,-0.0265,0.0,0.0,0.0043,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.24,0,sobe,0.4217,0.0324,-0.0265,0.0,0.0,0.0041,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.26,0,sobe,0.4217,0.0324,-0.0265,0.0,0.0,0.0039,0.002,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.28,0,sobe,0.4217,0.0324,-0.0265,0.0,0.0,0.0038,0.0019,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.3,0,sobe,0.4211,0.035,-0.0257,0.0,0.0,0.0129,0.0022,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.32,0,sobe,0.4211,0.035,-0.0257,0.0,0.0,0.0123,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.34,0,sobe,0.4211,0.035,-0.0257,0.0,0.0,0.0123,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.36,0,sobe,0.4211,0.035,-0.0257,0.0,0.0,0.0123,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.38,0,sobe,0.4211,0.035,-0.0257,0.0,0.0,0.0123,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.4,0,sobe,0.4185,0.0385,-0.0254,0.0,0.0,0.0208,0.0027,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.42,0,sobe,0.4185,0.0385,-0.0254,0.0,0.0,0.0208,0.0027,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.44,0,sobe,0.4185,0.0385,-0.0254,0.0,0.0,0.018,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.46,0,sobe,0.4185,0.0385,-0.0254,0.0,0.0,0.0188,0.0013,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.48,0,sobe,0.4185,0.0385,-0.0254,0.0,0.0,0.0209,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.5,0,sobe,0.4185,0.0385,-0.0254,0.0,0.0,0.0209,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.52,0,sobe,0.4185,0.0385,-0.0254,0.0,0.0,0.0209,0.0012,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.54,0,sobe,0.414,0.0372,-0.0282,0.0,0.0,0.0224,-0.0046,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.56,0,sobe,0.414,0.0372,-0.0282,0.0,0.0,0.0215,-0.0044,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.58,0,sobe,0.414,0.0372,-0.0282,0.0,0.0,0.0215,-0.0044,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.6,0,sobe,0.4156,0.037,-0.0242,0.0,0.0,0.0194,0.0037,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.62,0,sobe,0.4156,0.037,-0.0242,0.0,0.0,0.0194,0.0037,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.64,0,sobe,0.4156,0.037,-0.0242,0.0,0.0,0.0117,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.66,0,sobe,0.4156,0.037,-0.0242,0.0,0.0,0.0117,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.68,0,sobe,0.4156,0.037,-0.0242,0.0,0.0,0.0117,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.7,0,sobe,0.4155,0.0367,-0.0247,0.0,0.0,0.0114,0.0027,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.72,0,sobe,0.4155,0.0367,-0.0247,0.0,0.0,0.0149,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.74,0,sobe,0.4155,0.0367,-0.0247,0.0,0.0,0.0149,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.76,0,sobe,0.4155,0.0367,-0.0247,0.0,0.0,0.0149,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.78,0,sobe,0.4155,0.0367,-0.0247,0.0,0.0,0.0149,0.0036,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.8,0,sobe,0.4155,0.0371,-0.0242,0.0,0.0,0.0121,0.0031,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.82,0,sobe,0.4155,0.0371,-0.0242,0.0,0.0,0.0121,0.0031,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.84,0,sobe,0.4155,0.0371,-0.0242,0.0,0.0,0.0121,0.0031,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.86,0,sobe,0.4155,0.0371,-0.0242,0.0,0.0,0.0121,0.0031,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.88,0,sobe,0.4155,0.0371,-0.0242,0.0,0.0,0.0121,0.0031,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.9,0,sobe,0.4155,0.0371,-0.0242,0.0,0.0,0.007,0.0027,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.92,0,sobe,0.4153,0.0393,-0.0277,0.0,0.0,0.0069,-0.0047,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.94,0,sobe,0.4153,0.0393,-0.0277,0.0,0.0,0.0069,-0.0047,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.96,0,sobe,0.4153,0.0393,-0.0277,0.0,0.0,0.0067,-0.0045,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
1.98,0,sobe,0.4153,0.0393,-0.0277,0.0,0.0,0.0067,-0.0045,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
2.0,0,sobe,0.4169,0.0395,-0.0244,0.25,0.0,0.0039,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
2.02,0,sobe,0.4169,0.0395,-0.0244,0.25,0.0,0.0039,0.0021,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
2.04,0,sobe,0.4169,0.0395,-0.0244,0.25,0.0,0.0074,0.0077,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
2.06,0,sobe,0.4169,0.0395,-0.0244,0.25,0.0,0.0077,0.008,0.0,0.0,1.1501,0.0,0.0,0.0,0.0
2.08,0,sobe,0.4169,0.0395,-0.0244,0.25,0.0,0.0058,-0.0005,0.0,0.0,1.1751,0.0,0.0,0.0521,0.0
2.1,0,sobe,0.4169,0.0395,-0.0244,0.25,0.0,0.0058,-0.0005,0.0,0.0,1.1751,0.0,0.0,0.0521,0.0
2.121,0,sobe,0.4169,0.0395,-0.0244,0.25,0.0,0.0058,-0.0005,0.0,0.0,1.1751,0.0,0.0,0.0521,0.0
2.14,0,sobe,0.4158,0.0401,-0.027,0.25,0.0,0.0064,-0.0058,0.0,0.0,1.1751,0.0,0.0,0.0521,0.0
2.16,0,sobe,0.4158,0.0401,-0.027,0.25,0.0,0.0064,-0.0058,0.0,0.0,1.1751,0.0,0.0,0.0522,0.0
2.18,0,sobe,0.4158,0.0401,-0.027,0.25,0.0,0.0071,-0.0048,0.0,0.0,1.2001,0.0,0.0,0.1041,0.0
2.2,0,sobe,0.422,0.0364,-0.0224,0.25,0.0,0.0135,0.0046,0.0,0.0,1.2001,0.0,0.0,0.1042,0.0
2.22,0,sobe,0.422,0.0364,-0.0224,0.25,0.0,0.0135,0.0046,0.0,0.0,1.2001,0.0,0.0,0.1042,0.0
2.24,0,sobe,0.422,0.0364,-0.0224,0.25,0.0,0.0135,0.0046,0.0,0.0,1.2001,0.0,0.0,0.1041,0.0
2.26,0,sobe,0.422,0.0364,-0.0224,0.25,0.0,0.0135,0.0046,0.0,0.0,1.2001,0.0,0.0,0.1041,0.0
2.28,0,sobe,0.422,0.0364,-0.0224,0.25,0.0,0.0136,0.0036,0.0,0.0,1.225,0.0,0.0,0.1562,0.0
2.3,0,sobe,0.4254,0.0341,-0.0258,0.25,0.0,0.0217,-0.0033,0.0,0.0,1.225,0.0,0.0,0.1562,0.0
2.32,0,sobe,0.4254,0.0341,-0.0258,0.25,0.0,0.0208,-0.0032,0.0,0.0,1.225,0.0,0.0,0.15,0.0
2.34,0,sobe,0.4254,0.0341,-0.0258,0.25,0.0,0.0217,-0.0033,0.0,0.0,1.225,0.0,0.0,0.1562,0.0
2.36,0,sobe,0.4254,0.0341,-0.0258,0.25,0.0,0.0208,-0.0032,0.0,0.0,1.225,0.0,0.0,0.15,0.0
2.38,0,sobe,0.4254,0.0341,-0.0258,0.25,0.0,0.0217,-0.0033,0.0,0.0,1.25,0.0,0.0,0.2084,0.0
2.4,0,sobe,0.4351,0.0328,-0.03,0.25,0.0,0.0402,-0.0117,0.0,0.0,1.25,0.0,0.0,0.2,0.0
