t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3944,0.0396,-0.0454,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.3944,0.0396,-0.0454,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.3944,0.0396,-0.0454,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.3913,0.0416,-0.0457,0.0,0.0,0.0616,-0.0066,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.3913,0.0416,-0.0457,0.0,0.0,0.0462,-0.005,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.3913,0.0416,-0.0457,0.0,0.0,0.0369,-0.004,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.3913,0.0416,-0.0457,0.0,0.0,0.0308,-0.0033,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.3913,0.0416,-0.0457,0.0,0.0,0.0264,-0.0028,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.3872,0.0437,-0.0415,0.0,0.0,0.0516,0.0239,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,0.3872,0.0437,-0.0415,0.0,0.0,0.0459,0.0213,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,0.3872,0.0437,-0.0415,0.0,0.0,0.0413,0.0192,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,0.3872,0.0437,-0.0415,0.0,0.0,0.0375,0.0174,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,0.3872,0.0437,-0.0415,0.0,0.0,0.0344,0.016,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,0.3924,0.0458,-0.0381,0.0,0.0,0.0248,0.028,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,0.3924,0.0458,-0.0381,0.0,0.0,0.023,0.026,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,0.3924,0.0458,-0.0381,0.0,0.0,0.0215,0.0243,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,0.3924,0.0458,-0.0381,0.0,0.0,0.0202,0.0227,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,0.3924,0.0458,-0.0381,0.0,0.0,0.019,0.0214,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,0.393,0.0432,-0.0401,0.0,0.0,0.0107,0.0145,0.0,0.0,,,,0.0,0.0
