t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3922,0.0269,-0.052,0.0,0.0,0.0,0.0,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.02,0,sobe,0.3922,0.0269,-0.052,0.0,0.0,0.0,0.0,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.04,0,sobe,0.3922,0.0269,-0.052,0.0,0.0,0.0,0.0,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.06,0,sobe,0.3903,0.0274,-0.0524,0.0,0.0,0.032,-0.0062,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.08,0,sobe,0.3903,0.0274,-0.0524,0.0,0.0,0.024,-0.0046,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.1,0,sobe,0.3903,0.0274,-0.0524,0.0,0.0,0.0192,-0.0037,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.12,0,sobe,0.3903,0.0274,-0.0524,0.0,0.0,0.016,-0.0031,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.14,0,sobe,0.3927,0.0289,-0.0543,0.0,0.0,0.0148,-0.0167,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.16,0,sobe,0.3927,0.0289,-0.0543,0.0,0.0,0.013,-0.0146,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.18,0,sobe,0.3927,0.0289,-0.0543,0.0,0.0,0.0115,-0.013,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.2,0,sobe,0.3927,0.0289,-0.0543,0.0,0.0,0.0104,-0.0117,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.22,0,sobe,0.3927,0.0289,-0.0543,0.0,0.0,0.0094,-0.0106,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.24,0,sobe,0.3863,0.0276,-0.0572,0.0,0.0,0.0246,-0.0217,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.26,0,sobe,0.3863,0.0276,-0.0572,0.0,0.0,0.0227,-0.02,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.28,0,sobe,0.3863,0.0276,-0.0572,0.0,0.0,0.0211,-0.0186,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.3,0,sobe,0.3863,0.0276,-0.0572,0.0,0.0,0.0196,-0.0173,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.32,0,sobe,0.3863,0.0276,-0.0572,0.0,0.0,0.0184,-0.0162,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.34,0,sobe,0.3863,0.0276,-0.0572,0.0,0.0,0.0173,-0.0153,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.36,0,sobe,0.3841,0.0303,-0.0571,0.0,0.0,0.0244,-0.014,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.38,0,sobe,0.3841,0.0303,-0.0571,0.0,0.0,0.0231,-0.0133,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.4,0,sobe,0.3841,0.0303,-0.0571,0.0,0.0,0.0219,-0.0126,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.42,0,sobe,0.38,0.0307,-0.0576,0.0,0.0,0.0304,-0.0134,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.44,0,sobe,0.38,0.0307,-0.0576,0.0,0.0,0.029,-0.0128,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.46,0,sobe,0.38,0.0307,-0.0576,0.0,0.0,0.0278,-0.0122,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.48,0,sobe,0.38,0.0307,-0.0576,0.0,0.0,0.0266,-0.0117,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.5,0,sobe,0.38,0.0307,-0.0576,0.0,0.0,0.0256,-0.0112,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
0.52,0,sobe,0.3819,0.0346,-0.0556,0.0,0.0,0.0258,-0.0071,0.0,0.0,4.5751,0.0,0.0,0.0,0.0
