t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.4013,0.0243,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.4013,0.0243,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.4013,0.0243,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.4013,0.0243,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.4013,0.0243,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.4013,0.0243,-0.0334,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.4034,0.0207,-0.0341,0.0,0.0,0.0351,-0.0053,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.4034,0.0207,-0.0341,0.0,0.0,0.0301,-0.0046,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.4034,0.0207,-0.0341,0.0,0.0,0.0264,-0.004,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.18,0,sobe,0.4034,0.0207,-0.0341,0.0,0.0,0.0234,-0.0035,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.2,0,sobe,0.4034,0.0207,-0.0341,0.0,0.0,0.0211,-0.0032,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.22,0,sobe,0.4069,0.0163,-0.0338,0.0,0.0,0.0444,-0.0018,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.24,0,sobe,0.4069,0.0163,-0.0338,0.0,0.0,0.0407,-0.0016,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.26,0,sobe,0.4069,0.0163,-0.0338,0.0,0.0,0.0376,-0.0015,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.28,0,sobe,0.4069,0.0163,-0.0338,0.0,0.0,0.0349,-0.0014,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.3,0,sobe,0.409,0.0122,-0.0366,0.0,0.0,0.0479,-0.0107,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.32,0,sobe,0.409,0.0122,-0.0366,0.0,0.0,0.0449,-0.01,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.34,0,sobe,0.409,0.0122,-0.0366,0.0,0.0,0.0422,-0.0094,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.36,0,sobe,0.409,0.0122,-0.0366,0.0,0.0,0.0399,-0.0089,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.38,0,sobe,0.409,0.0122,-0.0366,0.0,0.0,0.0378,-0.0084,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.4,0,sobe,0.4112,0.0115,-0.0356,0.0,0.0,0.0404,-0.0053,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.42,0,sobe,0.4112,0.0115,-0.0356,0.0,0.0,0.0385,-0.0051,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.44,0,sobe,0.4112,0.0115,-0.0356,0.0,0.0,0.0368,-0.0049,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.46,0,sobe,0.4112,0.0115,-0.0356,0.0,0.0,0.0352,-0.0046,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.48,0,sobe,0.4112,0.0115,-0.0356,0.0,0.0,0.0337,-0.0044,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.5,0,sobe,0.4112,0.0115,-0.0356,0.0,0.0,0.0337,-0.0044,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.52,0,sobe,0.4108,0.0105,-0.0313,0.0,0.0,0.035,0.0046,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.54,0,sobe,0.4108,0.0105,-0.0313,0.0,0.0,0.0336,0.0044,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.56,0,sobe,0.4108,0.0105,-0.0313,0.0,0.0,0.0336,0.0044,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.58,0,sobe,0.4108,0.0105,-0.0313,0.0,0.0,0.0336,0.0044,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.6,0,sobe,0.4092,0.0125,-0.0328,0.0,0.0,0.0284,0.0012,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.62,0,sobe,0.4092,0.0125,-0.0328,0.0,0.0,0.02,0.0025,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.64,0,sobe,0.4092,0.0125,-0.0328,0.0,0.0,0.0208,0.0026,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.66,0,sobe,0.4092,0.0125,-0.0328,0.0,0.0,0.0208,0.0026,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.68,0,sobe,0.4092,0.0125,-0.0328,0.0,0.0,0.02,0.0025,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.7,0,sobe,0.4092,0.0125,-0.0328,0.0,0.0,0.0093,0.0021,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.72,0,sobe,0.4065,0.0099,-0.032,0.0,0.0,0.0127,0.0036,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
0.74,0,sobe,0.4065,0.0099,-0.032,0.0,0.0,0.0127,0.0036,0.0,0.0,5.7251,0.0,0.0,0.0,0.0
