t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3757,0.0315,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.02,0,sobe,0.3757,0.0315,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.04,0,sobe,0.3757,0.0315,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.06,0,sobe,0.3757,0.0315,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.08,0,sobe,0.3757,0.0315,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.1,0,sobe,0.3757,0.0315,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.12,0,sobe,0.38,0.0331,-0.03,0.0,0.0,0.0377,0.0375,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.14,0,sobe,0.38,0.0331,-0.03,0.0,0.0,0.0323,0.0321,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.16,0,sobe,0.38,0.0331,-0.03,0.0,0.0,0.0283,0.0281,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.18,0,sobe,0.38,0.0331,-0.03,0.0,0.0,0.0251,0.0249,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.2,0,sobe,0.378,0.0316,-0.0377,0.0,0.0,0.0111,-0.016,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.22,0,sobe,0.378,0.0316,-0.0377,0.0,0.0,0.0101,-0.0146,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.24,0,sobe,0.378,0.0316,-0.0377,0.0,0.0,0.0092,-0.0133,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.26,0,sobe,0.378,0.0316,-0.0377,0.0,0.0,0.0085,-0.0123,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.28,0,sobe,0.378,0.0316,-0.0377,0.0,0.0,0.0079,-0.0114,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.3,0,sobe,0.3796,0.0317,-0.0371,0.0,0.0,0.013,-0.0089,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.32,0,sobe,0.3796,0.0317,-0.0371,0.0,0.0,0.0122,-0.0083,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.34,0,sobe,0.3796,0.0317,-0.0371,0.0,0.0,0.0115,-0.0078,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.36,0,sobe,0.3796,0.0317,-0.0371,0.0,0.0,0.0108,-0.0074,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.38,0,sobe,0.3796,0.0317,-0.0371,0.0,0.0,0.0102,-0.007,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.4,0,sobe,0.3768,0.0332,-0.0295,0.0,0.0,0.005,0.0123,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.42,0,sobe,0.3768,0.0332,-0.0295,0.0,0.0,0.0047,0.0118,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.44,0,sobe,0.3768,0.0332,-0.0295,0.0,0.0,0.0045,0.0112,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.46,0,sobe,0.3768,0.0332,-0.0295,0.0,0.0,0.0043,0.0107,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.48,0,sobe,0.3768,0.0332,-0.0295,0.0,0.0,0.0042,0.0103,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.5,0,sobe,0.3749,0.0343,-0.0305,0.0,0.0,0.006,0.0083,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.52,0,sobe,0.3749,0.0343,-0.0305,0.0,0.0,0.006,0.0083,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.54,0,sobe,0.3749,0.0343,-0.0305,0.0,0.0,0.0058,0.008,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.56,0,sobe,0.3749,0.0343,-0.0305,0.0,0.0,0.0058,0.008,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.58,0,sobe,0.3742,0.038,-0.0352,0.0,0.0,0.0134,-0.0016,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.6,0,sobe,0.3742,0.038,-0.0352,0.0,0.0,0.0134,-0.0015,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.62,0,sobe,0.3742,0.038,-0.0352,0.0,0.0,0.0151,-0.0105,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.64,0,sobe,0.3742,0.038,-0.0352,0.0,0.0,0.0158,-0.011,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.66,0,sobe,0.3742,0.038,-0.0352,0.0,0.0,0.0158,-0.011,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.68,0,sobe,0.3742,0.038,-0.0352,0.0,0.0,0.0156,0.0051,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.7,0,sobe,0.3732,0.0386,-0.0319,0.0,0.0,0.0171,0.0115,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.72,0,sobe,0.3732,0.0386,-0.0319,0.0,0.0,0.0178,0.012,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.74,0,sobe,0.3732,0.0386,-0.0319,0.0,0.0,0.0178,0.012,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.76,0,sobe,0.3732,0.0386,-0.0319,0.0,0.0,0.0171,0.0115,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.78,0,sobe,0.3732,0.0386,-0.0319,0.0,0.0,0.0171,0.0115,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.8,0,sobe,0.377,0.0371,-0.0303,0.0,0.0,0.0125,0.0143,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
0.82,0,sobe,0.377,0.0371,-0.0303,0.0,0.0,0.0125,0.0143,0.0,0.0,7.8844,0.6144,1.0973,0.0,0.0
