t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.3963,0.0369,-0.0633,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.3963,0.0369,-0.0633,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.3896,0.0385,-0.0654,0.0,0.0,0.1753,-0.0536,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.3896,0.0385,-0.0654,0.0,0.0,0.1171,-0.0358,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.3896,0.0385,-0.0654,0.0,0.0,0.0878,-0.0269,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.3896,0.0385,-0.0654,0.0,0.0,0.0702,-0.0215,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.391,0.037,-0.0635,0.0,0.0,0.0444,-0.002,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.391,0.037,-0.0635,0.0,0.0,0.0381,-0.0017,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.391,0.037,-0.0635,0.0,0.0,0.0333,-0.0015,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,0.391,0.037,-0.0635,0.0,0.0,0.0296,-0.0014,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,0.391,0.037,-0.0635,0.0,0.0,0.0266,-0.0012,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,0.391,0.037,-0.0635,0.0,0.0,0.0242,-0.0011,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,0.3855,0.039,-0.0644,0.0,0.0,0.0462,-0.0047,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,0.3855,0.039,-0.0644,0.0,0.0,0.0426,-0.0044,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,0.3855,0.039,-0.0644,0.0,0.0,0.0396,-0.0041,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,0.3855,0.039,-0.0644,0.0,0.0,0.0369,-0.0038,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,0.3872,0.0379,-0.0657,0.0,0.0,0.0288,-0.0077,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,0.3872,0.0379,-0.0657,0.0,0.0,0.0271,-0.0072,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,0.3872,0.0379,-0.0657,0.0,0.0,0.0255,-0.0068,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,0.3872,0.0379,-0.0657,0.0,0.0,0.0242,-0.0064,0.0,0.0,,,,0.0,0.0
0.4,0,sobe,0.3872,0.0379,-0.0657,0.0,0.0,0.023,-0.0061,0.0,0.0,,,,0.0,0.0
0.42,0,sobe,0.3872,0.0379,-0.0657,0.0,0.0,0.0219,-0.0058,0.0,0.0,,,,0.0,0.0
0.44,0,sobe,0.3859,0.0405,-0.0649,0.0,0.0,0.0252,-0.0037,0.0,0.0,,,,0.0,0.0
0.46,0,sobe,0.3859,0.0405,-0.0649,0.0,0.0,0.0241,-0.0036,0.0,0.0,,,,0.0,0.0
0.48,0,sobe,0.3859,0.0405,-0.0649,0.0,0.0,0.0231,-0.0034,0.0,0.0,,,,0.0,0.0
0.5,0,sobe,0.3859,0.0405,-0.0649,0.0,0.0,0.0222,-0.0033,0.0,0.0,,,,0.0,0.0
0.52,0,sobe,0.3851,0.0408,-0.0667,0.0,0.0,0.0238,-0.0069,0.0,0.0,,,,0.0,0.0
0.54,0,sobe,0.3851,0.0408,-0.0667,0.0,0.0,0.01,-0.0026,0.0,0.0,,,,0.0,0.0
0.56,0,sobe,0.3851,0.0408,-0.0667,0.0,0.0,0.01,-0.0026,0.0,0.0,,,,0.0,0.0
0.58,0,sobe,0.3851,0.0408,-0.0667,0.0,0.0,0.0104,-0.0027,0.0,0.0,,,,0.0,0.0
0.6,0,sobe,0.3851,0.0408,-0.0667,0.0,0.0,0.0147,-0.0067,0.0,0.0,,,,0.0,0.0
0.62,0,sobe,0.3851,0.0408,-0.0667,0.0,0.0,0.0147,-0.0067,0.0,0.0,,,,0.0,0.0
0.64,0,sobe,0.3878,0.0361,-0.0635,0.0,0.0,0.007,0.0001,0.0,0.0,,,,0.0,0.0
0.66,0,sobe,0.3878,0.0361,-0.0635,0.0,0.0,0.007,0.0001,0.0,0.0,,,,0.0,0.0
0.68,0,sobe,0.3878,0.0361,-0.0635,0.0,0.0,0.0067,0.0001,0.0,0.0,,,,0.0,0.0
0.7,0,sobe,0.3878,0.0361,-0.0635,0.0,0.0,0.0067,0.0001,0.0,0.0,,,,0.0,0.0
0.72,0,sobe,0.3875,0.0377,-0.061,0.0,0.0,0.005,0.0072,0.0,0.0,,,,0.0,0.0
0.74,0,sobe,0.3875,0.0377,-0.061,0.0,0.0,0.005,0.0072,0.0,0.0,,,,0.0,0.0
0.76,0,sobe,0.3875,0.0377,-0.061,0.0,0.0,0.005,0.0072,0.0,0.0,,,,0.0,0.0
0.78,0,sobe,0.3875,0.0377,-0.061,0.0,0.0,0.0048,0.0069,0.0,0.0,,,,0.0,0.0
0.8,0,sobe,0.3875,0.0377,-0.061,0.0,0.0,0.0007,0.0099,0.0,0.0,,,,0.0,0.0
0.82,0,sobe,0.3861,0.035,-0.0613,0.0,0.0,0.0064,0.0093,0.0,0.0,,,,0.0,0.0
0.84,0,sobe,0.3861,0.035,-0.0613,0.0,0.0,0.0061,0.0089,0.0,0.0,,,,0.0,0.0
0.86,0,sobe,0.3861,0.035,-0.0613,0.0,0.0,0.0061,0.0089,0.0,0.0,,,,0.0,0.0
0.88,0,sobe,0.3861,0.035,-0.0613,0.0,0.0,0.0061,0.0089,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
0.9,0,sobe,0.3861,0.035,-0.0613,0.0,0.0,0.0061,0.0089,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
0.92,0,sobe,0.3861,0.035,-0.0613,0.0,0.0,0.0114,0.0076,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
0.94,0,sobe,0.3872,0.035,-0.0613,0.0,0.0,0.0118,0.0075,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
0.96,0,sobe,0.3872,0.035,-0.0613,0.0,0.0,0.0118,0.0075,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
0.98,0,sobe,0.3872,0.035,-0.0613,0.0,0.0,0.0113,0.0072,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.0,0,sobe,0.3872,0.035,-0.0613,0.0,0.0,0.0113,0.0072,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.02,0,sobe,0.3886,0.0345,-0.0648,0.0,0.0,0.0145,0.0038,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.04,0,sobe,0.3886,0.0345,-0.0648,0.0,0.0,0.0145,0.0038,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.06,0,sobe,0.3886,0.0345,-0.0648,0.0,0.0,0.0151,0.004,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.08,0,sobe,0.3886,0.0345,-0.0648,0.0,0.0,0.0145,0.0038,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.1,0,sobe,0.3886,0.0345,-0.0648,0.0,0.0,0.0145,0.0038,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.12,0,sobe,0.3932,0.0342,-0.0658,0.0,0.0,0.021,0.0019,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.14,0,sobe,0.3932,0.0342,-0.0658,0.0,0.0,0.0116,-0.0047,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
1.16,0,sobe,0.3932,0.0342,-0.0658,0.0,0.0,0.0116,-0.0047,0.0,0.0,7.8146,1.8106,2.2166,0.0,0.0
