t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.4257,0.099,-0.0367,0.0,0.0,0.0,0.0,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.02,0,sobe,-0.4257,0.099,-0.0367,0.0,0.0,0.0,0.0,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.04,0,sobe,-0.4284,0.0958,-0.0375,0.0,0.0,0.1041,-0.021,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.06,0,sobe,-0.4284,0.0958,-0.0375,0.0,0.0,0.0694,-0.014,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.08,0,sobe,-0.4284,0.0958,-0.0375,0.0,0.0,0.0521,-0.0105,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.1,0,sobe,-0.4284,0.0958,-0.0375,0.0,0.0,0.0417,-0.0084,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.12,0,sobe,-0.4284,0.0958,-0.0375,0.0,0.0,0.0347,-0.007,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.14,0,sobe,-0.4228,0.0979,-0.0337,0.0,0.0,0.0221,0.021,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.16,0,sobe,-0.4228,0.0979,-0.0337,0.0,0.0,0.0193,0.0184,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.18,0,sobe,-0.4228,0.0979,-0.0337,0.0,0.0,0.0172,0.0163,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.2,0,sobe,-0.4228,0.0979,-0.0337,0.0,0.0,0.0154,0.0147,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.22,0,sobe,-0.4228,0.0979,-0.0337,0.0,0.0,0.014,0.0133,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.24,0,sobe,-0.4244,0.099,-0.0361,0.0,0.0,0.0053,0.0024,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
0.26,0,sobe,-0.4244,0.099,-0.0361,0.0,0.0,0.0049,0.0022,0.0,0.0,6.7135,2.3099,-3.0314,0.0,0.0
