t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,-0.1845,0.0812,-0.0545,0.0,0.0,0.0,0.0,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.02,0,sobe,-0.1845,0.0812,-0.0545,0.0,0.0,0.0,0.0,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.04,0,sobe,-0.1845,0.0812,-0.0545,0.0,0.0,0.0,0.0,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.06,0,sobe,-0.1845,0.0812,-0.0545,0.0,0.0,0.0,0.0,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.08,0,sobe,-0.1845,0.0812,-0.0545,0.0,0.0,0.0,0.0,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.1,0,sobe,-0.1907,0.078,-0.0467,0.0,0.0,0.0698,0.0778,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.12,0,sobe,-0.1907,0.078,-0.0467,0.0,0.0,0.0582,0.0649,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.14,0,sobe,-0.1907,0.078,-0.0467,0.0,0.0,0.0499,0.0556,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.16,0,sobe,-0.1907,0.078,-0.0467,0.0,0.0,0.0437,0.0487,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.18,0,sobe,-0.1897,0.0715,-0.0474,0.0,0.0,0.0612,0.0395,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.2,0,sobe,-0.1897,0.0715,-0.0474,0.0,0.0,0.0551,0.0356,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.22,0,sobe,-0.1897,0.0715,-0.0474,0.0,0.0,0.0501,0.0323,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.24,0,sobe,-0.1897,0.0715,-0.0474,0.0,0.0,0.0459,0.0296,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.26,0,sobe,-0.1897,0.0715,-0.0474,0.0,0.0,0.0424,0.0274,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.28,0,sobe,-0.1955,0.0692,-0.043,0.0,0.0,0.0581,0.041,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.3,0,sobe,-0.1955,0.0692,-0.043,0.0,0.0,0.0542,0.0383,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.32,0,sobe,-0.1955,0.0692,-0.043,0.0,0.0,0.0508,0.0359,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.34,0,sobe,-0.1955,0.0692,-0.043,0.0,0.0,0.0478,0.0337,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.36,0,sobe,-0.1955,0.0692,-0.043,0.0,0.0,0.0451,0.0319,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.38,0,sobe,-0.1955,0.0692,-0.043,0.0,0.0,0.0428,0.0302,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.4,0,sobe,-0.1955,0.0692,-0.043,0.0,0.0,0.0407,0.0287,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.42,0,sobe,-0.1939,0.0708,-0.0461,0.0,0.0,0.0332,0.02,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.44,0,sobe,-0.1939,0.0708,-0.0461,0.0,0.0,0.0317,0.0191,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.46,0,sobe,-0.1939,0.0708,-0.0461,0.0,0.0,0.0303,0.0183,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.48,0,sobe,-0.1939,0.0708,-0.0461,0.0,0.0,0.0291,0.0175,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.802,0,sobe,-0.1939,0.0708,-0.0461,0.0,0.0,0.0048,-0.0064,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.82,0,sobe,-0.1965,0.0787,-0.0439,0.0,0.0,0.0191,-0.0016,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.84,0,sobe,-0.1965,0.0787,-0.0439,0.0,0.0,0.0191,-0.0016,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.86,0,sobe,-0.1965,0.0787,-0.0439,0.0,0.0,0.0191,-0.0016,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.88,0,sobe,-0.1938,0.081,-0.0462,0.0,0.0,0.0237,-0.0064,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.9,0,sobe,-0.1938,0.081,-0.0462,0.0,0.0,0.0237,-0.0064,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.92,0,sobe,-0.1938,0.081,-0.0462,0.0,0.0,0.0203,-0.0002,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.94,0,sobe,-0.1938,0.081,-0.0462,0.0,0.0,0.0211,-0.0002,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.96,0,sobe,-0.1938,0.081,-0.0462,0.0,0.0,0.0211,-0.0002,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
0.98,0,sobe,-0.1938,0.081,-0.0462,0.0,0.0,0.0566,-0.0006,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.002,0,sobe,-0.1907,0.0867,-0.0487,0.0,0.0,0.0806,-0.0128,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.02,0,sobe,-0.1907,0.0867,-0.0487,0.0,0.0,0.0739,-0.0117,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.04,0,sobe,-0.1907,0.0867,-0.0487,0.0,0.0,0.0677,-0.0108,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.06,0,sobe,-0.1907,0.0867,-0.0487,0.0,0.0,0.0625,-0.0099,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.08,0,sobe,-0.1838,0.0884,-0.0443,0.0,0.0,0.0728,0.0064,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.1,0,sobe,-0.1838,0.0884,-0.0443,0.0,0.0,0.0679,0.006,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.12,0,sobe,-0.1838,0.0884,-0.0443,0.0,0.0,0.0636,0.0056,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.14,0,sobe,-0.1838,0.0884,-0.0443,0.0,0.0,0.0599,0.0053,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.16,0,sobe,-0.1838,0.0884,-0.0443,0.0,0.0,0.0565,0.005,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.18,0,sobe,-0.1806,0.0938,-0.0471,0.0,0.0,0.0701,-0.0026,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.2,0,sobe,-0.1806,0.0938,-0.0471,0.0,0.0,0.0666,-0.0025,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
1.22,0,sobe,-0.1806,0.0938,-0.0471,0.0,0.0,0.0634,-0.0024,0.0,0.0,6.2914,0.3938,-0.9059,0.0,0.0
