t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.1294,-0.0913,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.02,0,sobe,0.1294,-0.0913,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.04,0,sobe,0.1294,-0.0913,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.06,0,sobe,0.1294,-0.0913,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.08,0,sobe,0.1294,-0.0913,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.1,0,sobe,0.1292,-0.0941,-0.005,0.0,0.0,0.0282,0.0403,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.12,0,sobe,0.1292,-0.0941,-0.005,0.0,0.0,0.0235,0.0337,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.14,0,sobe,0.1292,-0.0941,-0.005,0.0,0.0,0.0202,0.0289,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.16,0,sobe,0.1292,-0.0941,-0.005,0.0,0.0,0.0176,0.0253,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.18,0,sobe,0.1272,-0.0933,-0.0039,0.0,0.0,0.0163,0.0284,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.2,0,sobe,0.1272,-0.0933,-0.0039,0.0,0.0,0.0147,0.0255,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.22,0,sobe,0.1272,-0.0933,-0.0039,0.0,0.0,0.0134,0.0232,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
0.24,0,sobe,0.1272,-0.0933,-0.0039,0.0,0.0,0.0122,0.0213,0.0,0.0,-1.3886,0.472,-1.0616,0.0,0.0
