t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.1189,-0.0902,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.1189,-0.0902,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.1189,-0.0902,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.1189,-0.0902,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.1204,-0.0874,0.0109,0.0,0.0,0.0401,0.0327,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.1204,-0.0874,0.0109,0.0,0.0,0.0321,0.0262,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.1204,-0.0874,0.0109,0.0,0.0,0.0267,0.0218,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.1204,-0.0874,0.0109,0.0,0.0,0.0229,0.0187,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.16,0,sobe,0.1174,-0.0841,0.0097,0.0,0.0,0.0389,0.0093,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.18,0,sobe,0.1174,-0.0841,0.0097,0.0,0.0,0.0346,0.0083,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.2,0,sobe,0.1174,-0.0841,0.0097,0.0,0.0,0.0311,0.0074,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.22,0,sobe,0.1174,-0.0841,0.0097,0.0,0.0,0.0283,0.0068,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.24,0,sobe,0.1174,-0.0841,0.0097,0.0,0.0,0.0259,0.0062,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.26,0,sobe,0.1146,-0.0856,0.0079,0.0,0.0,0.024,-0.0015,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.28,0,sobe,0.1146,-0.0856,0.0079,0.0,0.0,0.0223,-0.0014,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.3,0,sobe,0.1146,-0.0856,0.0079,0.0,0.0,0.0208,-0.0013,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.32,0,sobe,0.1146,-0.0856,0.0079,0.0,0.0,0.0195,-0.0012,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.34,0,sobe,0.1146,-0.0856,0.0079,0.0,0.0,0.0184,-0.0011,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.36,0,sobe,0.1146,-0.0856,0.0079,0.0,0.0,0.0174,-0.0011,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.38,0,sobe,0.1115,-0.0891,0.006,0.0,0.0,0.0197,-0.0059,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.4,0,sobe,0.1115,-0.0891,0.006,0.0,0.0,0.0187,-0.0056,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.42,0,sobe,0.1115,-0.0891,0.006,0.0,0.0,0.0178,-0.0053,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.44,0,sobe,0.1115,-0.0891,0.006,0.0,0.0,0.017,-0.0051,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.46,0,sobe,0.1115,-0.0891,0.006,0.0,0.0,0.0162,-0.0049,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.48,0,sobe,0.1125,-0.0876,0.0136,0.0,0.0,0.0144,0.0112,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.5,0,sobe,0.1125,-0.0876,0.0136,0.0,0.0,0.0138,0.0108,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.52,0,sobe,0.1125,-0.0876,0.0136,0.0,0.0,0.0144,0.0112,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.54,0,sobe,0.1125,-0.0876,0.0136,0.0,0.0,0.0144,0.0112,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.56,0,sobe,0.111,-0.0889,0.0059,0.0,0.0,0.0159,-0.0048,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.58,0,sobe,0.111,-0.0889,0.0059,0.0,0.0,0.0199,-0.0104,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.6,0,sobe,0.111,-0.0889,0.0059,0.0,0.0,0.0191,-0.01,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.62,0,sobe,0.111,-0.0889,0.0059,0.0,0.0,0.0199,-0.0104,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.64,0,sobe,0.111,-0.0889,0.0059,0.0,0.0,0.0166,-0.0081,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.66,0,sobe,0.111,-0.0889,0.0059,0.0,0.0,0.0166,-0.0081,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.68,0,sobe,0.111,-0.0889,0.0059,0.0,0.0,0.0166,-0.0081,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.7,0,sobe,0.1117,-0.0845,0.0085,0.0,0.0,0.0114,-0.0024,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.72,0,sobe,0.1117,-0.0845,0.0085,0.0,0.0,0.0114,-0.0024,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.74,0,sobe,0.1117,-0.0845,0.0085,0.0,0.0,0.0065,0.0014,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.76,0,sobe,0.1096,-0.092,0.0068,0.0,0.0,0.0169,-0.0022,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.78,0,sobe,0.1096,-0.092,0.0068,0.0,0.0,0.017,-0.0022,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.8,0,sobe,0.1096,-0.092,0.0068,0.0,0.0,0.017,-0.0022,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.82,0,sobe,0.1096,-0.092,0.0068,0.0,0.0,0.0169,-0.0022,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.84,0,sobe,0.1096,-0.092,0.0068,0.0,0.0,0.0169,-0.0022,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.86,0,sobe,0.1096,-0.092,0.0068,0.0,0.0,0.0072,0.0016,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.88,0,sobe,0.1096,-0.092,0.0068,0.0,0.0,0.0072,0.0016,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.9,0,sobe,0.1114,-0.093,0.0087,0.0,0.0,0.0083,0.0056,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
0.92,0,sobe,0.1114,-0.093,0.0087,0.0,0.0,0.0083,0.0056,0.0,0.0,0.7245,0.1613,0.7021,0.0,0.0
