t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.133,-0.0924,-0.0119,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.133,-0.0924,-0.0119,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.133,-0.0924,-0.0119,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.133,-0.0924,-0.0119,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.133,-0.0924,-0.0119,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.1359,-0.0933,-0.0072,0.0,0.0,0.03,0.0478,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.1359,-0.0933,-0.0072,0.0,0.0,0.025,0.0398,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.1359,-0.0933,-0.0072,0.0,0.0,0.0214,0.0341,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.1359,-0.0933,-0.0072,0.0,0.0,0.0188,0.0298,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,0.1359,-0.0933,-0.0072,0.0,0.0,0.0167,0.0265,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,0.1365,-0.0929,-0.0082,0.0,0.0,0.0175,0.0186,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,0.1365,-0.0929,-0.0082,0.0,0.0,0.0159,0.0169,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,0.1365,-0.0929,-0.0082,0.0,0.0,0.0146,0.0155,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,0.1365,-0.0929,-0.0082,0.0,0.0,0.0134,0.0143,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,0.1365,-0.0929,-0.0082,0.0,0.0,0.0125,0.0133,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,0.1347,-0.0899,-0.0033,0.0,0.0,0.0102,0.0289,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,0.1347,-0.0899,-0.0033,0.0,0.0,0.0095,0.0271,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,0.1347,-0.0899,-0.0033,0.0,0.0,0.009,0.0255,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,0.1347,-0.0899,-0.0033,0.0,0.0,0.0085,0.0241,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,0.1347,-0.0899,-0.0033,0.0,0.0,0.008,0.0228,0.0,0.0,,,,0.0,0.0
0.4,0,sobe,0.1305,-0.09,-0.0068,0.0,0.0,0.0088,0.0128,0.0,0.0,,,,0.0,0.0
0.42,0,sobe,0.1305,-0.09,-0.0068,0.0,0.0,0.0084,0.0122,0.0,0.0,,,,0.0,0.0
0.44,0,sobe,0.1305,-0.09,-0.0068,0.0,0.0,0.008,0.0116,0.0,0.0,,,,0.0,0.0
0.46,0,sobe,0.1305,-0.09,-0.0068,0.0,0.0,0.0077,0.0111,0.0,0.0,,,,0.0,0.0
0.48,0,sobe,0.1305,-0.09,-0.0068,0.0,0.0,0.0073,0.0106,0.0,0.0,,,,0.0,0.0
0.5,0,sobe,0.1332,-0.09,-0.0034,0.0,0.0,0.0048,0.0172,0.0,0.0,,,,0.0,0.0
0.52,0,sobe,0.1332,-0.09,-0.0034,0.0,0.0,0.0051,0.0179,0.0,0.0,,,,0.0,0.0
0.54,0,sobe,0.1332,-0.09,-0.0034,0.0,0.0,0.0051,0.0179,0.0,0.0,,,,0.0,0.0
0.56,0,sobe,0.1332,-0.09,-0.0034,0.0,0.0,0.0051,0.0179,0.0,0.0,,,,0.0,0.0
0.58,0,sobe,0.1332,-0.09,-0.0034,0.0,0.0,0.0048,0.0172,0.0,0.0,,,,0.0,0.0
0.6,0,sobe,0.1314,-0.085,-0.0029,0.0,0.0,0.0196,0.0088,0.0,0.0,,,,0.0,0.0
0.62,0,sobe,0.1314,-0.085,-0.0029,0.0,0.0,0.0188,0.0085,0.0,0.0,,,,0.0,0.0
0.64,0,sobe,0.1314,-0.085,-0.0029,0.0,0.0,0.0188,0.0085,0.0,0.0,,,,0.0,0.0
0.66,0,sobe,0.1314,-0.085,-0.0029,0.0,0.0,0.0196,0.0088,0.0,0.0,,,,0.0,0.0
0.68,0,sobe,0.1314,-0.085,-0.0029,0.0,0.0,0.0188,0.0085,0.0,0.0,,,,0.0,0.0
0.7,0,sobe,0.1312,-0.0863,-0.0014,0.0,0.0,0.0168,0.0136,0.0,0.0,,,,0.0,0.0
0.72,0,sobe,0.1312,-0.0863,-0.0014,0.0,0.0,0.0168,0.0136,0.0,0.0,,,,0.0,0.0
0.74,0,sobe,0.1312,-0.0863,-0.0014,0.0,0.0,0.0175,0.0142,0.0,0.0,,,,0.0,0.0
0.76,0,sobe,0.1312,-0.0863,-0.0014,0.0,0.0,0.0168,0.0136,0.0,0.0,,,,0.0,0.0
0.78,0,sobe,0.1312,-0.0863,-0.0014,0.0,0.0,0.0104,0.0039,0.0,0.0,,,,0.0,0.0
0.8,0,sobe,0.135,-0.0876,-0.0065,0.0,0.0,0.0048,-0.0067,0.0,0.0,,,,0.0,0.0
0.82,0,sobe,0.135,-0.0876,-0.0065,0.0,0.0,0.0048,-0.0067,0.0,0.0,,,,0.0,0.0
0.84,0,sobe,0.135,-0.0876,-0.0065,0.0,0.0,0.0048,-0.0067,0.0,0.0,,,,0.0,0.0
0.86,0,sobe,0.135,-0.0876,-0.0065,0.0,0.0,0.0048,-0.0067,0.0,0.0,,,,0.0,0.0
0.88,0,sobe,0.135,-0.0876,-0.0065,0.0,0.0,0.0107,0.0007,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
0.9,0,sobe,0.135,-0.0876,-0.0065,0.0,0.0,0.0107,0.0007,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
0.92,0,sobe,0.1306,-0.0889,-0.0023,0.0,0.0,0.0023,0.0094,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
0.94,0,sobe,0.1306,-0.0889,-0.0023,0.0,0.0,0.0023,0.0094,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
0.96,0,sobe,0.1306,-0.0889,-0.0023,0.0,0.0,0.0023,0.0094,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
0.98,0,sobe,0.1306,-0.0889,-0.0023,0.0,0.0,0.006,0.0022,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.0,0,sobe,0.134,-0.093,-0.0071,0.0,0.0,0.0063,-0.0075,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.02,0,sobe,0.134,-0.093,-0.0071,0.0,0.0,0.0063,-0.0075,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.04,0,sobe,0.134,-0.093,-0.0071,0.0,0.0,0.0063,-0.0075,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.06,0,sobe,0.134,-0.093,-0.0071,0.0,0.0,0.0065,-0.0078,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.08,0,sobe,0.134,-0.093,-0.0071,0.0,0.0,0.0175,-0.0087,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.1,0,sobe,0.134,-0.093,-0.0071,0.0,0.0,0.0175,-0.0087,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.12,0,sobe,0.1296,-0.0926,-0.0031,0.0,0.0,0.0161,-0.0004,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.14,0,sobe,0.1296,-0.0926,-0.0031,0.0,0.0,0.0161,-0.0004,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.16,0,sobe,0.1296,-0.0926,-0.0031,0.0,0.0,0.0161,-0.0004,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.18,0,sobe,0.1296,-0.0926,-0.0031,0.0,0.0,0.0134,-0.0036,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.2,0,sobe,0.1318,-0.0974,-0.0055,0.0,0.0,0.0221,-0.0083,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.22,0,sobe,0.1318,-0.0974,-0.0055,0.0,0.0,0.0221,-0.0083,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.24,0,sobe,0.1318,-0.0974,-0.0055,0.0,0.0,0.0221,-0.0083,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.26,0,sobe,0.1318,-0.0974,-0.0055,0.0,0.0,0.023,-0.0086,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.28,0,sobe,0.1318,-0.0974,-0.0055,0.0,0.0,0.0221,-0.0083,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.3,0,sobe,0.1261,-0.0982,-0.0044,0.0,0.0,0.0277,0.0043,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.32,0,sobe,0.1261,-0.0982,-0.0044,0.0,0.0,0.0277,0.0043,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.34,0,sobe,0.1261,-0.0982,-0.0044,0.0,0.0,0.0277,0.0043,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.36,0,sobe,0.1261,-0.0982,-0.0044,0.0,0.0,0.0277,0.0043,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.38,0,sobe,0.1261,-0.0982,-0.0044,0.0,0.0,0.0277,0.0043,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.4,0,sobe,0.1299,-0.0974,0.0007,0.0,0.0,0.022,0.0143,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.42,0,sobe,0.1299,-0.0974,0.0007,0.0,0.0,0.0169,0.006,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.44,0,sobe,0.1299,-0.0974,0.0007,0.0,0.0,0.0169,0.006,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.46,0,sobe,0.1299,-0.0974,0.0007,0.0,0.0,0.0169,0.006,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.48,0,sobe,0.1299,-0.0974,0.0007,0.0,0.0,0.0169,0.006,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.5,0,sobe,0.1268,-0.0955,-0.0031,0.0,0.0,0.0158,0.0084,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
1.52,0,sobe,0.1268,-0.0955,-0.0031,0.0,0.0,0.0158,0.0084,0.0,0.0,0.5799,2.2901,2.4724,0.0,0.0
