t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0782,-0.0665,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0,sobe,0.0782,-0.0672,0.0111,0.0,0.0,0.0354,-0.1377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0,sobe,0.0782,-0.0672,0.0111,0.0,0.0,0.0177,-0.0689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0,sobe,0.0782,-0.0672,0.0111,0.0,0.0,0.0118,-0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0,sobe,0.0782,-0.0672,0.0111,0.0,0.0,0.0089,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,sobe,0.0782,-0.0672,0.0111,0.0,0.0,0.0071,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0,sobe,0.0789,-0.0684,0.0139,0.0,0.0,0.0172,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0,sobe,0.0789,-0.0684,0.0139,0.0,0.0,0.0147,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0,sobe,0.0789,-0.0684,0.0139,0.0,0.0,0.0129,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0,sobe,0.0789,-0.0684,0.0139,0.0,0.0,0.0114,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,sobe,0.0789,-0.0684,0.0139,0.0,0.0,0.0103,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0,sobe,0.0808,-0.0669,0.0132,0.0,0.0,0.0119,-0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0,sobe,0.0808,-0.0669,0.0132,0.0,0.0,0.0109,-0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0,sobe,0.0808,-0.0669,0.0132,0.0,0.0,0.0101,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0,sobe,0.0808,-0.0669,0.0132,0.0,0.0,0.0094,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,sobe,0.0808,-0.0669,0.0132,0.0,0.0,0.0087,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0,sobe,0.0817,-0.0659,0.0117,0.0,0.0,0.0112,-0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0,sobe,0.0817,-0.0659,0.0117,0.0,0.0,0.0106,-0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0,sobe,0.0817,-0.0659,0.0117,0.0,0.0,0.01,-0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0,sobe,0.0817,-0.0659,0.0117,0.0,0.0,0.0095,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,sobe,0.0817,-0.0659,0.0117,0.0,0.0,0.009,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0,sobe,0.0821,-0.0645,0.0132,0.0,0.0,0.0104,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0,sobe,0.0821,-0.0645,0.0132,0.0,0.0,0.0099,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0,sobe,0.0821,-0.0645,0.0132,0.0,0.0,0.0094,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0,sobe,0.0821,-0.0645,0.0132,0.0,0.0,0.0091,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0,sobe,0.0821,-0.0645,0.0132,0.0,0.0,0.0087,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0,sobe,0.0825,-0.0619,0.0116,0.0,0.0,0.0136,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0,sobe,0.0825,-0.0619,0.0116,0.0,0.0,0.0136,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0,sobe,0.0825,-0.0619,0.0116,0.0,0.0,0.0142,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
