t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0948,-0.0845,-0.0179,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.0948,-0.0845,-0.0179,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.0948,-0.0845,-0.0179,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.0928,-0.084,-0.0184,0.0,0.0,0.035,-0.0095,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.0928,-0.084,-0.0184,0.0,0.0,0.0263,-0.0071,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.0928,-0.084,-0.0184,0.0,0.0,0.021,-0.0057,0.0,0.0,,,,0.0,0.0
0.122,0,sobe,0.0928,-0.084,-0.0184,0.0,0.0,0.0173,-0.0047,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.14,0,sobe,0.0928,-0.084,-0.0184,0.0,0.0,0.015,-0.0041,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.16,0,sobe,0.0928,-0.084,-0.0184,0.0,0.0,0.0131,-0.0036,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.18,0,sobe,0.0906,-0.083,-0.0159,0.0,0.0,0.025,0.0111,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.2,0,sobe,0.0906,-0.083,-0.0159,0.0,0.0,0.0225,0.01,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.22,0,sobe,0.0906,-0.083,-0.0159,0.0,0.0,0.0205,0.0091,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.24,0,sobe,0.0906,-0.083,-0.0159,0.0,0.0,0.0187,0.0083,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.26,0,sobe,0.092,-0.0813,-0.0165,0.0,0.0,0.0165,0.0051,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.28,0,sobe,0.092,-0.0813,-0.0165,0.0,0.0,0.0153,0.0047,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.3,0,sobe,0.092,-0.0813,-0.0165,0.0,0.0,0.0143,0.0044,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.32,0,sobe,0.092,-0.0813,-0.0165,0.0,0.0,0.0134,0.0041,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.34,0,sobe,0.0904,-0.0798,-0.0166,0.0,0.0,0.019,0.0037,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.36,0,sobe,0.0904,-0.0798,-0.0166,0.0,0.0,0.018,0.0035,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.38,0,sobe,0.0904,-0.0798,-0.0166,0.0,0.0,0.017,0.0033,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.4,0,sobe,0.0904,-0.0798,-0.0166,0.0,0.0,0.0162,0.0031,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.42,0,sobe,0.0904,-0.0798,-0.0166,0.0,0.0,0.0154,0.003,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
0.44,0,sobe,0.0904,-0.0798,-0.0166,0.0,0.0,0.0147,0.0028,0.0,0.0,1.2586,1.7115,1.7378,0.0,0.0
