t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0997,-0.0845,-0.0214,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.0961,-0.0827,-0.0171,0.0,0.0,0.199,0.2169,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.0961,-0.0827,-0.0171,0.0,0.0,0.0992,0.1081,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.0961,-0.0827,-0.0171,0.0,0.0,0.066,0.072,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.0961,-0.0827,-0.0171,0.0,0.0,0.0495,0.0539,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.0973,-0.0858,-0.018,0.0,0.0,0.0272,0.0333,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.0973,-0.0858,-0.018,0.0,0.0,0.0227,0.0277,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.0973,-0.0858,-0.018,0.0,0.0,0.0194,0.0237,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.0973,-0.0858,-0.018,0.0,0.0,0.017,0.0208,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,0.0973,-0.0858,-0.018,0.0,0.0,0.0151,0.0185,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,0.0988,-0.0851,-0.0178,0.0,0.0,0.0053,0.0176,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,0.0988,-0.0851,-0.0178,0.0,0.0,0.0048,0.016,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,0.0988,-0.0851,-0.0178,0.0,0.0,0.0044,0.0147,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,0.0988,-0.0851,-0.0178,0.0,0.0,0.004,0.0135,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,0.0988,-0.0851,-0.0178,0.0,0.0,0.0037,0.0126,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,0.0988,-0.0851,-0.0178,0.0,0.0,0.0035,0.0117,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,0.1013,-0.0876,-0.0177,0.0,0.0,0.0111,0.0114,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,0.1013,-0.0876,-0.0177,0.0,0.0,0.0104,0.0107,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,0.1013,-0.0876,-0.0177,0.0,0.0,0.0098,0.0101,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,0.1013,-0.0876,-0.0177,0.0,0.0,0.0093,0.0096,0.0,0.0,,,,0.0,0.0
0.4,0,sobe,0.0989,-0.0912,-0.0199,0.0,0.0,0.017,0.0036,0.0,0.0,,,,0.0,0.0
